"Time [s]";"Pressure [mmHg]";
3.53;180.44;
3.54;180.25;
3.55;180.41;
3.56;180.33;
3.57;180.34;
3.58;180.45;
3.59;180.16;
3.60;180.31;
3.61;180.25;
3.62;180.34;
3.63;180.31;
3.64;180.19;
3.65;180.25;
3.66;180.30;
3.67;180.25;
3.68;180.16;
3.69;180.11;
3.70;180.02;
3.71;179.98;
3.72;180.12;
3.73;180.00;
3.74;179.95;
3.75;179.88;
3.76;179.86;
3.77;179.89;
3.78;179.78;
3.79;179.66;
3.80;179.58;
3.81;179.72;
3.82;179.64;
3.83;179.52;
3.84;179.55;
3.85;179.61;
3.86;179.48;
3.87;179.36;
3.88;179.48;
3.89;179.45;
3.90;179.42;
3.91;179.44;
3.92;179.33;
3.93;179.45;
3.94;179.41;
3.95;179.41;
3.96;179.31;
3.97;179.23;
3.98;179.27;
3.99;179.20;
4.00;179.16;
4.01;179.03;
4.02;179.05;
4.03;178.97;
4.04;178.91;
4.05;178.98;
4.06;178.80;
4.07;178.81;
4.08;178.72;
4.09;178.69;
4.10;178.67;
4.11;178.58;
4.12;178.64;
4.13;178.61;
4.14;178.69;
4.15;178.73;
4.16;178.66;
4.17;178.59;
4.18;178.67;
4.19;178.47;
4.20;178.47;
4.21;178.41;
4.22;178.52;
4.23;178.48;
4.24;178.44;
4.25;178.53;
4.26;178.42;
4.27;178.52;
4.28;178.52;
4.29;178.69;
4.30;178.73;
4.31;178.67;
4.32;178.58;
4.33;178.44;
4.34;178.45;
4.35;178.31;
4.36;178.27;
4.37;178.25;
4.38;177.95;
4.39;178.02;
4.40;177.97;
4.41;177.94;
4.42;177.94;
4.43;178.00;
4.44;177.83;
4.45;177.92;
4.46;177.91;
4.47;177.78;
4.48;177.80;
4.49;177.91;
4.50;178.02;
4.51;178.03;
4.52;177.88;
4.53;178.02;
4.54;177.89;
4.55;177.91;
4.56;177.78;
4.57;177.86;
4.58;177.78;
4.59;177.89;
4.60;177.80;
4.61;177.81;
4.62;177.62;
4.63;177.61;
4.64;177.64;
4.65;177.58;
4.66;177.56;
4.67;177.55;
4.68;177.41;
4.69;177.55;
4.70;177.48;
4.71;177.53;
4.72;177.53;
4.73;177.42;
4.74;177.45;
4.75;177.36;
4.76;177.42;
4.77;177.33;
4.78;177.47;
4.79;177.41;
4.80;177.33;
4.81;177.42;
4.82;177.36;
4.83;177.39;
4.84;177.31;
4.85;177.34;
4.86;177.22;
4.87;177.33;
4.88;177.25;
4.89;177.16;
4.90;177.14;
4.91;177.06;
4.92;177.06;
4.93;177.06;
4.94;176.98;
4.95;177.00;
4.96;177.03;
4.97;176.98;
4.98;177.03;
4.99;176.97;
5.00;176.94;
5.01;176.91;
5.02;176.91;
5.03;176.97;
5.04;176.97;
5.05;176.83;
5.06;176.83;
5.07;176.75;
5.08;176.89;
5.09;176.89;
5.10;176.70;
5.11;176.44;
5.12;176.28;
5.13;176.39;
5.14;176.66;
5.15;177.16;
5.16;176.78;
5.17;176.38;
5.18;177.30;
5.19;173.41;
5.20;178.38;
5.21;172.67;
5.22;176.31;
5.23;177.83;
5.24;169.84;
