"Time [s]";"Pressure [mmHg]";
0.00;0.14;
0.01;0.02;
0.02;0.00;
0.03;0.08;
0.04;0.02;
0.05;0.00;
0.06;0.00;
0.07;0.03;
0.08;0.00;
0.09;0.00;
0.10;0.00;
0.11;0.00;
0.12;0.00;
0.13;0.00;
0.14;0.00;
0.15;0.00;
0.16;0.02;
0.17;0.03;
0.18;0.05;
0.19;0.08;
0.20;0.00;
0.21;0.05;
0.22;0.00;
0.23;0.00;
0.24;0.00;
0.25;0.00;
0.26;0.02;
0.27;0.00;
0.28;0.00;
0.29;0.03;
0.30;0.08;
0.31;0.17;
0.32;0.06;
0.33;0.00;
0.34;0.02;
0.35;0.00;
0.36;0.00;
0.37;0.03;
0.38;0.00;
0.39;0.00;
0.40;0.00;
0.41;0.02;
0.42;0.00;
0.43;0.00;
0.44;0.05;
0.45;0.03;
0.46;0.00;
0.47;0.03;
0.48;0.06;
0.49;0.02;
0.50;0.06;
0.51;0.06;
0.52;0.00;
0.53;0.00;
0.54;0.00;
0.55;0.08;
0.56;0.00;
0.57;0.00;
0.58;0.02;
0.59;0.08;
0.60;0.03;
0.61;0.12;
0.62;0.05;
0.63;0.03;
0.64;0.00;
0.65;0.08;
0.66;0.05;
0.67;0.02;
0.68;0.06;
0.69;0.03;
0.70;0.11;
0.71;0.02;
0.72;0.00;
0.73;0.08;
0.74;0.06;
0.75;0.00;
0.76;0.03;
0.77;0.06;
0.78;0.05;
0.79;0.00;
0.80;0.03;
0.81;0.00;
0.82;0.00;
0.83;0.00;
0.84;0.00;
0.85;0.00;
0.86;0.03;
0.87;0.06;
0.88;0.08;
0.89;0.05;
0.90;0.00;
0.91;0.00;
0.92;0.00;
0.93;0.00;
0.94;0.00;
0.95;0.02;
0.96;0.05;
0.97;0.00;
0.98;0.06;
0.99;0.08;
1.00;0.09;
1.01;0.05;
1.02;0.16;
1.03;0.92;
1.04;2.03;
1.05;3.58;
1.06;5.28;
1.07;6.98;
1.08;8.84;
1.09;10.80;
1.10;12.72;
1.11;14.67;
1.12;16.53;
1.13;18.64;
1.14;20.52;
1.15;22.39;
1.16;24.08;
1.17;26.00;
1.18;27.75;
1.19;29.55;
1.20;31.41;
1.21;33.14;
1.22;34.97;
1.23;36.59;
1.24;38.30;
1.25;40.12;
1.26;41.95;
1.27;43.42;
1.28;45.08;
1.29;46.84;
1.30;48.45;
1.31;50.06;
1.32;51.52;
1.33;53.16;
1.34;54.66;
1.35;56.36;
1.36;57.81;
1.37;59.38;
1.38;60.95;
1.39;62.42;
1.40;63.91;
1.41;65.33;
1.42;66.83;
1.43;68.28;
1.44;69.83;
1.45;71.19;
1.46;72.92;
1.47;74.34;
1.48;75.80;
1.49;77.11;
1.50;78.56;
1.51;80.14;
1.52;81.47;
1.53;82.83;
1.54;84.38;
1.55;85.81;
1.56;87.12;
1.57;76.55;
1.58;55.47;
1.59;44.05;
1.60;37.33;
1.61;32.66;
1.62;29.36;
1.63;26.80;
1.64;24.95;
1.65;23.25;
1.66;21.89;
1.67;20.80;
1.68;19.92;
1.69;18.97;
1.70;18.30;
1.71;17.69;
1.72;17.06;
1.73;16.44;
1.74;15.84;
1.75;15.58;
1.76;15.00;
1.77;14.64;
1.78;14.34;
1.79;13.95;
1.80;13.55;
1.81;13.28;
1.82;12.92;
1.83;12.69;
1.84;12.31;
1.85;12.17;
1.86;11.88;
1.87;11.64;
1.88;11.28;
1.89;11.12;
1.90;10.92;
1.91;10.67;
1.92;10.70;
1.93;10.39;
1.94;10.12;
1.95;10.02;
1.96;9.75;
1.97;9.53;
1.98;9.34;
1.99;9.19;
2.00;8.94;
2.01;8.95;
2.02;8.64;
2.03;8.50;
2.04;8.30;
2.05;8.19;
2.06;7.84;
2.07;7.80;
2.08;7.67;
2.09;7.69;
2.10;7.47;
2.11;7.36;
2.12;7.22;
2.13;7.14;
2.14;6.91;
2.15;6.89;
2.16;6.59;
2.17;6.58;
2.18;6.48;
2.19;6.44;
2.20;6.30;
2.21;6.17;
2.22;6.09;
2.23;6.05;
2.24;5.89;
2.25;5.73;
2.26;5.72;
2.27;5.61;
2.28;5.44;
2.29;5.38;
2.30;5.28;
2.31;5.23;
2.32;5.11;
2.33;5.08;
2.34;4.94;
2.35;4.95;
2.36;4.89;
2.37;4.55;
2.38;4.55;
2.39;4.44;
2.40;4.50;
2.41;4.34;
2.42;4.20;
2.43;4.39;
2.44;4.23;
2.45;4.17;
2.46;4.19;
2.47;4.09;
2.48;4.02;
2.49;4.05;
2.50;3.98;
2.51;3.95;
2.52;3.88;
2.53;3.86;
2.54;3.78;
2.55;3.81;
2.56;3.56;
2.57;3.56;
2.58;3.50;
2.59;3.45;
2.60;3.38;
2.61;3.50;
2.62;3.31;
2.63;3.27;
2.64;3.14;
2.65;3.14;
2.66;3.09;
2.67;3.03;
2.68;3.03;
2.69;2.98;
2.70;2.80;
2.71;2.83;
2.72;2.75;
2.73;2.78;
2.74;2.72;
2.75;2.73;
2.76;2.64;
2.77;2.56;
2.78;2.53;
2.79;2.58;
2.80;2.58;
2.81;2.42;
2.82;2.47;
2.83;2.39;
2.84;2.33;
2.85;2.31;
2.86;2.27;
2.87;2.23;
2.88;2.25;
2.89;2.17;
2.90;2.12;
2.91;2.16;
2.92;2.14;
2.93;2.09;
2.94;2.05;
2.95;2.05;
2.96;2.02;
2.97;2.00;
2.98;1.84;
2.99;1.92;
3.00;1.78;
3.01;1.73;
3.02;1.83;
3.03;1.86;
3.04;1.77;
3.05;1.83;
3.06;1.72;
3.07;1.77;
3.08;1.69;
3.09;1.59;
3.10;1.59;
3.11;1.67;
3.12;1.62;
3.13;1.56;
3.14;1.42;
3.15;1.52;
3.16;1.55;
3.17;1.52;
3.18;1.44;
3.19;1.50;
3.20;1.36;
3.21;1.42;
3.22;1.27;
3.23;1.44;
3.24;1.33;
3.25;1.36;
3.26;1.38;
3.27;1.31;
3.28;1.36;
3.29;1.31;
3.30;1.39;
3.31;1.28;
3.32;1.28;
3.33;1.25;
3.34;1.27;
3.35;1.23;
3.36;1.25;
3.37;1.20;
3.38;1.11;
3.39;1.06;
3.40;1.09;
3.41;1.02;
3.42;1.03;
3.43;1.02;
3.44;0.23;
3.45;0.00;
3.46;0.00;
3.47;0.03;
3.48;0.00;
3.49;0.00;
3.50;0.03;
3.51;0.03;
3.52;0.00;
3.53;0.06;
3.54;0.08;
3.55;0.03;
3.56;0.02;
3.57;0.00;
3.58;0.05;
3.59;0.02;
3.60;0.05;
3.61;0.11;
3.62;0.06;
3.63;0.11;
3.64;0.06;
3.65;0.02;
3.66;0.03;
3.67;0.14;
3.68;0.06;
3.69;0.05;
3.70;0.00;
3.71;0.00;
3.72;0.00;
3.73;0.00;
3.74;0.00;
3.75;0.00;
3.76;0.00;
3.77;0.00;
3.78;0.06;
3.79;0.02;
3.80;0.00;
3.81;0.03;
3.82;0.00;
3.83;0.00;
3.84;0.00;
3.85;0.00;
3.86;0.00;
3.87;0.00;
3.88;0.05;
3.89;0.02;
3.90;0.00;
3.91;0.06;
3.92;0.06;
3.93;0.02;
3.94;0.05;
3.95;0.02;
3.96;0.06;
3.97;0.03;
3.98;0.05;
3.99;0.00;
4.00;0.00;
4.01;0.00;
4.02;0.00;
4.03;0.06;
4.04;0.00;
4.05;0.00;
4.06;0.00;
4.07;0.08;
4.08;0.05;
4.09;0.00;
4.10;0.08;
4.11;0.02;
4.12;0.02;
4.13;0.00;
4.14;0.05;
4.15;0.12;
4.16;0.08;
4.17;0.00;
4.18;0.00;
4.19;0.00;
4.20;0.00;
4.21;0.00;
4.22;0.00;
4.23;0.00;
4.24;0.00;
4.25;0.02;
4.26;0.02;
4.27;0.00;
4.28;0.00;
4.29;0.00;
4.30;0.00;
4.31;0.02;
4.32;0.00;
4.33;0.00;
4.34;0.06;
4.35;0.00;
4.36;0.00;
4.37;0.00;
4.38;0.00;
4.39;0.03;
4.40;0.00;
4.41;0.06;
4.42;0.00;
4.43;0.00;
4.44;0.00;
4.45;0.08;
4.46;0.08;
4.47;0.05;
4.48;0.03;
4.49;0.00;
4.50;0.06;
4.51;0.00;
4.52;0.00;
4.53;0.02;
4.54;0.00;
4.55;0.14;
4.56;0.03;
4.57;0.03;
4.58;0.00;
4.59;0.00;
4.60;0.00;
4.61;0.00;
4.62;0.00;
4.63;0.00;
4.64;0.00;
4.65;0.00;
4.66;0.00;
4.67;0.00;
4.68;0.00;
4.69;0.00;
4.70;0.00;
4.71;0.00;
4.72;0.00;
4.73;0.00;
4.74;0.00;
4.75;0.00;
4.76;0.00;
4.77;0.00;
4.78;0.00;
4.79;0.00;
4.80;0.00;
4.81;0.00;
4.82;0.02;
4.83;0.00;
4.84;0.05;
4.85;0.09;
4.86;0.00;
4.87;0.00;
4.88;0.00;
4.89;0.00;
4.90;0.00;
4.91;0.00;
4.92;0.00;
4.93;0.00;
4.94;0.00;
4.95;0.00;
4.96;0.00;
4.97;0.00;
4.98;0.00;
4.99;0.03;
5.00;0.05;
5.01;0.00;
5.02;0.00;
5.03;0.02;
5.04;0.05;
5.05;0.05;
5.06;0.03;
5.07;0.03;
5.08;0.03;
5.09;0.00;
5.10;0.05;
5.11;0.00;
5.12;0.00;
5.13;0.00;
5.14;0.09;
5.15;0.00;
5.16;0.03;
5.17;0.00;
5.18;0.00;
5.19;0.00;
5.20;0.06;
5.21;0.11;
5.22;0.00;
5.23;0.06;
5.24;0.00;
5.25;0.00;
5.26;0.00;
5.27;0.02;
5.28;0.00;
5.29;0.09;
5.30;0.02;
5.31;0.02;
5.32;0.02;
5.33;0.00;
5.34;0.00;
5.35;0.06;
5.36;0.00;
5.37;0.00;
5.38;0.00;
5.39;0.00;
5.40;0.00;
5.41;0.00;
5.42;0.00;
5.43;0.00;
5.44;0.00;
5.45;0.00;
5.46;0.00;
5.47;0.00;
5.48;0.00;
5.49;0.05;
5.50;0.02;
5.51;0.00;
5.52;0.00;
5.53;0.00;
5.54;0.00;
5.55;0.06;
5.56;0.14;
5.57;0.11;
5.58;0.11;
5.59;0.08;
5.60;0.08;
5.61;0.00;
5.62;0.00;
5.63;0.00;
5.64;0.00;
5.65;0.03;
5.66;0.06;
5.67;0.00;
5.68;0.00;
5.69;0.00;
5.70;0.00;
5.71;0.00;
5.72;0.00;
5.73;0.00;
5.74;0.00;
5.75;0.00;
5.76;0.08;
5.77;0.00;
5.78;0.00;
5.79;0.00;
5.80;0.00;
5.81;0.00;
5.82;0.00;
5.83;0.00;
5.84;0.00;
5.85;0.00;
5.86;0.12;
5.87;0.00;
5.88;0.00;
5.89;0.00;
5.90;0.00;
5.91;0.00;
5.92;0.00;
5.93;0.00;
5.94;0.09;
5.95;0.00;
5.96;0.02;
5.97;0.00;
5.98;0.00;
5.99;0.00;
6.00;0.02;
6.01;0.00;
6.02;0.00;
6.03;0.00;
6.04;0.00;
6.05;10.11;
6.06;61.14;
6.07;97.06;
6.08;124.39;
6.09;144.73;
6.10;158.16;
6.11;168.86;
6.12;177.25;
6.13;182.12;
6.14;184.38;
6.15;185.03;
6.16;185.23;
6.17;185.12;
6.18;185.27;
6.19;185.25;
6.20;185.27;
6.21;185.33;
6.22;185.33;
