method,top_inverse_term,top_inverse_strength,top_gain_to_ref_pp,top_centered_corr_to_ref_pp,top_amplitude_ratio_to_ref_pp
RTBP,P2V_relTTP,0.04637255300450498,-0.0876827286081265,-0.1971811070116353,0.5288675859045647
SinBP_D,P2V_relTTP,0.06627020282220099,-0.15044102483197028,-0.3999251202645366,0.44050619102215716
SinBP_M,cosPhi,0.05445006050225682,-0.08165611993834317,-0.1640711325774366,0.6668215504651817
