method,top_inverse_term,top_inverse_strength,top_gain_to_ref_pp,top_centered_corr_to_ref_pp,top_amplitude_ratio_to_ref_pp
RTBP,V2P_relTTP,0.011032633716065764,-0.04139856486273018,-0.14963646025419602,0.2664979752957112
SinBP_D,Stiffness,0.030886572217063105,-0.06547804770483646,-0.14011191456574956,0.4717088138652873
SinBP_M,Mean,0.0013617940886715089,-0.005499098834684315,-0.0289010132153722,0.24763950050912026
