経過時間_秒, Green, SinWave
7.609, 1.39, 2.04
7.641, 1.23, 3.27
7.674, 1.06, 4.71
7.713, 0.55, 6.44
7.741, 0.43, 7.56
7.788, 0.89, 8.78
7.811, 1.97, 9.14
7.845, 3.70, 9.45
7.873, 6.04, 9.49
7.911, 7.88, 9.25
7.935, 8.99, 8.93
7.971, 9.37, 8.21
8.004, 9.05, 7.33
8.038, 8.27, 6.33
8.079, 7.39, 7.12
8.115, 6.62, 6.27
8.133, 5.96, 5.77
8.174, 5.40, 4.69
8.210, 4.86, 3.73
8.245, 4.23, 2.85
8.272, 3.54, 2.23
8.305, 2.77, 1.39
8.351, 1.96, 0.43
8.372, 1.26, 0.54
8.413, 1.05, 1.70
8.450, 0.59, 3.58
8.482, 0.58, 5.47
8.516, 1.16, 7.36
8.547, 2.33, 8.35
8.572, 3.98, 8.74
8.605, 6.14, 9.12
8.645, 8.17, 9.36
8.676, 9.11, 9.36
8.714, 9.21, 9.15
8.748, 8.60, 8.78
8.771, 7.55, 8.43
8.806, 6.42, 6.92
8.837, 5.38, 6.97
8.898, 4.49, 5.39
8.911, 3.72, 5.04
8.949, 2.97, 4.01
8.981, 2.21, 3.18
9.015, 1.39, 2.37
9.049, 1.31, 1.56
9.070, 1.13, 0.96
9.114, 0.65, 0.56
9.154, 0.47, 1.22
9.182, 0.88, 2.19
9.217, 1.88, 3.82
9.251, 3.35, 5.59
9.279, 4.98, 6.96
9.310, 6.83, 8.09
9.348, 8.84, 8.69
9.372, 9.40, 8.96
9.411, 9.14, 9.21
9.447, 8.44, 9.19
9.483, 7.65, 6.79
9.496, 6.94, 7.49
9.541, 6.38, 6.22
9.570, 5.87, 5.32
9.616, 5.32, 3.88
9.649, 4.67, 2.91
9.675, 3.87, 2.21
9.713, 2.94, 1.17
9.743, 1.91, 0.59
9.781, 1.04, 0.54
9.805, 0.72, 0.90
9.838, 1.20, 1.85
9.885, 2.68, 3.85
9.911, 4.97, 5.12
9.951, 6.34, 7.01
9.978, 7.36, 8.08
10.007, 8.58, 8.66
10.052, 9.39, 9.25
10.083, 9.50, 9.40
10.118, 9.00, 9.31
10.151, 8.20, 8.99
10.181, 7.33, 6.20
10.205, 6.48, 5.43
10.250, 5.76, 4.03
10.289, 5.07, 2.89
10.318, 4.44, 2.16
10.350, 3.84, 1.15
10.386, 3.22, 0.69
10.412, 2.61, 0.97
10.453, 1.27, 2.36
10.480, 0.57, 3.75
10.516, 0.55, 5.82
10.558, 1.16, 8.01
10.589, 2.45, 8.74
10.615, 4.20, 9.14
10.652, 6.11, 9.46
10.676, 7.83, 9.50
10.716, 9.02, 9.30
10.744, 9.54, 8.95
10.779, 9.38, 8.30
10.812, 8.85, 7.50
10.859, 8.23, 7.61
10.885, 7.67, 5.15
10.917, 7.22, 4.00
10.949, 6.78, 2.92
10.981, 6.33, 1.98
11.013, 5.80, 1.08
11.051, 5.19, 0.51
11.081, 4.52, 0.57
11.113, 3.67, 1.11
11.154, 2.09, 2.43
11.181, 0.65, 3.57
11.220, 0.91, 5.40
11.250, 1.93, 6.78
11.281, 3.59, 8.02
11.317, 5.58, 8.89
11.345, 7.37, 9.31
11.377, 8.63, 9.53
11.412, 9.35, 9.44
11.445, 9.29, 9.04
11.484, 8.63, 8.21
11.529, 7.72, 7.18
11.550, 6.82, 6.14
11.584, 6.05, 5.07
11.621, 5.36, 3.90
11.651, 4.70, 3.00
11.690, 3.99, 1.97
11.721, 3.24, 1.02
11.753, 2.41, 0.56
