経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, Stiffness, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, E_used, Stiffness_used, SBP, DBP, SBP_process, DBP_process, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_base, DBP_base, SBP_correction, DBP_correction, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, M2_SBP_ALPHA0, M2_SBP_ALPHA1, M2_SBP_ALPHA2, M2_SBP_ALPHA3, M2_SBP_ALPHA4, M2_SBP_ALPHA5, M2_SBP_ALPHA6, M2_DBP_BETA0, M2_DBP_BETA1, M2_DBP_BETA2, M2_DBP_BETA3, M2_DBP_BETA4, M2_DBP_BETA5, M2_DBP_BETA6, M2_SBP_BASE_C0, M2_SBP_BASE_C1, M2_SBP_BASE_C2, M2_SBP_BASE_C3, M2_SBP_BASE_C4, M2_DBP_BASE_D0, M2_DBP_BASE_D1, M2_DBP_BASE_D2, M2_DBP_BASE_D3, M2_DBP_BASE_D4, M2_SBP_CORR_G0, M2_SBP_CORR_G1, M2_SBP_CORR_G2, M2_DBP_CORR_H0, M2_DBP_CORR_H1, M2_DBP_CORR_H2, M2_SBP_term_intercept, M2_SBP_term_A, M2_SBP_term_HR, M2_SBP_term_V2P_relTTP, M2_SBP_term_P2V_relTTP, M2_SBP_term_Stiffness, M2_SBP_term_E, M2_DBP_term_intercept, M2_DBP_term_A, M2_DBP_term_HR, M2_DBP_term_V2P_relTTP, M2_DBP_term_P2V_relTTP, M2_DBP_term_Stiffness, M2_DBP_term_E, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp, SinBP_D_EOnly_SBP, SinBP_D_EOnly_DBP, SinBP_D_EOnly_SBP_raw, SinBP_D_EOnly_DBP_raw, SinBP_D_EOnly_SBP_base, SinBP_D_EOnly_DBP_base, SinBP_D_EOnly_SBP_correction, SinBP_D_EOnly_DBP_correction, SinBP_D_EOnly_A_used, SinBP_D_EOnly_E_used, SinBP_D_EOnly_Stiffness_used, SinBP_D_EOnly_constraint_applied, SinBP_D_EOnly_clamp_applied, SinBP_D_EOnly_feature_clamp_applied, SinBP_D_EOnly_output_valid, SinBP_D_EOnly_feature_clamp_reason, SinBP_D_EOnly_reject_reason, SinBP_D_EOnly_MAP_raw, SinBP_D_EOnly_PP_raw, SinBP_D_EOnly_MAP_smoothed, SinBP_D_EOnly_PP_smoothed, SinBP_D_EOnly_MAP_calibrated, SinBP_D_EOnly_PP_calibrated, SinBP_D_EOnly_SBP_smoothed, SinBP_D_EOnly_DBP_smoothed, SinBP_D_EOnly_SBP_calibrated, SinBP_D_EOnly_DBP_calibrated, SinBP_D_EOnly_postprocess_applied, SinBP_D_EOnly_POST_map_a, SinBP_D_EOnly_POST_map_b, SinBP_D_EOnly_POST_pp_a, SinBP_D_EOnly_POST_pp_b, SinBP_D_EOnly_POST_alpha_map, SinBP_D_EOnly_POST_alpha_pp, SinBP_D_EOnly_SBP_coef_intercept, SinBP_D_EOnly_SBP_coef_A, SinBP_D_EOnly_SBP_coef_HR, SinBP_D_EOnly_SBP_coef_V2P_relTTP, SinBP_D_EOnly_SBP_coef_P2V_relTTP, SinBP_D_EOnly_SBP_coef_E, SinBP_D_EOnly_DBP_coef_intercept, SinBP_D_EOnly_DBP_coef_A, SinBP_D_EOnly_DBP_coef_HR, SinBP_D_EOnly_DBP_coef_V2P_relTTP, SinBP_D_EOnly_DBP_coef_P2V_relTTP, SinBP_D_EOnly_DBP_coef_E, SinBP_D_EOnly_SBP_term_intercept, SinBP_D_EOnly_SBP_term_A, SinBP_D_EOnly_SBP_term_HR, SinBP_D_EOnly_SBP_term_V2P_relTTP, SinBP_D_EOnly_SBP_term_P2V_relTTP, SinBP_D_EOnly_SBP_term_E, SinBP_D_EOnly_DBP_term_intercept, SinBP_D_EOnly_DBP_term_A, SinBP_D_EOnly_DBP_term_HR, SinBP_D_EOnly_DBP_term_V2P_relTTP, SinBP_D_EOnly_DBP_term_P2V_relTTP, SinBP_D_EOnly_DBP_term_E, SinBP_D_E2_SBP, SinBP_D_E2_DBP, SinBP_D_E2_SBP_raw, SinBP_D_E2_DBP_raw, SinBP_D_E2_SBP_base, SinBP_D_E2_DBP_base, SinBP_D_E2_SBP_correction, SinBP_D_E2_DBP_correction, SinBP_D_E2_A_used, SinBP_D_E2_E_used, SinBP_D_E2_Stiffness_used, SinBP_D_E2_constraint_applied, SinBP_D_E2_clamp_applied, SinBP_D_E2_feature_clamp_applied, SinBP_D_E2_output_valid, SinBP_D_E2_feature_clamp_reason, SinBP_D_E2_reject_reason, SinBP_D_E2_MAP_raw, SinBP_D_E2_PP_raw, SinBP_D_E2_MAP_smoothed, SinBP_D_E2_PP_smoothed, SinBP_D_E2_MAP_calibrated, SinBP_D_E2_PP_calibrated, SinBP_D_E2_SBP_smoothed, SinBP_D_E2_DBP_smoothed, SinBP_D_E2_SBP_calibrated, SinBP_D_E2_DBP_calibrated, SinBP_D_E2_postprocess_applied, SinBP_D_E2_POST_map_a, SinBP_D_E2_POST_map_b, SinBP_D_E2_POST_pp_a, SinBP_D_E2_POST_pp_b, SinBP_D_E2_POST_alpha_map, SinBP_D_E2_POST_alpha_pp, SinBP_D_E2_SBP_coef_intercept, SinBP_D_E2_SBP_coef_A, SinBP_D_E2_SBP_coef_HR, SinBP_D_E2_SBP_coef_V2P_relTTP, SinBP_D_E2_SBP_coef_P2V_relTTP, SinBP_D_E2_SBP_coef_E, SinBP_D_E2_SBP_coef_E2, SinBP_D_E2_DBP_coef_intercept, SinBP_D_E2_DBP_coef_A, SinBP_D_E2_DBP_coef_HR, SinBP_D_E2_DBP_coef_V2P_relTTP, SinBP_D_E2_DBP_coef_P2V_relTTP, SinBP_D_E2_DBP_coef_E, SinBP_D_E2_DBP_coef_E2, SinBP_D_E2_SBP_term_intercept, SinBP_D_E2_SBP_term_A, SinBP_D_E2_SBP_term_HR, SinBP_D_E2_SBP_term_V2P_relTTP, SinBP_D_E2_SBP_term_P2V_relTTP, SinBP_D_E2_SBP_term_E, SinBP_D_E2_SBP_term_E2, SinBP_D_E2_DBP_term_intercept, SinBP_D_E2_DBP_term_A, SinBP_D_E2_DBP_term_HR, SinBP_D_E2_DBP_term_V2P_relTTP, SinBP_D_E2_DBP_term_P2V_relTTP, SinBP_D_E2_DBP_term_E, SinBP_D_E2_DBP_term_E2, SinBP_D_LocalA_SBP, SinBP_D_LocalA_DBP, SinBP_D_LocalA_SBP_raw, SinBP_D_LocalA_DBP_raw, SinBP_D_LocalA_SBP_base, SinBP_D_LocalA_DBP_base, SinBP_D_LocalA_SBP_correction, SinBP_D_LocalA_DBP_correction, SinBP_D_LocalA_A_used, SinBP_D_LocalA_E_used, SinBP_D_LocalA_Stiffness_used, SinBP_D_LocalA_constraint_applied, SinBP_D_LocalA_clamp_applied, SinBP_D_LocalA_feature_clamp_applied, SinBP_D_LocalA_output_valid, SinBP_D_LocalA_feature_clamp_reason, SinBP_D_LocalA_reject_reason, SinBP_D_LocalA_MAP_raw, SinBP_D_LocalA_PP_raw, SinBP_D_LocalA_MAP_smoothed, SinBP_D_LocalA_PP_smoothed, SinBP_D_LocalA_MAP_calibrated, SinBP_D_LocalA_PP_calibrated, SinBP_D_LocalA_SBP_smoothed, SinBP_D_LocalA_DBP_smoothed, SinBP_D_LocalA_SBP_calibrated, SinBP_D_LocalA_DBP_calibrated, SinBP_D_LocalA_postprocess_applied, SinBP_D_LocalA_POST_map_a, SinBP_D_LocalA_POST_map_b, SinBP_D_LocalA_POST_pp_a, SinBP_D_LocalA_POST_pp_b, SinBP_D_LocalA_POST_alpha_map, SinBP_D_LocalA_POST_alpha_pp, SinBP_D_LocalA_SBP_coef_intercept, SinBP_D_LocalA_SBP_coef_A_local, SinBP_D_LocalA_SBP_coef_HR, SinBP_D_LocalA_SBP_coef_V2P_relTTP, SinBP_D_LocalA_SBP_coef_P2V_relTTP, SinBP_D_LocalA_SBP_coef_Stiffness, SinBP_D_LocalA_SBP_coef_E, SinBP_D_LocalA_DBP_coef_intercept, SinBP_D_LocalA_DBP_coef_A_local, SinBP_D_LocalA_DBP_coef_HR, SinBP_D_LocalA_DBP_coef_V2P_relTTP, SinBP_D_LocalA_DBP_coef_P2V_relTTP, SinBP_D_LocalA_DBP_coef_Stiffness, SinBP_D_LocalA_DBP_coef_E, SinBP_D_LocalA_SBP_term_intercept, SinBP_D_LocalA_SBP_term_A_local, SinBP_D_LocalA_SBP_term_HR, SinBP_D_LocalA_SBP_term_V2P_relTTP, SinBP_D_LocalA_SBP_term_P2V_relTTP, SinBP_D_LocalA_SBP_term_Stiffness, SinBP_D_LocalA_SBP_term_E, SinBP_D_LocalA_DBP_term_intercept, SinBP_D_LocalA_DBP_term_A_local, SinBP_D_LocalA_DBP_term_HR, SinBP_D_LocalA_DBP_term_V2P_relTTP, SinBP_D_LocalA_DBP_term_P2V_relTTP, SinBP_D_LocalA_DBP_term_Stiffness, SinBP_D_LocalA_DBP_term_E
0.027, 9.2984, 78.1005, -0.5090, -0.4678, 3.4850, 10.6268, 5.0983, 78.1005, -0.5103, -0.4690, 3.4850, 7.8689, 119.01, 87.71, 119.01, 87.71, 5.9158, 1.4873, 0.9965, 0.0834, 0.3828, 4.5715, 772.0000, 768.2413, 1, 23, 0.4070, 9.8651, 9.4581, 3.3512, 0.4870, 0.5130, 119.01, 87.71, 117.62, 88.39, 1.39, -0.69, 119.01, 87.71, 0, 0, 1, 1, A:9.2984->5.0983, ok, 137.3111309623, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 0.6721951424, -1.0637116397, 78.7212457837, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.3289218738, 0.5099990722, 137.5034320387, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 78.5969886398, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.1923010764, 0.6721951424, -1.0637116397, 0.1242571439, -0.3289218738, 0.5099990722, 137.3111309623, -0.5715953259, -26.7991492807, 1.3281666722, 6.1553573142, 5.2894462327, -3.7070150690, 78.7212457837, 0.3008792883, 13.1635108237, -0.6503430049, -3.0182801341, -2.5882581656, 1.7773371799, 98.1395, 31.3002, 98.1395, 31.3002, 98.1395, 31.3002, 119.01, 87.71, 119.01, 87.71, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 132.10, 105.23, 132.10, 105.23, 117.60, 88.40, 14.50, 16.83, 5.0983, 3.4850, 0.0000, 0, 0, 1, 1, A:9.2984->5.0983, ok, 114.1859, 26.8714, 114.1859, 26.8714, 114.1859, 26.8714, 132.10, 105.23, 132.10, 105.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 134.5328589680, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 5.0140365085, 85.1394279201, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.9509714180, 134.5328589680, -0.5715953259, -26.7991492807, 1.3247435622, 6.1394929912, 17.4738229798, 85.1394279201, 0.3008792883, 13.1635108237, -0.6486668632, -3.0105010616, 10.2840799204, 131.05, 104.61, 131.05, 104.61, 117.60, 88.40, 13.46, 16.20, 5.0983, 3.4850, 0.0000, 0, 0, 1, 1, A:9.2984->5.0983, ok, 113.4216, 26.4489, 113.4216, 26.4489, 113.4216, 26.4489, 131.05, 104.61, 131.05, 104.61, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 149.8407459508, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, -5.5982604250, 1.6986120804, 94.2626273839, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -3.3737487606, 1.0123393802, 149.8407459508, -0.5715953259, -26.7991492807, 1.3247435622, 6.1394929912, -19.5098323468, 20.6298033526, 94.2626273839, 0.3008792883, 13.1635108237, -0.6486668632, -3.0105010616, -11.7574510122, 12.2949569130, 133.96, 107.22, 133.96, 107.22, 117.60, 88.40, 16.36, 18.82, 5.0983, 3.4850, 7.8689, 0, 0, 1, 1, A:9.4581->5.0983, ok, 116.1340, 26.7319, 116.1340, 26.7319, 116.1340, 26.7319, 133.96, 107.22, 133.96, 107.22, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 140.1940847919, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 2.5372951923, -1.8071920900, 91.6580320128, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.6320147521, -4.2901185002, 140.1940847919, -0.5715953259, -26.7991492807, 1.3247435622, 6.1394929912, 19.9657594194, -6.2980304626, 91.6580320128, 0.3008792883, 13.1635108237, -0.6486668632, -3.0105010616, 20.7110995552, -14.9509823290
0.559, 9.2984, 78.1005, -0.5103, -0.4678, 3.4850, 10.6268, 5.0983, 78.1005, -0.5103, -0.4690, 3.4850, 7.8689, 119.01, 87.71, 119.01, 87.71, 5.9158, 1.4873, 0.9965, 0.0834, 0.3828, 4.5715, 772.0000, 768.2413, 1, 23, 0.4070, 9.8651, 9.4581, 3.3512, 0.4870, 0.5130, 119.01, 87.71, 117.62, 88.39, 1.39, -0.69, 119.01, 87.71, 0, 0, 1, 1, A:9.2984->5.0983, ok, 137.3111309623, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 0.6721951424, -1.0637116397, 78.7212457837, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.3289218738, 0.5099990722, 137.5034320387, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 78.5969886398, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.1923010764, 0.6721951424, -1.0637116397, 0.1242571439, -0.3289218738, 0.5099990722, 137.3111309623, -0.5715953259, -26.7991492807, 1.3281666722, 6.1553573142, 5.2894462327, -3.7070150690, 78.7212457837, 0.3008792883, 13.1635108237, -0.6503430049, -3.0182801341, -2.5882581656, 1.7773371799, 98.1395, 31.3002, 98.1395, 31.3002, 98.1395, 31.3002, 119.01, 87.71, 119.01, 87.71, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 132.10, 105.23, 132.10, 105.23, 117.60, 88.40, 14.50, 16.83, 5.0983, 3.4850, 0.0000, 0, 0, 1, 1, A:9.2984->5.0983, ok, 114.1859, 26.8764, 114.1859, 26.8739, 114.1859, 26.8739, 132.10, 105.23, 132.10, 105.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 134.5328589680, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 5.0140365085, 85.1394279201, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.9509714180, 134.5328589680, -0.5715953259, -26.7991492807, 1.3280973434, 6.1394929912, 17.4738229798, 85.1394279201, 0.3008792883, 13.1635108237, -0.6503090578, -3.0105010616, 10.2840799204, 131.06, 104.60, 131.06, 104.60, 117.60, 88.40, 13.46, 16.20, 5.0983, 3.4850, 0.0000, 0, 0, 1, 1, A:9.2984->5.0983, ok, 113.4217, 26.4538, 113.4216, 26.4514, 113.4216, 26.4514, 131.06, 104.60, 131.06, 104.60, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 149.8407459508, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, -5.5982604250, 1.6986120804, 94.2626273839, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -3.3737487606, 1.0123393802, 149.8407459508, -0.5715953259, -26.7991492807, 1.3280973434, 6.1394929912, -19.5098323468, 20.6298033526, 94.2626273839, 0.3008792883, 13.1635108237, -0.6503090578, -3.0105010616, -11.7574510122, 12.2949569130, 133.96, 107.22, 133.96, 107.22, 117.60, 88.40, 16.36, 18.82, 5.0983, 3.4850, 7.8689, 0, 0, 1, 1, A:9.4581->5.0983, ok, 116.1340, 26.7369, 116.1340, 26.7344, 116.1340, 26.7344, 133.96, 107.22, 133.96, 107.22, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 140.1940847919, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 2.5372951923, -1.8071920900, 91.6580320128, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.6320147521, -4.2901185002, 140.1940847919, -0.5715953259, -26.7991492807, 1.3280973434, 6.1394929912, 19.9657594194, -6.2980304626, 91.6580320128, 0.3008792883, 13.1635108237, -0.6503090578, -3.0105010616, 20.7110995552, -14.9509823290
1.360, 9.4067, 76.6655, -0.4969, -0.4969, 3.5693, 10.9471, 5.0983, 76.6655, -0.5103, -0.4678, 3.5693, 8.0593, 119.52, 87.45, 119.52, 87.45, 5.8966, 1.5964, 0.9997, -0.0256, -0.1167, 4.5610, 782.0000, 782.6207, 1, 24, 0.5172, 9.8598, 9.3427, 3.3211, 0.4872, 0.5128, 119.52, 87.45, 118.09, 88.16, 1.43, -0.71, 119.52, 87.45, 0, 0, 1, 1, A:9.4067->5.0983, ok, 137.3111309623, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 0.6721951424, -1.0637116397, 78.7212457837, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.3289218738, 0.5099990722, 137.5034320387, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 78.5969886398, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.1923010764, 0.6721951424, -1.0637116397, 0.1242571439, -0.3289218738, 0.5099990722, 137.3111309623, -0.5715953259, -26.3067603187, 1.3280973434, 6.1394929912, 5.4174033669, -3.7966915690, 78.7212457837, 0.3008792883, 12.9216536154, -0.6503090578, -3.0105010616, -2.6508707876, 1.8203327908, 98.1420, 32.0686, 98.1402, 31.6844, 98.1402, 31.6844, 119.26, 87.58, 119.26, 87.58, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 133.37, 105.06, 133.37, 105.06, 118.44, 87.99, 14.93, 17.08, 5.0983, 3.5693, 0.0000, 0, 0, 1, 1, A:9.4067->5.0983, ok, 114.4978, 28.3013, 114.2794, 27.5876, 114.2794, 27.5876, 132.67, 105.08, 132.67, 105.08, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 134.5328589680, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 5.0140365085, 85.1394279201, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.9509714180, 134.5328589680, -0.5715953259, -26.3067603187, 1.2931035614, 6.5211541844, 17.8965326954, 85.1394279201, 0.3008792883, 12.9216536154, -0.6331741892, -3.1976486695, 10.5328623707, 132.43, 104.51, 132.43, 104.51, 118.44, 87.99, 14.00, 16.52, 5.0983, 3.5693, 0.0000, 0, 0, 1, 1, A:9.4067->5.0983, ok, 113.8179, 27.9254, 113.5405, 27.1884, 113.5405, 27.1884, 131.67, 104.48, 131.67, 104.48, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 149.8407459508, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, -5.5982604250, 1.6986120804, 94.2626273839, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -3.3737487606, 1.0123393802, 149.8407459508, -0.5715953259, -26.3067603187, 1.2931035614, 6.5211541844, -19.9817952190, 21.6399882735, 94.2626273839, 0.3008792883, 12.9216536154, -0.6331741892, -3.1976486695, -12.0418758217, 12.8970072508, 135.13, 106.95, 135.13, 106.95, 118.44, 87.99, 16.69, 18.96, 5.0983, 3.5693, 8.0593, 0, 0, 1, 1, A:9.3427->5.0983, ok, 116.3423, 28.1791, 116.1965, 27.4568, 116.1965, 27.4568, 134.50, 107.04, 134.50, 107.04, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 140.1940847919, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 2.5372951923, -1.8071920900, 91.6580320128, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.6320147521, -4.2901185002, 140.1940847919, -0.5715953259, -26.3067603187, 1.2931035614, 6.5211541844, 20.4487516355, -6.4503862847, 91.6580320128, 0.3008792883, 12.9216536154, -0.6331741892, -3.1976486695, 21.2121223144, -15.3126619394
2.067, 9.4067, 74.9241, -0.4017, -0.4835, 3.1972, 9.8058, 5.0983, 74.9241, -0.4969, -0.4969, 3.1972, 7.2190, 120.30, 87.08, 120.30, 87.08, 6.2094, 1.5422, 0.9996, 0.0286, 0.1226, 4.2864, 791.0000, 800.8103, 1, 23, 0.4532, 9.8157, 9.3625, 3.1903, 0.5234, 0.4766, 120.30, 87.08, 119.04, 87.70, 1.26, -0.62, 120.30, 87.08, 0, 0, 1, 1, A:9.4067->5.0983, ok, 137.3111309623, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 0.6721951424, -1.0637116397, 78.7212457837, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.3289218738, 0.5099990722, 137.5034320387, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 78.5969886398, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -0.1923010764, 0.6721951424, -1.0637116397, 0.1242571439, -0.3289218738, 0.5099990722, 137.3111309623, -0.5715953259, -25.7092266446, 1.2931035614, 6.5211541844, 4.8525847759, -3.4008484247, 78.7212457837, 0.3008792883, 12.6281502320, -0.6331741892, -3.1976486695, -2.3744909425, 1.6305448550, 98.1491, 33.2208, 98.1429, 32.4526, 98.1429, 32.4526, 119.78, 87.33, 119.78, 87.33, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 131.67, 103.88, 131.67, 103.88, 118.61, 87.90, 13.06, 15.98, 5.0983, 3.1972, 0.0000, 0, 0, 1, 1, A:9.4067->5.0983, ok, 113.1444, 27.7946, 113.9389, 27.6911, 113.9389, 27.6911, 132.40, 104.71, 132.40, 104.71, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 134.5328589680, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 5.0140365085, 85.1394279201, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.9509714180, 134.5328589680, -0.5715953259, -25.7092266446, 1.0454624516, 6.3459827655, 16.0306398133, 85.1394279201, 0.3008792883, 12.6281502320, -0.5119155649, -3.1117533451, 9.4347059144, 130.42, 103.13, 130.42, 103.13, 118.61, 87.90, 11.80, 15.23, 5.0983, 3.1972, 0.0000, 0, 0, 1, 1, A:9.4067->5.0983, ok, 112.2249, 27.2862, 113.1458, 27.2373, 113.1458, 27.2373, 131.30, 104.07, 131.30, 104.07, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 149.8407459508, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, -5.5982604250, 1.6986120804, 94.2626273839, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, -3.3737487606, 1.0123393802, 149.8407459508, -0.5715953259, -25.7092266446, 1.0454624516, 6.3459827655, -17.8984928216, 17.3628469552, 94.2626273839, 0.3008792883, 12.6281502320, -0.5119155649, -3.1117533451, -10.7863895907, 10.3479151766, 133.84, 106.25, 133.84, 106.25, 118.61, 87.90, 15.23, 18.35, 5.0983, 3.1972, 7.2190, 0, 0, 1, 1, A:9.3625->5.0983, ok, 115.4464, 27.5958, 115.9715, 27.5263, 115.9715, 27.5263, 134.32, 106.80, 134.32, 106.80, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000, 140.1940847919, -0.1121140069, -0.3431369069, -2.6025341880, -13.1246461741, 2.5372951923, -1.8071920900, 91.6580320128, 0.0590151477, 0.1685458871, 1.2743430021, 6.4356716910, 2.6320147521, -4.2901185002, 140.1940847919, -0.5715953259, -25.7092266446, 1.0454624516, 6.3459827655, 18.3167643521, -5.7778688725, 91.6580320128, 0.3008792883, 12.6281502320, -0.5119155649, -3.1117533451, 19.0005459877, -13.7161634777
