fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,MAP_mae,MAP_rmse,MAP_bias,PP_mae,PP_rmse,PP_bias,SBP_corr,DBP_corr,MAP_corr,PP_corr
all_sessions_fit,eitaro_20260410_155023,RTBP,213,8.083587955098237,8.287724940008168,8.083587955098237,3.9698987740628677,4.073966821619182,-3.9698987740628677,0.05532601875038807,0.06621261844022955,0.047930135657500914,12.053486729161103,12.361288990798192,12.053486729161103,0.3330633724550306,0.3305752531050902,0.05896003907171373,0.3324248236710269
all_sessions_fit,eitaro_20260410_155023,SinBP_D,208,7.836209082044676,8.075251405520964,7.836209082044676,3.848721283085584,3.9700487006706,-3.848721283085584,0.05455473078950176,0.06526627283873049,0.04625550529116874,11.684930365130263,12.044883534595728,11.684930365130263,0.07885438970318262,0.0778081383026284,0.03141564108860999,0.07855290585581869
all_sessions_fit,eitaro_20260410_155023,SinBP_M,188,7.724118583978142,7.924504539390502,7.724118583978142,3.7971894908235666,3.8988957597441707,-3.7971894908235666,0.05315782162760763,0.06396026408735157,0.043246534110336035,11.52130807480171,11.822961287641293,11.52130807480171,0.2812350077236478,0.28352639639259614,-0.0926389453466945,0.2822041263618431
all_sessions_fit,jin_20260409_182834,RTBP,101,4.412559330419765,5.477751144272223,-3.3517638561981844,2.22230772540592,2.7519162336825094,1.6959875892254819,0.03700083210195288,0.04545138187499132,0.01340377408425874,6.634867055825685,8.229123224436787,-5.047751445423666,-0.32414814116374613,-0.3241392604709918,0.1010619114743021,-0.32420276819395105
all_sessions_fit,jin_20260409_182834,SinBP_D,93,4.919291701050441,6.075909515942429,-4.129558502852074,2.4730398961422653,3.0500246704097105,2.0824362752842087,0.03519462269782976,0.04401312632271369,0.011771349238781006,7.392331597192704,9.125472532444775,-6.211994778136282,-0.38608545511335335,-0.3833660630754447,0.008212892989978748,-0.38523079149087786
all_sessions_fit,jin_20260409_182834,SinBP_M,80,4.7319177126103975,5.905370358173194,-3.8802996899215474,2.3772147621024002,2.958980027300886,1.9617266160740534,0.03696817347642885,0.045363215250737894,0.014384514075518596,7.107406674897956,8.863832512567127,-5.842026305995601,-0.4256455889109985,-0.4197159983748213,-0.07755875710077158,-0.4237374291332798
all_sessions_fit,yamaguchi_20260410_180602,RTBP,96,2.7863444338072614,3.4378128622378834,-2.3609582767333546,1.3835775042029557,1.7025439209106283,1.1487145829846634,0.03987777662125458,0.0499440028913183,-0.021176370254676186,4.169752021184297,5.139316929916845,-3.509672859718018,-0.13000518302065214,-0.13516692343146522,0.036002441868244445,-0.13180984440779336
all_sessions_fit,yamaguchi_20260410_180602,SinBP_D,87,3.122311173967449,3.6006261594139524,-2.5431332098358688,1.5392606552823564,1.779599881027374,1.2420466367168288,0.03828253134801717,0.04698377263873072,-0.01967997880073677,4.661571829249806,5.379382555873013,-3.7851798465526967,-0.17987502028258337,-0.18958669786561486,0.15791561255674957,-0.18325357263997782
all_sessions_fit,yamaguchi_20260410_180602,SinBP_M,72,3.3393244757903324,3.893939313774101,-2.7754956539504536,1.6552805445365484,1.9362265796150735,1.3605426100944071,0.03766321513635735,0.04681002719503808,-0.018136811253881016,4.992533638228007,5.829340002774751,-4.136038264044861,-0.2548913934248306,-0.27191216682438146,0.35189189452999375,-0.2607882434026059
all_sessions_fit,yu_20260409_182115,RTBP,56,5.4280412168127645,5.73488659408444,-5.4280412168127645,2.6775215969125696,2.8331417491504434,2.6775215969125696,0.0447734840594468,0.05414489260723592,-0.02433267432920922,8.105562813725333,8.567395775296735,-8.105562813725333,0.011187108683629684,0.02855371355343551,-0.10646582360926866,0.016995336326356643
