channel,n_samples,coverage,mape,mae,rmse,bias,corr
Green,3594,1.0,29.71215868893883,2.9712158688938826,3.640844895405022,0.4179267469573253,0.0702572410479731
SinWave,3594,1.0,18.217952294436973,1.8217952294436972,2.2449428481746674,-0.6564862897394845,0.1868316349021397
