channel,n_samples,coverage,mape,mae,rmse,bias,corr
Green,3594,1.0,28.74114079742609,2.874114079742609,3.531464024791807,0.3266247578882317,0.07028865558827145
SinWave,3594,1.0,17.973557221057877,1.7973557221057876,2.2120989144689807,-0.6015836327860054,0.18917438779357298
