経過時間_秒, A, HR, Mean, Phi, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
35.399, 3.4780, 81.1839, 3.9627, 2.4443, 123.37, 87.46, 0.6421, -0.7666, -2.6662, 2.2333, 0.5726, 836.0000, 711.1253, 1, 26, 0.2376, 7.9864, 7.7488, 2.5251, 0.6029, 0.3971, 123.37, 87.46, 123.37, 87.46, 0, 0, 1, ok
36.168, 4.7219, 79.5723, 5.5148, 2.8487, 135.95, 94.53, 0.2888, -0.9574, -4.5208, 1.3635, 0.4360, 635.0000, 739.0627, 1, 20, 0.5980, 9.7893, 9.1913, 3.3673, 0.6362, 0.3638, 135.95, 94.53, 135.95, 94.53, 0, 0, 1, ok
37.109, 4.3962, 70.7534, 5.9606, 2.2035, 122.13, 83.15, 0.8064, -0.5913, -2.5997, 3.5452, 0.8091, 765.0000, 754.0313, 1, 24, 0.4753, 9.7738, 9.2985, 3.2121, 0.5634, 0.4366, 122.13, 83.15, 122.13, 83.15, 0, 0, 1, ok
37.934, 4.4917, 71.7697, 5.1923, 2.0368, 121.46, 79.24, 0.8934, -0.4494, -2.0183, 4.0126, 0.6362, 772.0000, 848.0157, 1, 24, 0.3898, 9.7414, 9.3516, 3.2392, 0.5233, 0.4767, 121.46, 79.24, 121.46, 79.24, 0, 0, 1, ok
38.634, 2.9192, 78.0738, 3.1817, 2.2065, 119.43, 80.32, 0.8047, -0.5937, -1.7332, 2.3490, 1.0507, 934.0000, 836.0078, 1, 29, 0.1351, 7.8211, 7.6860, 2.3162, 0.5054, 0.4946, 119.43, 80.32, 119.43, 80.32, 0, 0, 1, ok
39.543, 2.6123, 71.5349, 2.8324, 2.7985, 128.45, 90.16, 0.3364, -0.9417, -2.4601, 0.8788, 0.7902, 833.0000, 768.5039, 1, 26, 0.2062, 6.4372, 6.2310, 2.0091, 0.5630, 0.4370, 128.45, 90.16, 128.45, 90.16, 0, 0, 1, ok
40.314, 4.3255, 74.5920, 3.7765, 2.6834, 134.90, 91.36, 0.4423, -0.8969, -3.8794, 1.9133, 1.2868, 701.0000, 838.7520, 1, 22, 0.2298, 9.6951, 9.4653, 3.3183, 0.5649, 0.4351, 134.90, 91.36, 134.90, 91.36, 0, 0, 1, ok
41.178, 4.4070, 71.9262, 4.1009, 2.1805, 124.02, 83.34, 0.8198, -0.5726, -2.5235, 3.6130, 0.8069, 900.0000, 804.3760, 1, 28, 0.2066, 9.5450, 9.3384, 3.2190, 0.4756, 0.5244, 124.02, 83.34, 124.02, 83.34, 0, 0, 1, ok
41.980, 4.5777, 73.3412, 4.7849, 2.3013, 127.63, 85.16, 0.7449, -0.6672, -3.0543, 3.4097, 0.4509, 774.0000, 834.1880, 1, 24, 0.4541, 9.8072, 9.3530, 3.2682, 0.5194, 0.4806, 127.63, 85.16, 127.63, 85.16, 0, 0, 1, ok
42.820, 4.4959, 72.3723, 6.2013, 2.4676, 129.57, 87.04, 0.6241, -0.7813, -3.5128, 2.8060, 0.8119, 867.0000, 818.0940, 1, 27, 0.5519, 9.9286, 9.3767, 3.2811, 0.6171, 0.3829, 129.57, 87.04, 129.57, 87.04, 0, 0, 1, ok
