経過時間_秒, A, HR, Mean, Phi, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
75.423, 4.6116, 79.3508, 5.9334, 2.4065, 127.53, 87.42, 0.6706, -0.7418, -3.4208, 3.0928, 0.8031, 833.0000, 757.2723, 1, 26, 0.3793, 9.8314, 9.4521, 3.3583, 0.5990, 0.4010, 127.53, 87.42, 127.53, 87.42, 0, 0, 1, ok
76.233, 4.1556, 76.6217, 6.3175, 2.4970, 127.16, 87.51, 0.6009, -0.7993, -3.3217, 2.4970, 0.9575, 704.0000, 756.1362, 1, 22, 0.5360, 9.7289, 9.1929, 3.0905, 0.6207, 0.3793, 127.16, 87.51, 127.16, 87.51, 0, 0, 1, ok
77.027, 4.6174, 76.0906, 5.6884, 2.2620, 125.25, 84.58, 0.7705, -0.6375, -2.9434, 3.5576, 0.6709, 760.0000, 783.0681, 1, 24, 0.3983, 9.8168, 9.4185, 3.3332, 0.5645, 0.4355, 125.25, 84.58, 125.25, 84.58, 0, 0, 1, ok
77.724, 4.4989, 80.7247, 5.9258, 2.1607, 122.50, 82.06, 0.8310, -0.5563, -2.5027, 3.7385, 0.8426, 806.0000, 788.5340, 1, 25, 0.4108, 9.7399, 9.3291, 3.2909, 0.5372, 0.4628, 122.50, 82.06, 122.50, 82.06, 0, 0, 1, ok
78.593, 4.0757, 74.4756, 4.8792, 2.1377, 119.67, 82.03, 0.8436, -0.5370, -2.1887, 3.4382, 0.9009, 810.0000, 743.2670, 1, 25, 0.2593, 9.0163, 8.7570, 3.0195, 0.5852, 0.4148, 119.67, 82.03, 119.67, 82.03, 0, 0, 1, ok
79.437, 4.7319, 72.7434, 4.4805, 2.5788, 133.56, 90.85, 0.5335, -0.8458, -4.0022, 2.5246, 0.7986, 692.0000, 805.6335, 1, 22, 0.2680, 9.7294, 9.4614, 3.4400, 0.5694, 0.4306, 133.56, 90.85, 133.56, 90.85, 0, 0, 1, ok
80.139, 3.3533, 78.5949, 4.1208, 1.9816, 115.48, 76.31, 0.9168, -0.3994, -1.3392, 3.0743, 1.1436, 875.0000, 824.8168, 1, 27, 0.2009, 8.8654, 8.6645, 2.6325, 0.5337, 0.4663, 115.48, 76.31, 115.48, 76.31, 0, 0, 1, ok
80.901, 3.5945, 78.6675, 3.3965, 2.6356, 129.38, 90.24, 0.4847, -0.8747, -3.1440, 1.7422, 0.8747, 834.0000, 763.4084, 1, 26, 0.2173, 8.6239, 8.4066, 2.6880, 0.5624, 0.4376, 129.38, 90.24, 129.38, 90.24, 0, 0, 1, ok
81.677, 4.8564, 77.9877, 5.0491, 2.8526, 137.49, 94.87, 0.2850, -0.9585, -4.6550, 1.3840, 0.4543, 709.0000, 762.7042, 1, 22, 0.3129, 9.6535, 9.3406, 3.4639, 0.6248, 0.3752, 137.49, 94.87, 137.49, 94.87, 0, 0, 1, ok
82.450, 4.3749, 77.8032, 6.1916, 2.5791, 130.12, 89.22, 0.5333, -0.8459, -3.7009, 2.3330, 0.7806, 759.0000, 769.3521, 1, 24, 0.5593, 9.9128, 9.3535, 3.1905, 0.6561, 0.3439, 130.12, 89.22, 130.12, 89.22, 0, 0, 1, ok
83.177, 3.6628, 80.0974, 6.9742, 2.2990, 120.87, 82.08, 0.7464, -0.6655, -2.4378, 2.7338, 1.0344, 772.0000, 771.1760, 1, 24, 0.6134, 9.9099, 9.2965, 2.7889, 0.6088, 0.3912, 120.87, 82.08, 120.87, 82.08, 0, 0, 1, ok
83.884, 3.8911, 82.3560, 6.7399, 2.1540, 118.26, 80.40, 0.8347, -0.5507, -2.1429, 3.2478, 1.1806, 766.0000, 749.0880, 1, 24, 0.5709, 9.8122, 9.2413, 2.9940, 0.5692, 0.4308, 118.26, 80.40, 118.26, 80.40, 0, 0, 1, ok
84.649, 4.5114, 80.3458, 5.8545, 2.2992, 124.10, 85.78, 0.7462, -0.6657, -3.0033, 3.3665, 0.8051, 734.0000, 728.5440, 1, 23, 0.2391, 9.7828, 9.5437, 3.2901, 0.5913, 0.4087, 124.10, 85.78, 124.10, 85.78, 0, 0, 1, ok
