経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
61.697, 8.6952, 75.2079, -0.6087, -0.3913, 3.4600, 117.20, 80.83, 4.4640, 2.0641, 0.8808, -0.4735, -1.8820, 3.5008, 839.0000, 787.5760, 1, 26, 0.2867, 8.8843, 8.5976, 2.8905, 0.5161, 0.4839, 117.20, 80.83, 117.20, 80.83, 0, 0, 1, ok
62.497, 8.9549, 75.0569, -0.5718, -0.4072, 3.9363, 121.71, 82.39, 3.7330, 2.3462, 0.7141, -0.7000, -2.8405, 2.8976, 764.0000, 797.7880, 1, 24, 0.1891, 9.3485, 9.1594, 3.0632, 0.5196, 0.4804, 121.71, 82.39, 121.71, 82.39, 0, 0, 1, ok
63.296, 9.4104, 75.1224, -0.5356, -0.4120, 4.4582, 130.96, 91.52, 5.2255, 2.4165, 0.6632, -0.7485, -3.5427, 3.1391, 809.0000, 799.3940, 1, 25, 0.3936, 9.8439, 9.4503, 3.4018, 0.5328, 0.4672, 130.96, 91.52, 130.96, 91.52, 0, 0, 1, ok
63.998, 9.3196, 79.9096, -0.5376, -0.4536, 4.1186, 127.86, 90.19, 5.8016, 2.2405, 0.7840, -0.6207, -2.8908, 3.6511, 802.0000, 798.6970, 1, 25, 0.4335, 9.8576, 9.4241, 3.3664, 0.5424, 0.4576, 127.86, 90.19, 127.86, 90.19, 0, 0, 1, ok
64.801, 9.3196, 77.2276, -0.6572, -0.4225, 3.2640, 116.75, 83.29, 6.7411, 2.0952, 0.8656, -0.5007, -1.9711, 3.4074, 802.0000, 750.8485, 1, 25, 0.5379, 9.8348, 9.2968, 3.0177, 0.5823, 0.4177, 116.75, 83.29, 116.75, 83.29, 0, 0, 1, ok
65.568, 9.4557, 77.7744, -0.5342, -0.4110, 3.5776, 116.30, 78.08, 6.1371, 2.1177, 0.8541, -0.5201, -2.2496, 3.6945, 697.0000, 776.9243, 1, 22, 0.3953, 9.7682, 9.3729, 3.1880, 0.5739, 0.4261, 116.30, 78.08, 116.30, 78.08, 0, 0, 1, ok
66.269, 9.4611, 81.4408, -0.5170, -0.4308, 4.0421, 126.63, 90.48, 5.6140, 2.1365, 0.8442, -0.5360, -2.5247, 3.9762, 805.0000, 771.4621, 1, 25, 0.3124, 9.8058, 9.4934, 3.4014, 0.5404, 0.4596, 126.63, 90.48, 126.63, 90.48, 0, 0, 1, ok
67.074, 9.4683, 77.8346, -0.6581, -0.4231, 3.8724, 124.89, 91.13, 5.8253, 2.1626, 0.8299, -0.5579, -2.5423, 3.7819, 764.0000, 736.7311, 1, 24, 0.3447, 9.8009, 9.4561, 3.3098, 0.5563, 0.4437, 124.89, 91.13, 124.89, 91.13, 0, 0, 1, ok
67.838, 9.3671, 78.1827, -0.4919, -0.4099, 3.4666, 114.59, 76.81, 5.9753, 2.0781, 0.8740, -0.4858, -2.0293, 3.6508, 703.0000, 770.8655, 1, 22, 0.3326, 9.7615, 9.4289, 3.1020, 0.5676, 0.4324, 114.59, 76.81, 114.59, 76.81, 0, 0, 1, ok
68.609, 9.0387, 78.0522, -0.5615, -0.4751, 4.4301, 132.58, 96.09, 4.8239, 2.3364, 0.7210, -0.6930, -3.3501, 3.4852, 812.0000, 767.4328, 1, 25, 0.3945, 9.8200, 9.4255, 3.5050, 0.5419, 0.4581, 132.58, 96.09, 132.58, 96.09, 0, 0, 1, ok
69.362, 9.3119, 78.8583, -0.5143, -0.4286, 3.1267, 114.87, 80.33, 6.8292, 2.0988, 0.8638, -0.5038, -1.8765, 3.2170, 755.0000, 768.7164, 1, 24, 0.7813, 9.8390, 9.0578, 2.8331, 0.5722, 0.4278, 114.87, 80.33, 114.87, 80.33, 0, 0, 1, ok
70.015, 9.4496, 84.8142, -0.5259, -0.4382, 3.2816, 117.64, 84.53, 6.8714, 2.0559, 0.8846, -0.4663, -1.7744, 3.3663, 772.0000, 760.8582, 1, 24, 0.5272, 9.8473, 9.3201, 2.9413, 0.5531, 0.4469, 117.64, 84.53, 117.64, 84.53, 0, 0, 1, ok
70.750, 8.9860, 83.2507, -0.6560, -0.4037, 3.5704, 119.50, 87.18, 6.2318, 2.2252, 0.7934, -0.6087, -2.5690, 3.3485, 735.0000, 707.4291, 1, 23, 0.3977, 9.7343, 9.3366, 3.1363, 0.5837, 0.4163, 119.50, 87.18, 119.50, 87.18, 0, 0, 1, ok
71.585, 9.3778, 77.0854, -0.6294, -0.4046, 3.3278, 111.48, 76.48, 6.2483, 2.2416, 0.7833, -0.6216, -2.3225, 2.9265, 671.0000, 720.7145, 1, 21, 0.7483, 9.7193, 8.9710, 2.7795, 0.5559, 0.4441, 111.48, 76.48, 111.48, 76.48, 0, 0, 1, ok
72.356, 9.4095, 77.5015, -0.5132, -0.3553, 3.8039, 119.84, 81.63, 4.8957, 2.0853, 0.8706, -0.4921, -2.2114, 3.9123, 735.0000, 778.3573, 1, 23, 0.3415, 9.6896, 9.3481, 3.2444, 0.5429, 0.4571, 119.84, 81.63, 119.84, 81.63, 0, 0, 1, ok
73.118, 8.1189, 78.1159, -0.5571, -0.4286, 3.2422, 113.79, 78.96, 4.5782, 2.1466, 0.8388, -0.5445, -2.1203, 3.2661, 833.0000, 774.1786, 1, 26, 0.2800, 8.4945, 8.2145, 2.8345, 0.5666, 0.4334, 113.79, 78.96, 113.79, 78.96, 0, 0, 1, ok
73.956, 8.3963, 74.6692, -0.5630, -0.4331, 3.5896, 118.67, 82.06, 4.0746, 2.5340, 0.5709, -0.8210, -3.0960, 2.1526, 768.0000, 768.0893, 1, 24, 0.2958, 8.6386, 8.3428, 2.7208, 0.5560, 0.4440, 118.67, 82.06, 118.67, 82.06, 0, 0, 1, ok
74.667, 9.4567, 79.2317, -0.4315, -0.4720, 4.5407, 133.11, 93.45, 4.3825, 2.5189, 0.5832, -0.8123, -3.8539, 2.7671, 771.0000, 803.5447, 1, 24, 0.2423, 9.8360, 9.5937, 3.5160, 0.5642, 0.4358, 133.11, 93.45, 133.11, 93.45, 0, 0, 1, ok
75.423, 9.2954, 79.3508, -0.6034, -0.4641, 3.9105, 129.69, 96.71, 5.9334, 2.3456, 0.7146, -0.6996, -3.2334, 3.3028, 833.0000, 757.2723, 1, 26, 0.3793, 9.8314, 9.4521, 3.3583, 0.5978, 0.4022, 129.69, 96.71, 129.69, 96.71, 0, 0, 1, ok
76.233, 9.3305, 76.6217, -0.6119, -0.4371, 3.5622, 118.53, 82.30, 6.3175, 2.4200, 0.6606, -0.7508, -3.1422, 2.7646, 704.0000, 756.1362, 1, 22, 0.5360, 9.7289, 9.1929, 3.0905, 0.6193, 0.3807, 118.53, 82.30, 118.53, 82.30, 0, 0, 1, ok
77.027, 9.4060, 76.0906, -0.5296, -0.4074, 3.9031, 122.62, 84.26, 5.6884, 2.1895, 0.8147, -0.5799, -2.6741, 3.7563, 760.0000, 783.0681, 1, 24, 0.3983, 9.8168, 9.4185, 3.3332, 0.5632, 0.4368, 122.62, 84.26, 122.62, 84.26, 0, 0, 1, ok
77.724, 9.4806, 80.7247, -0.4987, -0.4572, 3.8608, 124.67, 88.49, 5.9258, 2.0915, 0.8675, -0.4975, -2.2392, 3.9045, 806.0000, 788.5340, 1, 25, 0.4108, 9.7399, 9.3291, 3.2909, 0.5360, 0.4640, 124.67, 88.49, 124.67, 88.49, 0, 0, 1, ok
78.593, 8.6779, 74.4756, -0.7092, -0.4255, 3.2732, 117.35, 84.42, 4.8792, 2.0725, 0.8768, -0.4809, -1.9708, 3.5932, 810.0000, 743.2670, 1, 25, 0.2593, 9.0163, 8.7570, 3.0195, 0.5840, 0.4160, 117.35, 84.42, 117.35, 84.42, 0, 0, 1, ok
79.437, 9.5285, 72.7434, -0.5323, -0.4182, 4.4164, 125.96, 82.98, 4.4805, 2.4906, 0.6059, -0.7955, -3.7259, 2.8380, 692.0000, 805.6335, 1, 22, 0.2680, 9.7294, 9.4614, 3.4400, 0.5679, 0.4321, 125.96, 82.98, 125.96, 82.98, 0, 0, 1, ok
80.139, 6.9832, 78.5949, -0.5474, -0.4301, 2.8956, 109.21, 71.33, 4.1208, 1.9295, 0.9364, -0.3510, -1.1862, 3.1642, 875.0000, 824.8168, 1, 27, 0.2009, 8.8654, 8.6645, 2.6325, 0.5326, 0.4674, 109.21, 71.33, 109.21, 71.33, 0, 0, 1, ok
80.901, 6.9832, 78.6675, -0.5641, -0.4701, 3.5010, 115.80, 78.22, 3.3965, 2.5568, 0.5521, -0.8338, -2.9874, 1.9780, 833.0000, 763.4084, 1, 26, 0.2173, 8.6239, 8.4066, 2.6880, 0.5606, 0.4394, 115.80, 78.22, 115.80, 78.22, 0, 0, 1, ok
81.677, 9.0942, 77.9877, -0.5197, -0.4764, 4.5458, 132.77, 94.18, 5.0491, 2.7693, 0.3638, -0.9315, -4.5267, 1.7677, 708.0000, 762.7042, 1, 22, 0.3129, 9.6535, 9.3406, 3.4639, 0.6215, 0.3785, 132.77, 94.18, 132.77, 94.18, 0, 0, 1, ok
82.450, 9.2995, 77.8032, -0.5528, -0.4678, 3.6211, 122.92, 88.00, 6.1916, 2.5124, 0.5885, -0.8085, -3.5439, 2.5792, 760.0000, 769.3521, 1, 24, 0.5593, 9.9128, 9.3535, 3.1905, 0.6526, 0.3474, 122.92, 88.00, 122.92, 88.00, 0, 0, 1, ok
83.177, 9.3390, 80.0974, -0.5123, -0.4269, 3.0460, 114.05, 79.92, 6.9742, 2.2297, 0.7907, -0.6122, -2.2472, 2.9024, 773.0000, 771.1760, 1, 24, 0.6134, 9.9099, 9.2965, 2.7889, 0.6067, 0.3933, 114.05, 79.92, 114.05, 79.92, 0, 0, 1, ok
83.884, 9.5731, 82.3560, -0.5447, -0.4539, 3.3013, 117.90, 85.45, 6.7399, 2.0816, 0.8724, -0.4888, -1.9126, 3.4132, 766.0000, 749.0880, 1, 24, 0.5709, 9.8122, 9.2413, 2.9940, 0.5679, 0.4321, 117.90, 85.45, 117.90, 85.45, 0, 0, 1, ok
84.649, 9.3208, 80.3458, -0.6992, -0.4181, 3.7383, 122.26, 88.30, 5.8545, 2.2224, 0.7951, -0.6065, -2.7404, 3.5929, 734.0000, 728.5440, 1, 23, 0.2391, 9.7828, 9.5437, 3.2901, 0.5899, 0.4101, 122.26, 88.30, 122.26, 88.30, 0, 0, 1, ok
