経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
14.581, 9.3576, 74.4557, -0.6992, -0.4661, 4.6104, 142.21, 106.79, 5.7431, 2.5462, 0.5608, -0.8280, -4.0724, 2.7584, 1002.0000, 813.6972, 1, 31, 0.3571, 9.9632, 9.6061, 3.5448, 0.5619, 0.4381, 142.21, 106.79, 142.21, 106.79, 0, 0, 1, ok
15.449, 9.4659, 71.6911, -0.6617, -0.3722, 3.3619, 113.41, 73.44, 6.5062, 2.3104, 0.7387, -0.6740, -2.7528, 3.0172, 712.0000, 805.8486, 1, 22, 0.6056, 9.7502, 9.1446, 3.0708, 0.6250, 0.3750, 113.41, 73.44, 113.41, 73.44, 0, 0, 1, ok
16.284, 9.4445, 71.7736, -0.5703, -0.3422, 3.7156, 117.72, 76.85, 5.5712, 1.8123, 0.9710, -0.2392, -1.0880, 4.4163, 793.0000, 836.9243, 1, 25, 0.2843, 9.7200, 9.4357, 3.3308, 0.5095, 0.4905, 117.72, 76.85, 117.72, 76.85, 0, 0, 1, ok
17.055, 9.3778, 74.6286, -0.5533, -0.3952, 4.2761, 127.66, 87.59, 4.7258, 2.1445, 0.8399, -0.5427, -2.5373, 3.9269, 871.0000, 835.9622, 1, 27, 0.2755, 9.7140, 9.4386, 3.4049, 0.4971, 0.5029, 127.66, 87.59, 127.66, 87.59, 0, 0, 1, ok
17.924, 9.4484, 71.7282, -0.6412, -0.3847, 4.0993, 126.82, 88.77, 5.3777, 2.1536, 0.8349, -0.5503, -2.5372, 3.8494, 839.0000, 803.9811, 1, 26, 0.3363, 9.7551, 9.4188, 3.3396, 0.5197, 0.4803, 126.82, 88.77, 126.82, 88.77, 0, 0, 1, ok
18.765, 9.3616, 71.5781, -0.5316, -0.4177, 3.8600, 120.54, 79.66, 5.5430, 1.9668, 0.9226, -0.3858, -1.7772, 4.2505, 765.0000, 836.4905, 1, 24, 0.3067, 9.7197, 9.4130, 3.3443, 0.5229, 0.4771, 120.54, 79.66, 120.54, 79.66, 0, 0, 1, ok
19.492, 9.4290, 76.6653, -0.5107, -0.4321, 4.2539, 130.68, 91.36, 5.3185, 2.2507, 0.7776, -0.6287, -3.0103, 3.7235, 864.0000, 838.2453, 1, 27, 0.3581, 9.7683, 9.4102, 3.4450, 0.5382, 0.4618, 130.68, 91.36, 130.68, 91.36, 0, 0, 1, ok
20.330, 9.3103, 74.0000, -0.6809, -0.4085, 4.0553, 128.15, 91.85, 5.7861, 2.2271, 0.7922, -0.6102, -2.8200, 3.6612, 836.0000, 782.6226, 1, 26, 0.3392, 9.7983, 9.4591, 3.3600, 0.5467, 0.4533, 128.15, 91.85, 128.15, 91.85, 0, 0, 1, ok
21.163, 9.3822, 73.0011, -0.5900, -0.3933, 3.8141, 118.63, 77.76, 5.8761, 2.1136, 0.8563, -0.5165, -2.2922, 3.7998, 736.0000, 810.8113, 1, 23, 0.4881, 9.7406, 9.2526, 3.2366, 0.5408, 0.4592, 118.63, 77.76, 118.63, 77.76, 0, 0, 1, ok
21.906, 9.4755, 76.7310, -0.5150, -0.3962, 4.0009, 124.44, 85.09, 5.3891, 2.0440, 0.8901, -0.4558, -2.1166, 4.1338, 840.0000, 821.9057, 1, 26, 0.3584, 9.7445, 9.3861, 3.3666, 0.5179, 0.4821, 124.44, 85.09, 124.44, 85.09, 0, 0, 1, ok
22.802, 9.3570, 71.5157, -0.7116, -0.4003, 4.1473, 128.41, 91.96, 5.1992, 2.1615, 0.8306, -0.5569, -2.6111, 3.8940, 832.0000, 781.9528, 1, 26, 0.2690, 9.7167, 9.4477, 3.3874, 0.5240, 0.4760, 128.41, 91.96, 128.41, 91.96, 0, 0, 1, ok
23.602, 9.3351, 73.1718, -0.5156, -0.4051, 3.8774, 118.48, 75.59, 4.8530, 2.0972, 0.8646, -0.5024, -2.3000, 3.9582, 730.0000, 838.9764, 1, 23, 0.3596, 9.6273, 9.2676, 3.3046, 0.5452, 0.4548, 118.48, 75.59, 118.48, 75.59, 0, 0, 1, ok
24.407, 9.4152, 73.8467, -0.6180, -0.4532, 4.5315, 134.32, 95.32, 4.9607, 2.3379, 0.7199, -0.6941, -3.3456, 3.4701, 912.0000, 819.9882, 1, 28, 0.2922, 9.7571, 9.4649, 3.4688, 0.5132, 0.4868, 134.32, 95.32, 134.32, 95.32, 0, 0, 1, ok
25.240, 9.3350, 72.9708, -0.6559, -0.3689, 3.9149, 123.30, 83.46, 5.3099, 2.0826, 0.8718, -0.4898, -2.3196, 4.1290, 800.0000, 812.4941, 1, 25, 0.3419, 9.7667, 9.4248, 3.4181, 0.5550, 0.4450, 123.30, 83.46, 123.30, 83.46, 0, 0, 1, ok
26.119, 9.3188, 70.5365, -0.6346, -0.3570, 4.0232, 121.47, 80.28, 5.4783, 2.0160, 0.9025, -0.4307, -1.9696, 4.1274, 799.0000, 822.2471, 1, 25, 0.4317, 9.7020, 9.2703, 3.3213, 0.4981, 0.5019, 121.47, 80.28, 121.47, 80.28, 0, 0, 1, ok
26.878, 9.5346, 74.5053, -0.4881, -0.3754, 4.1582, 124.49, 82.74, 4.8832, 2.1264, 0.8496, -0.5274, -2.4813, 3.9967, 833.0000, 850.6235, 1, 26, 0.3832, 9.7217, 9.3385, 3.4029, 0.5174, 0.4826, 124.49, 82.74, 124.49, 82.74, 0, 0, 1, ok
27.715, 9.2054, 73.0677, -0.6079, -0.4342, 4.0968, 128.45, 91.79, 4.7631, 2.0476, 0.8885, -0.4590, -2.1257, 4.1150, 869.0000, 805.3118, 1, 27, 0.1871, 9.5862, 9.3991, 3.3650, 0.4994, 0.5006, 128.45, 91.79, 128.45, 91.79, 0, 0, 1, ok
28.483, 9.2571, 75.5593, -0.5520, -0.4337, 3.7720, 121.40, 81.87, 5.1718, 2.1985, 0.8094, -0.5873, -2.6230, 3.6151, 774.0000, 821.1559, 1, 24, 0.3808, 9.4996, 9.1188, 3.2158, 0.5672, 0.4328, 121.40, 81.87, 121.40, 81.87, 0, 0, 1, ok
29.259, 9.2148, 76.4293, -0.6454, -0.3872, 4.0126, 126.14, 88.33, 5.2348, 2.2614, 0.7709, -0.6370, -2.9382, 3.5560, 827.0000, 794.0779, 1, 26, 0.2425, 9.6189, 9.3763, 3.3212, 0.5574, 0.4426, 126.14, 88.33, 126.14, 88.33, 0, 0, 1, ok
30.084, 9.4265, 74.5324, -0.6804, -0.7655, 4.0052, 121.60, 82.24, 5.4889, 2.1053, 0.8605, -0.5094, -2.3132, 3.9079, 771.0000, 785.0390, 1, 24, 0.4040, 9.7273, 9.3233, 3.2942, 0.5175, 0.4825, 121.60, 82.24, 121.60, 82.24, 0, 0, 1, ok
30.957, 9.3002, 71.5129, -0.6400, -0.3600, 3.7732, 126.18, 84.27, 4.8543, 1.8122, 0.9710, -0.2391, -1.0654, 4.3264, 770.0000, 805.0195, 1, 24, 0.3008, 9.5230, 9.2222, 3.2275, 0.4779, 0.5221, 126.18, 84.27, 126.18, 84.27, 0, 0, 1, ok
31.757, 9.1821, 73.1703, -0.6048, -0.3780, 4.1888, 124.08, 82.09, 4.1748, 2.1004, 0.8630, -0.5052, -2.2426, 3.8312, 841.0000, 839.0097, 1, 26, 0.2228, 9.6360, 9.4133, 3.3311, 0.4756, 0.5244, 124.08, 82.09, 124.08, 82.09, 0, 0, 1, ok
32.419, 9.1821, 80.9714, -0.4532, -0.4532, 4.0732, 124.02, 83.88, 5.2317, 2.1316, 0.8468, -0.5319, -2.4999, 3.9799, 858.0000, 820.0049, 1, 27, 0.4540, 9.7673, 9.3134, 3.3881, 0.5303, 0.4697, 124.02, 83.88, 124.02, 83.88, 0, 0, 1, ok
33.163, 9.2230, 80.8079, -0.6480, -0.4486, 3.8062, 126.67, 94.14, 5.7885, 2.3578, 0.7060, -0.7083, -3.1104, 3.1003, 811.0000, 741.0024, 1, 25, 0.5146, 9.6699, 9.1554, 3.1892, 0.5845, 0.4155, 126.67, 94.14, 126.67, 94.14, 0, 0, 1, ok
33.998, 9.2941, 76.1179, -0.5766, -0.3992, 3.5237, 115.68, 79.06, 6.0698, 2.3382, 0.7197, -0.6943, -2.8850, 2.9908, 665.0000, 742.5012, 1, 21, 0.4470, 9.6869, 9.2400, 3.0371, 0.6030, 0.3970, 115.68, 79.06, 115.68, 79.06, 0, 0, 1, ok
34.631, 9.3919, 84.3733, -0.3957, -0.4748, 3.5982, 119.15, 82.46, 5.3799, 2.0901, 0.8682, -0.4963, -2.1187, 3.7066, 735.0000, 788.2506, 1, 23, 0.3928, 9.6295, 9.2368, 3.0975, 0.5469, 0.4531, 119.15, 82.46, 119.15, 82.46, 0, 0, 1, ok
35.399, 7.3884, 81.1839, -0.6751, -0.4685, 2.9832, 115.34, 85.79, 3.9627, 2.3914, 0.6818, -0.7315, -2.5092, 2.3387, 836.0000, 711.1253, 1, 26, 0.2376, 7.9864, 7.7488, 2.5251, 0.6017, 0.3983, 115.34, 85.79, 115.34, 85.79, 0, 0, 1, ok
36.168, 9.3139, 79.5723, -0.6023, -0.4302, 4.3388, 125.74, 86.23, 5.5148, 2.7594, 0.3729, -0.9279, -4.3709, 1.7567, 634.0000, 739.0627, 1, 20, 0.5980, 9.7893, 9.1913, 3.3673, 0.6341, 0.3659, 125.74, 86.23, 125.74, 86.23, 0, 0, 1, ok
37.109, 9.3840, 70.7534, -0.7282, -0.3862, 3.6844, 119.42, 83.15, 5.9606, 2.1304, 0.8474, -0.5309, -2.3353, 3.7277, 766.0000, 754.0313, 1, 24, 0.4753, 9.7738, 9.2985, 3.2121, 0.5614, 0.4386, 119.42, 83.15, 119.42, 83.15, 0, 0, 1, ok
37.934, 9.6063, 71.7697, -0.4904, -0.7357, 3.7430, 116.30, 73.42, 5.1923, 1.9594, 0.9254, -0.3789, -1.6995, 4.1509, 771.0000, 848.0157, 1, 24, 0.3898, 9.7414, 9.3516, 3.2392, 0.5214, 0.4786, 116.30, 73.42, 116.30, 73.42, 0, 0, 1, ok
38.634, 6.5209, 78.0738, -0.4806, -0.4405, 2.8080, 116.51, 77.83, 3.1817, 2.1601, 0.8313, -0.5558, -1.6272, 2.4339, 934.0000, 836.0078, 1, 29, 0.1351, 7.8211, 7.6860, 2.3162, 0.5032, 0.4968, 116.51, 77.83, 116.51, 77.83, 0, 0, 1, ok
