経過時間_秒, Green, SinWave
7.588, 9.50, 9.49
7.619, 9.17, 9.16
7.657, 8.91, 7.35
7.690, 8.64, 3.61
7.721, 8.37, 2.69
7.753, 8.01, 1.87
7.784, 7.49, 1.00
7.820, 6.87, 0.56
7.853, 6.15, 0.75
7.884, 5.07, 1.41
7.918, 3.38, 2.60
7.950, 1.40, 4.03
7.986, 0.85, 5.78
8.022, 0.53, 7.44
8.049, 0.86, 8.45
8.091, 1.99, 9.25
8.119, 3.77, 9.59
8.151, 6.18, 9.75
8.182, 7.23, 9.68
8.217, 8.32, 9.34
8.254, 9.31, 8.71
8.285, 9.68, 7.98
8.318, 9.59, 7.05
8.350, 9.24, 6.06
8.395, 8.80, 7.50
8.424, 8.38, 6.52
8.455, 7.92, 5.59
8.488, 7.38, 4.58
8.526, 6.69, 3.45
8.557, 5.86, 2.60
8.593, 4.91, 1.70
8.625, 3.93, 0.89
8.656, 2.47, 0.54
8.690, 1.33, 0.67
8.722, 1.08, 1.28
8.753, 0.64, 2.26
8.784, 0.46, 3.52
8.819, 0.75, 5.13
8.855, 1.62, 6.78
8.890, 3.01, 8.17
8.923, 4.87, 8.90
8.959, 6.83, 9.41
8.999, 8.61, 9.69
9.028, 9.49, 9.69
9.057, 9.57, 9.51
9.085, 9.10, 9.19
9.118, 8.51, 8.62
9.154, 7.91, 6.99
9.193, 7.43, 5.71
9.220, 7.05, 4.89
9.251, 6.60, 3.95
9.282, 6.07, 3.06
9.327, 5.34, 1.93
9.354, 4.45, 1.14
9.392, 3.50, 0.49
9.419, 1.77, 0.49
9.462, 1.14, 1.30
9.489, 1.08, 2.23
9.527, 0.63, 3.94
9.558, 0.48, 5.48
9.591, 0.92, 7.06
9.623, 2.08, 8.31
9.655, 4.04, 8.91
9.691, 6.31, 9.37
9.720, 7.23, 9.56
9.762, 8.25, 9.54
9.789, 9.21, 9.33
9.817, 9.75, 8.98
9.854, 9.88, 8.30
9.889, 9.84, 7.47
9.922, 9.79, 6.57
9.964, 9.75, 2.86
9.995, 9.70, 3.98
10.027, 9.51, 3.03
10.058, 9.17, 2.21
10.092, 8.66, 1.24
10.120, 7.98, 0.63
10.156, 7.26, 0.50
10.193, 6.16, 1.14
10.220, 4.42, 2.04
10.257, 2.08, 3.70
10.291, 1.77, 5.46
10.316, 1.06, 6.74
10.357, 0.54, 8.53
10.388, 0.76, 9.14
10.424, 1.82, 9.64
10.452, 3.62, 9.85
10.486, 5.90, 9.88
10.522, 7.36, 9.65
10.560, 8.57, 9.12
10.591, 9.41, 8.49
10.626, 9.54, 7.62
10.654, 9.19, 6.82
10.690, 8.57, 5.71
10.727, 7.97, 9.13
10.754, 7.47, 7.82
10.797, 7.04, 6.69
10.829, 6.67, 5.81
10.860, 6.17, 4.92
10.891, 5.56, 4.03
10.924, 4.83, 3.13
10.961, 4.05, 2.23
10.992, 2.99, 1.43
11.025, 1.05, 0.75
11.050, 1.00, 0.54
11.094, 0.99, 0.87
11.125, 0.74, 1.59
11.160, 0.44, 2.80
11.189, 0.58, 4.07
11.223, 1.32, 5.57
11.255, 2.88, 6.99
11.299, 5.23, 8.56
11.325, 6.84, 9.02
11.359, 8.02, 9.48
11.386, 9.10, 9.71
11.430, 9.43, 9.79
