session,method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
ALL,SinBP_D,current_app_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",177,5.308013342995474,7.25950240095859,-0.31289484722251476,3.2135144099112436,7.992110218029833,6.245607647732702
ALL,SinBP_D,current_app_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",177,4.689610403649748,5.5203447321949195,0.06352835927417995,-3.0320932378214596,7.992110218029833,6.245607647732702
ALL,SinBP_M,current_app_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",158,5.2300878462167155,6.7344634887255985,-0.20903280408981548,1.6659910240670857,7.090434099447546,4.177572958208917
ALL,SinBP_M,current_app_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",158,4.13362671722091,4.728708949490637,0.044368476452339024,-2.511581934141832,7.090434099447546,4.177572958208917
jin_20260409_182834,RTBP,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.2931876728622416,4.267547090275638,-0.06019885907096859,-2.3263401982877325,4.952326125470786,-3.4965200115672377
jin_20260409_182834,RTBP,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.6598317772041058,2.145853592024462,-0.058865016505087665,1.1701798132795045,4.952326125470786,-3.4965200115672377
jin_20260409_182834,SinBP_D,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,3.316807026425128,4.276537062673926,-0.1080943023853358,-2.45646220498263,4.993719674304107,-3.6956990477614426
jin_20260409_182834,SinBP_D,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.6804409933911033,2.158711174596124,-0.11205985316703507,1.2392368427788105,4.993719674304107,-3.6956990477614426
jin_20260409_182834,SinBP_M,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.8820341156239557,4.812406401007847,-0.2946484678618119,-2.9337921677592105,5.833861433672834,-4.409607121025555
jin_20260409_182834,SinBP_M,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.9531392760129187,2.417110638816231,-0.3003084789098556,1.4758149532663452,5.833861433672834,-4.409607121025555
yu_20260409_182115,RTBP,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,2.1329505351495768,2.4636612186523106,0.43426239517909027,-1.8359760248657673,3.1871044966404236,-2.742091924744358
yu_20260409_182115,RTBP,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.054153961490847,1.2254872494823852,0.44301483373045625,0.90611589987859,3.1871044966404236,-2.742091924744358
yu_20260409_182115,SinBP_D,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.2331251922676207,2.6166927410802954,0.16404255933840825,-1.909302090926265,3.3391024580148514,-2.8500269701637944
yu_20260409_182115,SinBP_D,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,1.1059772657472302,1.300373849747791,0.17401397992946693,0.9407248792375285,3.3391024580148514,-2.8500269701637944
yu_20260409_182115,SinBP_M,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,2.195528996562827,2.649277542281297,0.06385747919902168,-1.9086176035231939,3.2723529443615744,-2.8497737878552685
yu_20260409_182115,SinBP_M,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,1.0768239477987482,1.3154891182600037,0.0999212892732537,0.9411561843320753,3.2723529443615744,-2.8497737878552685
zawa_20260409_181339,RTBP,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,8.2421992466224,8.464041173345858,-0.03293513148145048,8.2421992466224,12.364153980926389,12.364153980926389
zawa_20260409_181339,RTBP,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,4.121954734303989,4.23261989454305,-0.029191028581527192,-4.121954734303989,12.364153980926389,12.364153980926389
zawa_20260409_181339,SinBP_D,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",39,8.032468598833425,8.249135744370788,-0.007445879497910569,8.032468598833425,12.055533613278302,12.055533613278302
zawa_20260409_181339,SinBP_D,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",39,4.023065014444875,4.130496231128509,-0.006286870823644551,-4.023065014444875,12.055533613278302,12.055533613278302
zawa_20260409_181339,SinBP_M,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,7.404753229271226,7.614490635247114,0.22241638996930713,7.404753229271226,11.111123803228564,11.111123803228564
zawa_20260409_181339,SinBP_M,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,3.7063705739573374,3.8097565729783454,0.23550714298679387,-3.7063705739573374,11.111123803228564,11.111123803228564
ALL,RTBP,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",193,3.9822404357560086,5.0756243400890355,0.37435741623556157,0.006312503826439902,5.976267591811324,0.009567721913727411
ALL,RTBP,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",193,1.9943756145308045,2.542243523592167,0.3748708007993994,-0.0032552180872878764,5.976267591811324,0.009567721913727411
ALL,SinBP_D,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",177,4.037481297316276,5.088351460064112,0.3385334145820732,0.015405745750460725,6.063610343077848,0.023357572665832972
ALL,SinBP_D,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",177,2.027843383129045,2.553464950315814,0.3354964742969772,-0.00795182691537281,6.063610343077848,0.023357572665832972
ALL,SinBP_M,refit_map_pp_smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",158,4.347845942579466,5.282480914361046,0.4005567081162444,0.02150968652028771,6.5223702982343035,0.03256356180717227
ALL,SinBP_M,refit_map_pp_smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",158,2.1751471205111845,2.6456883086977765,0.40085246446818035,-0.011053875286884566,6.5223702982343035,0.03256356180717227
jin_20260409_182834,RTBP,leave_one_session_out,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,6.947170820096385,7.8878090861390495,0.06634279243774606,-6.24907346598594,10.41680605956245,-9.36866732486936
jin_20260409_182834,RTBP,leave_one_session_out,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.4696352394660654,3.9447614670606916,0.06692145860697515,3.1195938588834213,10.41680605956245,-9.36866732486936
