経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
0.010, 3.0735, 104.5296, 3.7424, 2.7226, 3.0735, 104.5296, 3.7424, 0.4068, -0.9135, 122.14, 93.86, 0.4068, -0.9135, -2.8076, 1.2504, 0.4056, 703.0000, 527.9934, 1, 22, 0.3444, 6.8891, 6.5446, 2.2108, 0.6245, 0.3755, 122.14, 93.86, 122.14, 93.86, 0, 0, 1, 1, HR:113.6378->104.5296, ok
0.139, 3.0735, 104.5296, 3.7424, 2.7226, 3.0735, 104.5296, 3.7424, 0.4068, -0.9135, 122.14, 93.86, 0.4068, -0.9135, -2.8076, 1.2504, 0.4056, 703.0000, 527.9934, 1, 22, 0.3444, 6.8891, 6.5446, 2.2108, 0.6245, 0.3755, 122.14, 93.86, 122.14, 93.86, 0, 0, 1, 1, HR:113.6378->104.5296, ok
0.772, 1.0812, 0.0000, 1.8780, 1.8258, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.14, 93.86, 0.9677, -0.2522, -0.2727, 1.0462, 1.0030, 504.0000, 0.0000, 0, 16, 0.3731, 5.3919, 5.0188, 1.2611, 0.6667, 0.3333, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit
1.375, 4.0334, 0.0000, 3.3443, 2.8059, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.14, 93.86, 0.3294, -0.9442, -3.8083, 1.3288, 1.5831, 636.0000, 0.0000, 0, 20, 0.4767, 9.5401, 9.0634, 3.2619, 0.5833, 0.4167, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit
1.945, 4.7656, 104.5296, 5.0245, 2.5832, 4.7656, 104.5296, 5.0245, 0.5299, -0.8481, 126.10, 95.28, 0.5299, -0.8481, -4.0416, 2.5250, 0.3887, 634.0000, 560.1246, 1, 20, 0.3911, 9.8157, 9.4246, 3.3921, 0.5915, 0.4085, 126.10, 95.28, 126.10, 95.28, 0, 0, 1, 1, HR:107.1190->104.5296, ok
2.810, 2.9996, 0.0000, 3.7754, 1.0418, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 126.10, 95.28, 0.8633, 0.5047, 1.5138, 2.5896, 1.3277, 602.0000, 0.0000, 0, 19, 0.3092, 8.9228, 8.6135, 2.5023, 0.4618, 0.5382, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit
3.348, 0.6744, 0.0000, 1.4207, 1.4116, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 126.10, 95.28, 0.9874, 0.1585, 0.1069, 0.6659, 0.4647, 832.0000, 0.0000, 0, 26, 0.1963, 2.6974, 2.5011, 0.6659, 0.7548, 0.2452, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
3.976, 2.7345, 95.8443, 3.3247, 3.3401, 2.7345, 95.8443, 3.3247, -0.1972, -0.9753, 130.41, 95.96, -0.1972, -0.9804, -2.6809, -0.5392, 0.9460, 606.0000, 626.0156, 1, 19, 0.2573, 6.6620, 6.4047, 2.1526, 0.8977, 0.1023, 130.41, 95.96, 130.41, 95.96, 0, 0, 1, 1, cosPhi:-0.9804->-0.9753, ok
4.517, 2.3169, 95.6163, 7.9433, 3.5494, 2.3169, 95.6163, 7.6781, -0.3966, -0.9180, 126.90, 91.31, -0.3966, -0.9180, -2.1268, -0.9189, 0.7538, 535.0000, 627.5078, 1, 17, 5.0449, 9.9561, 4.9113, 1.8034, 0.3333, 0.6667, 126.90, 91.31, 126.90, 91.31, 0, 0, 1, 1, Mean:7.9433->7.6781, ok
5.149, 1.1703, 102.6951, 8.8029, 2.6893, 1.4079, 102.6951, 7.6781, 0.4370, -0.8994, 126.90, 91.31, 0.4370, -0.8994, -1.0526, 0.5114, 0.2527, 632.0000, 584.2539, 1, 20, 7.2439, 9.9318, 2.6879, 0.8652, 0.5854, 0.4146, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:1.1703->1.4079|Mean:8.8029->7.6781, feature_support_violation
5.750, 1.0611, 98.6636, 8.7946, 2.4156, 1.4079, 98.6636, 7.6781, 0.6638, -0.7479, 126.90, 91.31, 0.6638, -0.7479, -0.7936, 0.7044, 0.3204, 530.0000, 608.1269, 1, 17, 7.3423, 9.8888, 2.5465, 0.8159, 0.5566, 0.4434, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:1.0611->1.4079|Mean:8.7946->7.6781, feature_support_violation
6.325, 2.1118, 99.3273, 7.8435, 2.4164, 2.1118, 99.3273, 7.6781, 0.6633, -0.7484, 110.98, 83.08, 0.6633, -0.7484, -1.5804, 1.4007, 0.3200, 634.0000, 604.0635, 1, 20, 5.4278, 9.8371, 4.4093, 1.5271, 0.5726, 0.4274, 110.98, 83.08, 110.98, 83.08, 0, 0, 1, 1, Mean:7.8435->7.6781, ok
6.951, 2.5682, 101.6894, 7.4200, 2.5091, 2.5682, 101.6894, 7.4200, 0.5912, -0.8065, 114.42, 86.33, 0.5912, -0.8065, -2.0713, 1.5183, 0.2689, 606.0000, 590.0317, 1, 19, 4.6407, 9.7971, 5.1564, 1.8358, 0.6188, 0.3812, 114.42, 86.33, 114.42, 86.33, 0, 0, 0, 1, ok, ok
7.619, 3.4540, 98.7629, 5.4366, 2.0628, 3.4540, 98.7629, 5.4366, 0.8814, -0.4724, 110.56, 81.32, 0.8814, -0.4724, -1.6316, 3.0444, 0.7520, 571.0000, 607.5159, 1, 18, 0.7171, 8.9874, 8.2703, 2.5555, 0.5377, 0.4623, 110.56, 81.32, 110.56, 81.32, 0, 0, 0, 1, ok, ok
8.228, 2.3083, 0.0000, 3.1711, 1.7036, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 110.56, 81.32, 0.9912, -0.1324, -0.3056, 2.2879, 1.0359, 644.0000, 0.0000, 0, 20, 0.3810, 7.3073, 6.9262, 1.9332, 0.5280, 0.4720, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit
8.960, 1.5030, 96.2111, 2.3576, 2.3891, 1.5030, 96.2111, 2.5455, 0.6835, -0.7300, 111.67, 84.40, 0.6835, -0.7300, -1.0971, 1.0273, 0.4505, 657.0000, 623.6290, 1, 21, 0.2963, 3.9258, 3.6295, 1.1543, 0.5525, 0.4475, 111.67, 84.40, 111.67, 84.40, 0, 0, 1, 1, Mean:2.3576->2.5455, ok
9.592, 2.4127, 88.5198, 3.2011, 2.6400, 2.4127, 88.5198, 3.2011, 0.4808, -0.8768, 122.06, 89.00, 0.4808, -0.8768, -2.1155, 1.1601, 0.5057, 604.0000, 677.8145, 1, 19, 0.5005, 5.7559, 5.2554, 1.7794, 0.6060, 0.3940, 122.06, 89.00, 122.06, 89.00, 0, 0, 0, 1, ok, ok
10.097, 3.3054, 91.6160, 4.1516, 2.8784, 3.3054, 91.6160, 4.1516, 0.2602, -0.9656, 128.57, 93.88, 0.2602, -0.9656, -3.1916, 0.8600, 0.3983, 738.0000, 654.9072, 1, 23, 0.4208, 7.8722, 7.4514, 2.3710, 0.6491, 0.3509, 128.57, 93.88, 128.57, 93.88, 0, 0, 0, 1, ok, ok
10.733, 3.9858, 0.0000, 6.7188, 3.4298, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 128.57, 93.88, -0.2843, -0.9587, -3.8214, -1.1330, 1.0889, 626.0000, 0.0000, 0, 20, 1.5772, 9.9338, 8.3567, 3.0214, 0.7939, 0.2061, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit
11.330, 0.6714, 0.0000, 8.8790, 2.2550, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 128.57, 93.88, 0.7749, -0.6320, -0.4243, 0.5203, 0.3275, 505.0000, 0.0000, 0, 16, 7.8833, 9.7915, 1.9082, 0.5767, 0.5446, 0.4554, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
11.961, 3.6762, 99.5870, 6.4853, 2.4011, 3.6762, 99.5870, 6.4853, 0.6746, -0.7382, 118.07, 87.71, 0.6746, -0.7382, -2.7136, 2.4800, 0.7193, 637.0000, 602.4884, 1, 20, 1.7027, 9.8110, 8.1084, 2.6971, 0.5934, 0.4066, 118.07, 87.71, 118.07, 87.71, 0, 0, 0, 1, ok, ok
12.600, 4.4383, 97.2851, 5.8006, 2.5726, 4.4383, 97.2851, 5.8006, 0.5388, -0.8424, 125.79, 92.58, 0.5388, -0.8424, -3.7389, 2.3914, 0.6454, 607.0000, 616.7442, 1, 19, 0.6002, 9.7452, 9.1450, 3.2040, 0.6211, 0.3789, 125.79, 92.58, 125.79, 92.58, 0, 0, 0, 1, ok, ok
13.203, 3.8033, 95.5609, 5.5213, 2.4650, 3.8033, 95.5609, 5.5213, 0.6262, -0.7797, 121.51, 89.21, 0.6262, -0.7797, -2.9655, 2.3815, 0.8516, 634.0000, 627.8721, 1, 20, 0.6502, 9.0702, 8.4200, 2.8210, 0.6009, 0.3991, 121.51, 89.21, 121.51, 89.21, 0, 0, 0, 1, ok, ok
13.869, 4.6362, 97.8895, 5.0525, 2.6892, 4.6362, 97.8895, 5.0525, 0.4371, -0.8994, 129.11, 95.38, 0.4371, -0.8994, -4.1698, 2.0266, 0.3774, 623.0000, 612.9361, 1, 20, 0.4834, 9.8583, 9.3749, 3.2999, 0.6421, 0.3579, 129.11, 95.38, 129.11, 95.38, 0, 0, 0, 1, ok, ok
14.467, 3.9511, 93.4626, 5.6901, 2.2782, 3.9511, 93.4626, 5.6901, 0.7600, -0.6499, 118.61, 85.82, 0.7600, -0.6499, -2.5678, 3.0030, 0.7522, 607.0000, 641.9680, 1, 19, 0.6929, 8.9527, 8.2598, 2.8934, 0.5700, 0.4300, 118.61, 85.82, 118.61, 85.82, 0, 0, 0, 1, ok, ok
15.172, 4.0397, 96.7767, 5.1586, 2.6381, 4.0397, 96.7767, 5.1586, 0.4825, -0.8759, 125.82, 92.92, 0.4825, -0.8759, -3.5383, 1.9493, 0.6969, 666.0000, 619.9840, 1, 21, 0.5544, 9.1657, 8.6113, 2.9403, 0.6096, 0.3904, 125.82, 92.92, 125.82, 92.92, 0, 0, 0, 1, ok, ok
15.713, 3.3025, 90.5671, 4.2077, 2.7166, 3.3025, 90.5671, 4.2077, 0.4123, -0.9110, 126.15, 91.84, 0.4123, -0.9110, -3.0087, 1.3617, 0.4394, 601.0000, 662.4920, 1, 19, 0.5200, 7.0449, 6.5249, 2.3762, 0.6589, 0.3411, 126.15, 91.84, 126.15, 91.84, 0, 0, 0, 1, ok, ok
16.341, 3.2294, 99.7928, 4.1550, 3.0332, 3.2294, 99.7928, 4.1550, 0.1081, -0.9753, 127.98, 95.84, 0.1081, -0.9941, -3.2105, 0.3492, 0.6655, 703.0000, 601.2460, 1, 22, 0.3777, 7.5050, 7.1273, 2.3785, 0.6657, 0.3343, 127.98, 95.84, 127.98, 95.84, 0, 0, 1, 1, cosPhi:-0.9941->-0.9753, ok
16.972, 4.0263, 97.5415, 4.5926, 3.2726, 4.0263, 97.5415, 4.5926, -0.1306, -0.9753, 134.12, 98.25, -0.1306, -0.9914, -3.9918, -0.5260, 0.2438, 532.0000, 615.1230, 1, 17, 0.4864, 8.2980, 7.8117, 2.8575, 0.7538, 0.2462, 134.12, 98.25, 134.12, 98.25, 0, 0, 1, 1, cosPhi:-0.9914->-0.9753, ok
17.547, 3.8223, 96.2987, 4.5392, 2.9003, 3.8223, 96.2987, 4.5392, 0.2390, -0.9710, 129.74, 95.84, 0.2390, -0.9710, -3.7115, 0.9135, 0.3287, 637.0000, 623.0615, 1, 20, 0.5562, 8.2976, 7.7414, 2.7227, 0.6295, 0.3705, 129.74, 95.84, 129.74, 95.84, 0, 0, 0, 1, ok, ok
18.143, 3.6033, 100.1618, 4.6040, 3.0489, 3.6033, 100.1618, 4.6040, 0.0926, -0.9753, 129.38, 96.58, 0.0926, -0.9957, -3.5879, 0.3337, 0.5925, 638.0000, 599.0308, 1, 20, 0.4520, 8.0918, 7.6399, 2.6159, 0.6865, 0.3135, 129.38, 96.58, 129.38, 96.58, 0, 0, 1, 1, cosPhi:-0.9957->-0.9753, ok
18.816, 3.6033, 100.1618, 4.6040, 3.0489, 3.6033, 100.1618, 4.6040, 0.0926, -0.9753, 129.38, 96.58, 0.0926, -0.9957, -3.5879, 0.3337, 0.5925, 638.0000, 599.0308, 1, 20, 0.4520, 8.0918, 7.6399, 2.6159, 0.6865, 0.3135, 129.38, 96.58, 129.38, 96.58, 0, 0, 1, 1, cosPhi:-0.9957->-0.9753, ok
19.420, 4.8525, 94.4127, 5.2450, 3.0530, 4.8525, 94.4127, 5.2450, 0.0885, -0.9753, 135.82, 98.39, 0.0885, -0.9961, -4.8335, 0.4293, 0.4076, 693.0000, 635.5077, 1, 18, 0.5050, 9.8091, 9.3041, 3.4554, 0.7778, 0.2222, 135.82, 98.39, 135.82, 98.39, 0, 0, 1, 1, cosPhi:-0.9961->-0.9753, ok
19.986, 2.5418, 0.0000, 6.2535, 1.0312, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 135.82, 98.39, 0.8579, 0.5138, 1.3060, 2.1806, 2.1145, 1142.0000, 0.0000, 0, 35, 0.4950, 9.7325, 9.2375, 2.7752, 0.3818, 0.6182, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
20.623, 4.1603, 101.2869, 5.1277, 2.9256, 4.1603, 101.2869, 5.1277, 0.2143, -0.9753, 129.95, 97.23, 0.2143, -0.9768, -4.0637, 0.8916, 0.3785, 600.0000, 592.3769, 1, 19, 0.5167, 9.0453, 8.5286, 2.9661, 0.6700, 0.3300, 129.95, 97.23, 129.95, 97.23, 0, 0, 1, 1, cosPhi:-0.9768->-0.9753, ok
21.218, 4.5934, 97.5311, 5.5229, 2.7963, 4.5934, 97.5311, 5.5229, 0.3385, -0.9410, 130.56, 96.18, 0.3385, -0.9410, -4.3222, 1.5549, 0.3521, 568.0000, 615.1885, 1, 18, 0.5649, 9.7818, 9.2169, 3.2670, 0.6567, 0.3433, 130.56, 96.18, 130.56, 96.18, 0, 0, 0, 1, ok, ok
21.924, 4.4370, 99.2401, 5.8998, 2.5583, 4.4370, 99.2401, 5.8998, 0.5508, -0.8346, 124.96, 92.59, 0.5508, -0.8346, -3.7033, 2.4439, 0.6058, 642.0000, 604.5942, 1, 20, 0.7229, 9.8071, 9.0842, 3.1954, 0.6340, 0.3660, 124.96, 92.59, 124.96, 92.59, 0, 0, 0, 1, ok, ok
22.499, 3.7646, 91.4917, 5.8164, 2.4034, 3.7646, 91.4917, 5.8164, 0.6729, -0.7397, 120.89, 87.21, 0.6729, -0.7397, -2.7847, 2.5333, 0.8240, 596.0000, 655.7971, 1, 19, 0.8553, 9.1577, 8.3024, 2.7866, 0.5705, 0.4295, 120.89, 87.21, 120.89, 87.21, 0, 0, 0, 1, ok, ok
23.094, 4.1601, 97.4978, 4.9422, 2.6385, 4.1601, 97.4978, 4.9422, 0.4821, -0.8761, 126.30, 93.51, 0.4821, -0.8761, -3.6447, 2.0056, 0.4004, 705.0000, 615.3986, 1, 22, 0.3953, 9.2532, 8.8579, 2.9688, 0.6355, 0.3645, 126.30, 93.51, 126.30, 93.51, 0, 0, 0, 1, ok, ok
23.726, 4.0762, 99.1409, 5.5907, 2.8401, 4.0762, 99.1409, 5.5907, 0.2969, -0.9549, 128.59, 95.54, 0.2969, -0.9549, -3.8924, 1.2102, 0.5610, 571.0000, 605.1993, 1, 18, 0.6767, 9.5045, 8.8278, 2.9364, 0.6585, 0.3415, 128.59, 95.54, 128.59, 95.54, 0, 0, 0, 1, ok, ok
