経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, E_used, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
88.042, 8.1901, 93.2429, -0.4612, -0.3587, 3.8897, 5.0983, 93.2429, -0.6009, -0.4006, 3.8897, 112.91, 76.89, 5.2567, 2.1942, 0.8119, -0.5838, -2.6259, 3.6519, 658.0000, 643.4806, 1, 21, 0.4026, 9.7343, 9.3317, 3.2312, 0.5517, 0.4483, 112.91, 76.89, 112.91, 76.89, 0, 0, 1, 1, A:8.1901->5.0983, ok
88.675, 8.2341, 99.2982, -0.6991, -0.4673, 2.8650, 5.0983, 99.2982, -0.4612, -0.3587, 2.8650, 102.74, 75.83, 6.0902, 2.2566, 0.7739, -0.6333, -2.0901, 2.5544, 640.0000, 604.2403, 1, 20, 1.5443, 9.0304, 7.4862, 2.4720, 0.5813, 0.4188, 102.74, 75.83, 102.74, 75.83, 0, 0, 1, 1, A:8.2341->5.0983, ok
89.339, 8.2042, 96.9901, -0.5735, -0.3649, 3.7362, 5.0983, 96.9901, -0.6991, -0.4673, 3.7362, 108.11, 71.35, 5.7661, 2.6492, 0.4727, -0.8812, -3.8888, 2.0862, 568.0000, 618.6201, 1, 18, 0.7963, 9.8094, 9.0131, 3.1492, 0.6708, 0.3292, 108.11, 71.35, 108.11, 71.35, 0, 0, 1, 1, A:8.2042->5.0983, ok
89.945, 9.3167, 93.4856, -0.5459, -0.4466, 3.0206, 5.0983, 93.4856, -0.5735, -0.3649, 3.0206, 101.72, 69.08, 6.5650, 2.2459, 0.7807, -0.6249, -2.2050, 2.7544, 635.0000, 641.8101, 1, 20, 1.6052, 9.7607, 8.1555, 2.6061, 0.5827, 0.4173, 101.72, 69.08, 101.72, 69.08, 0, 0, 1, 1, A:9.3167->5.0983, ok
90.580, 5.8684, 96.2456, -0.6000, -0.3802, 4.0914, 5.0983, 96.2456, -0.5459, -0.4466, 4.0914, 118.15, 84.04, 5.6640, 2.4020, 0.6740, -0.7387, -3.4870, 3.1816, 669.0000, 623.4050, 1, 21, 0.4439, 9.8858, 9.4419, 3.3778, 0.5949, 0.4051, 118.15, 84.04, 118.15, 84.04, 0, 0, 1, 1, A:5.8684->5.0983, ok
91.213, 9.2439, 95.2831, -0.5708, -0.4151, 2.3091, 5.0983, 95.2831, -0.6000, -0.3802, 2.3091, 91.47, 60.86, 7.3024, 2.2282, 0.7916, -0.6110, -1.5838, 2.0519, 605.0000, 629.7025, 1, 19, 4.0174, 9.7390, 5.7216, 1.9289, 0.5554, 0.4446, 91.47, 60.86, 91.47, 60.86, 0, 0, 1, 1, A:9.2439->5.0983, ok
91.883, 9.2439, 95.1096, -0.5744, -0.4177, 3.9866, 5.0983, 95.1096, -0.5708, -0.4151, 3.9866, 115.32, 80.51, 5.3068, 2.3582, 0.7057, -0.7085, -3.2249, 3.2118, 633.0000, 630.8513, 1, 20, 0.4951, 9.7951, 9.3000, 3.2547, 0.5798, 0.4202, 115.32, 80.51, 115.32, 80.51, 0, 0, 1, 1, A:9.2439->5.0983, ok
93.052, 9.0534, 92.1764, -0.7377, -0.7869, 3.4751, 5.0983, 92.1764, -0.5744, -0.4177, 3.4751, 109.08, 74.39, 5.9026, 2.2646, 0.7689, -0.6394, -2.5585, 3.0763, 625.0000, 650.9256, 1, 20, 0.5549, 9.6076, 9.0527, 2.9518, 0.5760, 0.4240, 109.08, 74.39, 109.08, 74.39, 0, 0, 1, 1, A:9.0534->5.0983, ok
93.621, 9.0534, 0.0000, -0.9033, -0.2258, 3.4751, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 109.08, 74.39, 5.9026, 2.5064, 0.5933, -0.8049, -3.1782, 2.3427, 1071.0000, 0.0000, 0, 21, 0.5541, 8.7044, 8.1502, 2.8242, 0.7432, 0.2568, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
94.323, 6.3414, 81.1379, -0.6380, -0.4640, 3.4495, 5.0983, 81.1379, -0.5202, -0.4640, 3.4495, 113.78, 75.77, 5.9809, 1.9131, 0.9420, -0.3357, -1.2537, 3.5181, 771.0000, 739.4814, 1, 24, 0.6388, 9.7828, 9.1440, 2.9134, 0.4812, 0.5188, 113.78, 75.77, 113.78, 75.77, 0, 0, 1, 1, A:6.3414->5.0983, ok
94.823, 9.0075, 83.2477, -0.3761, -0.4701, 2.6008, 5.0983, 83.2477, -0.6380, -0.4640, 2.6008, 97.90, 60.18, 6.5092, 2.4785, 0.6155, -0.7881, -2.1940, 1.7135, 565.0000, 720.7407, 1, 18, 3.4414, 9.4954, 6.0539, 2.0537, 0.5735, 0.4265, 97.90, 60.18, 97.90, 60.18, 0, 0, 1, 1, A:9.0075->5.0983, ok
95.385, 5.9383, 98.3010, -0.7260, -0.4600, 3.1917, 5.0983, 98.3010, -0.3761, -0.4701, 3.1917, 112.96, 86.47, 4.3252, 2.6830, 0.4427, -0.8967, -3.1071, 1.5341, 707.0000, 610.3704, 1, 22, 0.4878, 7.6915, 7.2037, 2.4816, 0.6124, 0.3876, 112.96, 86.47, 112.96, 86.47, 0, 0, 1, 1, A:5.9383->5.0983, ok
95.993, 8.2717, 102.4441, -0.6471, -0.3529, 3.8693, 5.0983, 102.4441, -0.7260, -0.4600, 3.8693, 107.71, 72.20, 5.8814, 2.9363, 0.2038, -0.9790, -4.0483, 0.8428, 506.0000, 585.6852, 1, 16, 1.7532, 9.7481, 7.9949, 2.9408, 0.6680, 0.3320, 107.71, 72.20, 107.71, 72.20, 0, 0, 1, 1, A:8.2717->5.0983, ok
96.663, 8.9001, 100.4449, -0.5961, -0.3777, 3.2378, 5.0983, 100.4449, -0.6471, -0.3529, 3.2378, 100.30, 68.12, 5.9667, 2.2549, 0.7750, -0.6320, -2.4550, 3.0104, 565.0000, 597.3426, 1, 18, 1.4763, 9.6020, 8.1257, 2.8091, 0.5982, 0.4018, 100.30, 68.12, 100.30, 68.12, 0, 0, 1, 1, A:8.9001->5.0983, ok
97.228, 9.0787, 94.7611, -0.4933, -0.4425, 3.7333, 5.0983, 94.7611, -0.5961, -0.3777, 3.7333, 110.25, 75.51, 5.4670, 2.2279, 0.7918, -0.6108, -2.6168, 3.3923, 600.0000, 633.1713, 1, 19, 0.7019, 9.6178, 8.9159, 3.0883, 0.5583, 0.4417, 110.25, 75.51, 110.25, 75.51, 0, 0, 1, 1, A:9.0787->5.0983, ok
97.802, 7.7820, 100.1526, -0.5841, -0.4071, 3.3825, 5.0983, 100.1526, -0.4933, -0.4425, 3.3825, 110.09, 80.96, 5.0511, 2.3971, 0.6776, -0.7355, -2.9158, 2.6863, 664.0000, 599.0856, 1, 21, 0.5392, 8.6221, 8.0829, 2.8615, 0.6069, 0.3931, 110.09, 80.96, 110.09, 80.96, 0, 0, 1, 1, A:7.7820->5.0983, ok
98.402, 7.8834, 102.2072, -0.6887, -0.4017, 3.2528, 5.0983, 102.2072, -0.5841, -0.4071, 3.2528, 103.81, 73.72, 5.0675, 2.5897, 0.5243, -0.8515, -3.2627, 2.0089, 572.0000, 587.0428, 1, 18, 0.8401, 8.5739, 7.7338, 2.7325, 0.6538, 0.3462, 103.81, 73.72, 103.81, 73.72, 0, 0, 1, 1, A:7.8834->5.0983, ok
99.072, 8.1049, 101.0916, -0.6050, -0.3300, 4.2212, 5.0983, 101.0916, -0.6887, -0.4017, 4.2212, 112.60, 76.68, 5.2645, 2.5533, 0.5549, -0.8319, -3.7550, 2.5047, 569.0000, 593.5214, 1, 18, 0.6905, 9.7329, 9.0424, 3.2220, 0.5782, 0.4218, 112.60, 76.68, 112.60, 76.68, 0, 0, 1, 1, A:8.1049->5.0983, ok
99.599, 9.1713, 94.9727, -0.5418, -0.4433, 3.3421, 5.0983, 94.9727, -0.6050, -0.3300, 3.3421, 103.66, 70.06, 6.0624, 2.2290, 0.7911, -0.6117, -2.3604, 3.0524, 606.0000, 631.7607, 1, 19, 1.6281, 9.6472, 8.0192, 2.7965, 0.5644, 0.4356, 103.66, 70.06, 103.66, 70.06, 0, 0, 1, 1, A:9.1713->5.0983, ok
100.198, 9.1713, 103.6484, -0.6274, -0.3764, 3.5490, 5.0983, 103.6484, -0.5418, -0.4433, 3.5490, 109.85, 80.47, 5.4947, 2.3871, 0.6849, -0.7286, -2.9922, 2.8126, 662.0000, 578.8804, 1, 21, 0.4759, 9.3514, 8.8755, 2.9878, 0.5982, 0.4018, 109.85, 80.47, 109.85, 80.47, 0, 0, 1, 1, A:9.1713->5.0983, ok
100.768, 8.9394, 101.7915, -0.6050, -0.4400, 3.4992, 5.0983, 101.7915, -0.6274, -0.3764, 3.4992, 104.76, 72.82, 5.7185, 2.5591, 0.5501, -0.8351, -3.3102, 2.1806, 533.0000, 589.4402, 1, 17, 1.4349, 9.6619, 8.2270, 2.8292, 0.6248, 0.3752, 104.76, 72.82, 104.76, 72.82, 0, 0, 1, 1, A:8.9394->5.0983, ok
101.474, 8.1234, 103.4982, -0.6368, -0.3474, 3.8104, 5.0983, 103.4982, -0.6050, -0.4400, 3.8104, 110.84, 79.07, 5.5796, 2.4189, 0.6614, -0.7501, -3.3065, 2.9156, 603.0000, 579.7201, 1, 19, 0.7225, 9.7261, 9.0036, 3.1541, 0.6036, 0.3964, 110.84, 79.07, 110.84, 79.07, 0, 0, 1, 1, A:8.1234->5.0983, ok
102.006, 8.9473, 93.3329, -0.3739, -0.4674, 3.4067, 5.0983, 93.3329, -0.6368, -0.3474, 3.4067, 104.00, 68.66, 5.9335, 2.1678, 0.8270, -0.5622, -2.1377, 3.1446, 566.0000, 642.8600, 1, 18, 1.6027, 9.5702, 7.9675, 2.7633, 0.5300, 0.4700, 104.00, 68.66, 104.00, 68.66, 0, 0, 1, 1, A:8.9473->5.0983, ok
102.608, 7.6672, 102.1398, -0.6203, -0.4962, 3.1256, 5.0983, 102.1398, -0.3739, -0.4674, 3.1256, 111.45, 86.80, 5.0169, 2.4941, 0.6032, -0.7976, -2.8902, 2.1856, 711.0000, 587.4300, 1, 22, 0.6229, 8.3403, 7.7174, 2.6903, 0.6301, 0.3699, 111.45, 86.80, 111.45, 86.80, 0, 0, 1, 1, A:7.6672->5.0983, ok
103.209, 8.6508, 100.8887, -0.6030, -0.4385, 3.7254, 5.0983, 100.8887, -0.6203, -0.4962, 3.7254, 110.92, 77.71, 5.0916, 2.7969, 0.3379, -0.9412, -4.0902, 1.4686, 531.0000, 594.7150, 1, 17, 0.6732, 9.4640, 8.7908, 3.0689, 0.6968, 0.3032, 110.92, 77.71, 110.92, 77.71, 0, 0, 1, 1, A:8.6508->5.0983, ok
103.807, 8.7735, 100.3584, -0.5491, -0.3844, 3.6681, 5.0983, 100.3584, -0.6030, -0.4385, 3.6681, 109.57, 76.96, 5.5937, 2.5106, 0.5899, -0.8075, -3.3952, 2.4804, 599.0000, 597.8575, 1, 19, 0.8132, 9.6245, 8.8114, 3.0131, 0.6177, 0.3823, 109.57, 76.96, 109.57, 76.96, 0, 0, 1, 1, A:8.7735->5.0983, ok
104.408, 8.8521, 100.3464, -0.6070, -0.4398, 3.4715, 5.0983, 100.3464, -0.5491, -0.3844, 3.4715, 107.77, 77.27, 5.6358, 2.4314, 0.6520, -0.7582, -3.0616, 2.6326, 601.0000, 597.9288, 1, 19, 0.8510, 9.5825, 8.7315, 2.9161, 0.6140, 0.3860, 107.77, 77.27, 107.77, 77.27, 0, 0, 1, 1, A:8.8521->5.0983, ok
104.974, 8.3203, 100.0894, -0.5491, -0.3844, 3.5879, 5.0983, 100.0894, -0.6070, -0.4398, 3.5879, 108.45, 75.84, 5.2412, 2.4145, 0.6647, -0.7471, -3.1781, 2.8277, 598.0000, 599.4644, 1, 19, 0.7304, 9.4118, 8.6814, 3.0363, 0.6204, 0.3796, 108.45, 75.84, 108.45, 75.84, 0, 0, 1, 1, A:8.3203->5.0983, ok
105.611, 7.9699, 102.9633, -0.6996, -0.4081, 3.0659, 5.0983, 102.9633, -0.5491, -0.3844, 3.0659, 102.02, 73.75, 5.4195, 2.3840, 0.6872, -0.7265, -2.6157, 2.4743, 600.0000, 582.7322, 1, 19, 1.0916, 8.6352, 7.5436, 2.6221, 0.6117, 0.3883, 102.02, 73.75, 102.02, 73.75, 0, 0, 1, 1, A:7.9699->5.0983, ok
106.251, 8.4974, 98.3823, -0.5181, -0.3626, 4.0890, 5.0983, 98.3823, -0.6996, -0.4081, 4.0890, 111.08, 74.11, 5.3002, 2.5238, 0.5792, -0.8152, -3.6113, 2.5658, 568.0000, 609.8661, 1, 18, 0.6653, 9.6619, 8.9965, 3.1598, 0.5810, 0.4190, 111.08, 74.11, 111.08, 74.11, 0, 0, 1, 1, A:8.4974->5.0983, ok
