経過時間_秒, Green, SinWave
0.010, 4.48, 0.47
0.044, 6.25, 0.37
0.074, 8.06, 0.43
0.108, 9.54, 0.68
0.139, 9.09, 1.08
0.165, 8.21, 1.48
0.211, 7.07, -3.47
0.243, 5.76, 0.48
0.275, 4.39, 0.49
0.307, 2.96, 0.92
0.337, 2.04, 1.66
0.374, 1.68, 2.93
0.405, 1.22, 4.19
0.435, 0.55, 5.49
0.469, 0.39, 6.90
0.502, 0.85, 8.09
0.538, 1.91, 9.49
0.566, 3.48, 9.41
0.606, 5.31, 7.33
0.638, 7.11, 4.82
0.670, 8.42, 2.32
0.704, 9.37, 1.10
0.740, 9.82, 0.53
0.772, 9.77, 0.46
0.809, 9.46, 0.88
0.844, 8.92, 49.32
0.877, 8.24, 8.86
0.910, 7.51, 7.51
0.941, 6.68, 5.91
0.976, 5.83, 3.99
1.006, 4.90, 2.48
1.038, 3.95, 1.36
1.073, 3.09, 0.68
1.098, 1.74, 0.43
1.137, 0.31, 0.46
1.167, 0.46, 0.83
1.205, 1.03, 1.70
1.240, 1.87, 2.81
1.272, 2.66, 4.00
1.306, 3.18, 5.36
1.345, 3.34, 6.88
1.375, 3.12, 7.96
1.406, 2.76, 8.94
1.448, 2.16, 15.58
1.480, 1.76, 8.65
1.510, 2.17, 7.84
1.543, 2.47, 6.48
1.574, 2.70, 4.94
1.606, 2.61, 3.30
1.642, 2.18, 1.70
1.679, 1.53, 0.84
1.711, 0.77, 0.42
1.744, 0.28, 0.31
1.778, 0.20, 0.55
1.811, 0.41, 1.09
1.849, 0.72, 2.06
1.880, 0.96, 3.04
1.912, 0.97, 4.17
1.945, 0.96, 5.40
1.980, 1.21, 6.57
2.010, 1.34, 7.47
2.045, 1.38, 8.50
2.078, 1.40, 8.92
2.112, 1.49, 8.66
2.144, 1.54, 7.81
2.179, 1.58, 6.34
2.208, 1.55, 4.89
2.241, 1.45, 3.20
2.279, 1.15, -1.04
2.312, 0.56, 0.28
2.339, 0.26, 0.21
2.379, 0.31, 0.22
2.413, 0.69, 0.34
2.443, 1.27, 0.51
2.478, 1.92, 0.77
2.513, 2.53, 1.05
2.547, 3.08, 1.29
2.578, 3.55, 1.45
2.613, 3.92, 1.56
2.648, 4.28, 1.59
2.681, 4.65, 1.54
2.713, 5.05, 1.44
2.744, 5.70, 1.29
2.778, 6.66, 1.08
2.810, 6.64, 0.86
2.850, 5.80, 0.61
2.885, 5.16, 0.26
2.917, 5.04, 0.34
2.949, 5.80, 0.44
2.981, 6.36, 0.57
3.016, 6.08, 0.73
3.051, 6.14, 0.90
3.083, 6.91, 1.05
3.116, 7.79, 1.20
3.142, 8.59, 1.30
3.176, 9.14, 1.50
3.212, 9.47, 1.57
3.245, 9.77, 1.30
3.278, 9.92, 0.84
3.315, 9.96, 0.39
3.348, 9.87, 0.29
3.381, 9.67, 0.23
3.422, 9.36, 1.24
3.454, 8.94, 7.61
3.481, 8.51, 5.74
3.518, 8.23, 5.39
3.544, 8.19, 5.21
3.573, 8.38, 5.09
3.611, 7.78, 5.05
3.644, 7.36, 5.12
3.681, 7.24, 5.33
3.711, 7.55, 5.59
3.750, 8.33, 6.02
3.783, 8.90, 6.47
3.814, 9.24, 6.93
3.845, 9.53, 7.43
3.878, 9.73, 7.98
3.914, 9.88, 8.57
3.943, 9.93, 9.03
3.976, 9.88, 9.52
4.014, 9.70, 10.31
4.052, 9.40, 19.18
4.081, 9.04, 9.30
4.120, 8.73, 8.87
4.151, 8.67, 8.50
4.183, 8.71, 8.13
4.219, 8.08, 7.76
4.254, 7.61, 7.36
4.286, 7.34, 7.26
4.321, 7.43, 7.62
4.353, 8.02, 8.27
4.384, 8.78, 9.00
4.416, 9.35, 9.58
4.452, 9.75, 9.82
4.485, 9.89, 9.93
4.517, 9.83, 9.92
4.544, 9.61, 9.84
4.582, 9.27, 9.45
4.611, 8.83, 9.74
4.650, 8.29, 9.89
4.679, 7.67, 9.82
4.710, 7.04, 9.60
4.747, 6.51, 9.16
4.782, 5.99, 8.64
4.809, 5.57, 8.24
4.852, 5.43, 7.70
4.882, 5.68, 7.50
4.915, 5.99, 7.37
4.948, 6.98, 7.34
4.982, 7.92, 7.42
5.015, 8.72, 7.59
5.041, 9.31, 7.78
5.084, 9.72, 8.19
5.119, 9.84, 8.56
5.149, 9.72, 8.90
5.181, 9.42, 9.22
5.216, 8.97, 8.41
5.247, 8.36, 6.63
5.281, 7.63, 5.91
5.311, 6.79, 5.56
5.345, 5.96, 5.42
5.381, 5.35, 5.61
5.417, 4.88, 6.09
5.446, 4.66, 6.66
5.486, 4.64, 7.59
5.518, 5.22, 8.34
5.551, 6.33, 9.03
5.583, 7.25, 9.59
5.618, 8.25, 9.86
5.650, 9.08, 9.70
5.679, 9.51, 9.25
5.718, 9.80, 8.29
5.750, 9.79, 7.37
5.780, 9.54, 6.55
5.822, 8.99, 10.24
5.854, 8.20, 9.68
5.886, 7.19, 9.24
5.919, 6.02, 8.51
5.951, 4.75, 7.63
5.987, 3.54, 6.58
6.019, 2.66, 5.73
6.053, 1.59, 5.12
6.085, 0.72, 4.79
6.120, 1.69, 4.64
6.154, 3.15, 4.73
6.195, 4.82, 5.12
6.227, 6.35, 5.61
6.259, 7.45, 6.23
6.293, 7.94, 6.97
6.325, 7.91, 7.69
6.357, 7.59, 8.37
6.393, 7.31, 9.86
6.425, 7.03, 9.21
6.455, 5.85, 8.20
6.487, 4.25, 6.58
6.515, 2.86, 4.94
6.554, 2.65, 2.76
6.587, 2.21, 1.59
6.632, 1.65, 0.86
6.664, 0.82, 0.70
6.695, 0.38, 0.86
6.729, 0.44, 1.38
6.760, 0.98, 2.11
6.793, 1.87, 3.13
6.826, 2.83, 4.29
6.857, 3.64, 5.45
6.887, 4.11, 6.55
6.920, 4.28, 7.66
6.951, 4.05, 8.65
6.983, 3.50, 9.45
7.037, 2.72, 2.69
7.069, 2.31, 3.49
7.100, 2.33, 2.50
7.131, 2.49, 1.59
7.163, 2.37, 0.90
7.194, 2.04, 0.50
7.228, 1.61, 0.38
7.261, 1.09, 0.57
7.296, 0.49, 1.10
7.331, 0.30, 1.88
7.367, 0.51, 2.86
7.399, 1.08, 3.76
7.432, 1.86, 4.61
7.463, 2.62, 5.28
7.491, 3.23, 5.71
7.523, 3.65, 5.84
7.548, 3.86, 5.69
7.587, 3.93, 5.02
7.619, 3.88, 4.17
7.658, 3.74, 2.95
7.694, 3.40, 0.31
7.725, 2.76, 3.57
7.757, 2.88, 3.14
7.789, 2.62, 2.61
7.824, 2.22, 1.96
7.859, 1.77, 1.33
7.887, 1.02, 0.89
7.932, 0.50, 0.44
7.963, 0.50, 0.29
7.998, 1.08, 0.31
8.033, 2.05, 0.52
8.065, 3.21, 0.86
8.100, 4.33, 1.35
8.134, 5.12, 1.91
8.165, 5.57, 2.43
8.196, 5.76, 2.93
8.228, 5.70, 3.39
8.263, 5.47, 3.75
8.298, 4.88, 1.34
8.330, 4.16, 5.76
