method,top_inverse_term,top_inverse_strength,top_gain_to_ref_pp,top_centered_corr_to_ref_pp,top_amplitude_ratio_to_ref_pp
RTBP,HR,0.027353968703559252,-0.07158965528877949,-0.19800937390728832,0.3820938736639865
SinBP_D,HR,0.024057292495999104,-0.06733101083307654,-0.19349144092595763,0.3572988463761619
SinBP_D_EOnly,P2V_relTTP,0.026064175132630645,-0.07168982120333202,-0.18483580645961317,0.36356870048127876
SinBP_D_E2,P2V_relTTP,0.022182975573109394,-0.06613713917643262,-0.18483580645961317,0.33540875594773384
SinBP_D_LocalA,P2V_relTTP,0.02541868778420124,-0.0707965456865057,-0.18483580645961323,0.359038531297244
SinBP_M,cosPhi,0.025256473186744677,-0.07557338375800016,-0.20979687067052413,0.3341979931402905
