経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
240.061949208,2026-04-02T18:12:50,1,372.000000000,340.372093023,319.000000000,142.742368477
240.509049917,2026-04-02T18:12:51,2,363.000000000,340.488372093,327.000000000,134.197953151
240.911782167,2026-04-02T18:12:51,3,377.000000000,349.613636364,318.000000000,148.982357385
241.431616375,2026-04-02T18:12:52,4,378.000000000,337.754716981,320.000000000,115.421415283
241.831714875,2026-04-02T18:12:52,5,378.000000000,354.341463415,334.000000000,149.963071594
242.271339625,2026-04-02T18:12:53,6,383.000000000,343.976744186,321.000000000,136.480032118
242.671900250,2026-04-02T18:12:53,7,371.000000000,350.720930233,335.000000000,149.790059869
243.171563792,2026-04-02T18:12:54,8,386.000000000,353.313725490,326.000000000,120.080804295
243.631945208,2026-04-02T18:12:54,9,385.000000000,342.170212766,326.000000000,130.326720225
244.491270792,2026-04-02T18:12:55,10,387.000000000,353.191489362,331.000000000,130.570438482
245.340404750,2026-04-02T18:12:56,11,389.000000000,360.934782609,330.000000000,133.279367629
245.804691583,2026-04-02T18:12:56,12,389.000000000,348.744680851,333.000000000,129.230457845
246.221944792,2026-04-02T18:12:57,13,389.000000000,365.279069767,346.000000000,143.797575922
246.631732000,2026-04-02T18:12:57,14,390.000000000,358.142857143,333.000000000,146.417454788
247.211730000,2026-04-02T18:12:58,15,396.000000000,360.694915254,349.000000000,103.448632581
247.931457542,2026-04-02T18:12:58,16,396.000000000,364.712328767,339.000000000,83.364879762
248.641749792,2026-04-02T18:12:59,17,392.000000000,363.138888889,338.000000000,84.472271801
249.361749042,2026-04-02T18:13:00,18,393.000000000,362.630136986,336.000000000,83.333420139
250.091202625,2026-04-02T18:13:00,19,393.000000000,362.378378378,337.000000000,82.253348806
250.851741292,2026-04-02T18:13:01,20,394.000000000,363.012987013,337.000000000,78.891452340
251.591688542,2026-04-02T18:13:02,21,394.000000000,361.400000000,336.000000000,81.086861259
252.341724583,2026-04-02T18:13:03,22,396.000000000,371.236842105,355.000000000,79.996155811
253.071436083,2026-04-02T18:13:03,23,396.000000000,370.260273973,339.000000000,82.224276306
253.781736708,2026-04-02T18:13:04,24,381.000000000,343.082191781,325.000000000,84.471275807
254.490511542,2026-04-02T18:13:05,25,385.000000000,340.666666667,324.000000000,84.653118482
255.190398333,2026-04-02T18:13:06,26,385.000000000,350.774647887,332.000000000,85.728150283
255.921732792,2026-04-02T18:13:06,27,384.000000000,358.297297297,341.000000000,82.041806265
256.611770792,2026-04-02T18:13:07,28,383.000000000,362.800000000,345.000000000,86.951733093
257.952103333,2026-04-02T18:13:08,29,372.000000000,335.896296296,312.000000000,44.765010298
258.711641167,2026-04-02T18:13:09,30,381.000000000,347.129870130,325.000000000,78.995406567
259.401767625,2026-04-02T18:13:10,31,387.000000000,360.142857143,336.000000000,86.940587923
260.180377875,2026-04-02T18:13:11,32,387.000000000,366.721518987,341.000000000,77.060377769
260.891865917,2026-04-02T18:13:11,33,384.000000000,364.055555556,342.000000000,84.330299960
261.301531667,2026-04-02T18:13:12,34,387.000000000,377.761904762,366.000000000,146.460864742
261.711727417,2026-04-02T18:13:12,35,371.000000000,359.666666667,349.000000000,146.271627631
264.461323208,2026-04-02T18:13:15,36,394.000000000,359.134328358,345.000000000,90.964904632
264.901775333,2026-04-02T18:13:15,37,394.000000000,377.822222222,369.000000000,136.223658814
265.320573375,2026-04-02T18:13:16,38,414.000000000,387.906976744,366.000000000,143.267145456
265.741228917,2026-04-02T18:13:16,39,426.000000000,383.325581395,363.000000000,142.634516866
266.160429708,2026-04-02T18:13:17,40,426.000000000,389.976744186,376.000000000,143.129500917
266.561056083,2026-04-02T18:13:17,41,418.000000000,388.317073171,369.000000000,149.765476624
267.011428542,2026-04-02T18:13:17,42,397.000000000,360.391304348,347.000000000,133.223066378
267.640364667,2026-04-02T18:13:18,43,398.000000000,365.953125000,353.000000000,95.399194950
268.351749417,2026-04-02T18:13:19,44,398.000000000,369.597222222,346.000000000,84.342544593
268.931729833,2026-04-02T18:13:19,45,419.000000000,362.779661017,348.000000000,103.451768965
269.481755167,2026-04-02T18:13:20,46,419.000000000,375.107142857,354.000000000,109.085884397
269.881786333,2026-04-02T18:13:20,47,403.000000000,391.341463415,382.000000000,149.988313661
270.300204875,2026-04-02T18:13:21,48,405.000000000,391.116279070,378.000000000,143.397086834
271.250285833,2026-04-02T18:13:22,49,392.000000000,359.729166667,340.000000000,63.152512946
271.820268292,2026-04-02T18:13:22,50,399.000000000,364.896551724,343.000000000,105.266397330
272.370279875,2026-04-02T18:13:23,51,399.000000000,369.071428571,347.000000000,109.088611685
272.901015500,2026-04-02T18:13:23,52,401.000000000,369.833333333,346.000000000,113.050636086
273.491746542,2026-04-02T18:13:24,53,414.000000000,379.300000000,358.000000000,101.569065673
