経過時間_秒, Green, SinWave
7.602, 3.91, 2.85
7.643, 2.23, 5.22
7.672, 0.60, 6.91
7.706, 0.54, 8.48
7.739, 0.44, 9.08
7.771, 0.34, 9.49
7.803, 0.77, 9.71
7.836, 1.96, 9.71
7.865, 4.05, 9.53
7.903, 6.21, 9.04
7.935, 7.15, 8.43
7.971, 8.11, 7.57
8.000, 9.15, 6.76
8.042, 9.55, 5.50
8.074, 9.36, 4.48
8.103, 8.82, 3.63
8.148, 8.17, 7.42
8.179, 7.54, 5.61
8.208, 6.92, 4.72
8.241, 6.22, 3.71
8.268, 5.41, 2.94
8.298, 4.48, 2.15
8.334, 3.46, 1.22
8.370, 2.45, 0.51
8.402, 1.35, 0.31
8.435, 1.14, 0.55
8.478, 1.01, 1.50
8.503, 0.94, 2.34
8.537, 0.86, 3.70
8.570, 0.85, 5.14
8.607, 0.51, 6.73
8.633, 0.40, 7.73
8.676, 0.83, 8.77
8.706, 1.98, 9.21
8.734, 3.78, 9.47
8.768, 6.07, 9.58
8.809, 7.40, 9.39
8.839, 8.45, 9.04
8.872, 9.32, 8.47
8.903, 9.60, 7.77
8.939, 9.42, 6.79
8.976, 9.04, 5.73
9.015, 8.70, 6.10
9.047, 8.35, 3.61
9.080, 8.03, 2.68
9.112, 7.63, 1.88
9.142, 7.14, 1.09
9.173, 6.59, 0.53
9.202, 5.95, 0.35
9.245, 5.33, 0.72
9.278, 4.27, 1.48
9.313, 2.34, 2.66
9.340, 0.99, 3.75
9.374, 0.97, 5.23
9.405, 0.96, 6.56
9.441, 0.94, 7.92
9.477, 0.62, 8.77
9.508, 0.46, 9.25
9.539, 0.91, 9.53
9.577, 2.22, 9.62
9.609, 4.39, 9.46
9.647, 6.29, 9.01
9.679, 7.19, 8.42
9.703, 8.15, 7.88
9.743, 9.16, 6.82
9.768, 9.60, 6.09
9.806, 9.52, 4.89
9.844, 9.12, 3.76
9.886, 8.64, 5.06
9.917, 8.12, 6.32
9.949, 7.53, 5.51
9.980, 6.87, 4.71
10.003, 6.09, 4.12
10.041, 5.23, 3.18
10.080, 4.35, 2.31
10.114, 3.45, 1.56
10.143, 2.20, 0.80
10.176, 0.97, 0.41
10.210, 0.67, 0.58
10.242, 0.61, 1.25
10.279, 0.62, 2.54
10.312, 0.62, 4.00
10.336, 0.57, 5.16
10.373, 0.29, 6.89
10.407, 0.30, 8.23
10.449, 0.78, 8.92
10.484, 1.89, 9.31
10.516, 3.62, 9.53
10.546, 5.93, 9.60
10.573, 7.42, 9.55
10.611, 8.48, 9.31
10.654, 9.37, 8.80
10.686, 9.71, 8.27
10.717, 9.63, 7.66
10.745, 9.36, 7.04
10.777, 9.04, 8.53
10.802, 8.71, 6.52
10.837, 8.29, 5.61
10.881, 7.77, 4.50
10.911, 7.08, 3.74
10.945, 6.28, 2.91
10.985, 5.43, 2.04
11.017, 4.57, 1.26
11.049, 3.30, 0.52
11.081, 1.18, 0.28
11.113, 0.98, 0.55
11.142, 0.78, 1.22
11.176, 0.49, 2.43
11.213, 0.74, 4.10
11.248, 1.59, 5.81
11.278, 3.11, 7.20
11.311, 5.18, 8.41
11.343, 7.19, 8.92
11.373, 8.27, 9.30
11.415, 9.26, 9.63
11.447, 9.62, 9.71
11.484, 9.46, 9.62
11.517, 9.04, 9.39
11.557, 8.60, 8.81
11.589, 8.23, 9.43
11.621, 7.83, 9.08
11.652, 7.36, 8.63
11.685, 6.77, 8.03
11.712, 6.06, 7.47
11.747, 5.36, 6.66
11.779, 4.71, 5.87
11.814, 3.83, 4.98
11.844, 2.22, 4.22
11.885, 0.59, 3.22
11.913, 0.66, 2.59
11.947, 0.39, 1.91
11.983, 0.53, 1.05
12.011, 1.34, 0.62
12.049, 3.09, 0.49
12.087, 5.56, 0.90
12.120, 6.37, 1.65
12.151, 7.34, 2.63
12.180, 8.38, 3.72
12.221, 9.37, 5.40
12.253, 9.75, 6.70
12.282, 9.68, 7.76
12.322, 9.30, 8.72
12.360, 8.83, 6.99
12.389, 8.35, 4.26
12.425, 7.84, 3.15
12.457, 7.35, 2.25
12.487, 6.83, 1.45
12.519, 6.31, 0.63
12.553, 5.82, 0.31
12.585, 5.34, 0.56
12.617, 4.46, 1.31
12.652, 2.98, 2.61
12.684, 0.69, 4.08
12.719, 0.87, 5.82
12.750, 1.00, 7.27
12.785, 0.56, 8.54
12.816, 0.53, 9.13
12.846, 1.13, 9.53
12.882, 2.62, 9.75
12.918, 5.04, 9.69
12.955, 6.41, 9.34
12.982, 7.40, 8.90
13.022, 8.42, 8.03
13.053, 9.37, 7.19
13.086, 9.73, 6.19
13.118, 9.65, 5.13
13.158, 9.29, 3.88
13.195, 8.81, 5.44
13.225, 8.14, 4.92
13.251, 7.32, 4.12
13.287, 6.35, 3.06
13.317, 5.24, 2.27
13.346, 4.09, 1.54
13.382, 2.94, 0.79
13.419, 1.77, 0.51
13.447, 1.41, 0.63
13.489, 1.41, 1.36
13.520, 1.34, 2.25
13.557, 1.35, 3.60
13.589, 1.38, 4.92
13.625, 1.25, 6.41
13.656, 1.00, 7.60
13.688, 0.46, 8.56
13.719, 0.23, 9.13
13.749, 0.35, 9.51
13.785, 0.84, 9.74
13.819, 1.55, 9.70
13.851, 2.43, 9.44
13.883, 3.26, 8.98
13.920, 3.93, 8.23
13.948, 4.37, 7.53
13.983, 4.61, 6.53
14.015, 4.72, 5.55
14.042, 4.86, 4.71
14.079, 5.09, 3.58
14.118, 5.65, 2.49
14.153, 6.22, 1.62
14.185, 5.73, 0.89
14.218, 5.29, 0.54
14.255, 4.87, 0.90
14.286, 4.63, 0.28
14.318, 4.55, 0.25
14.350, 3.99, 0.50
14.379, 2.46, 0.95
14.415, 1.49, 1.75
14.448, 2.00, 2.63
14.491, 2.88, 3.86
14.523, 4.70, 4.71
14.555, 5.31, 5.40
14.587, 5.77, 5.77
14.621, 6.41, 6.05
14.653, 7.01, 6.20
14.685, 7.77, 6.23
14.716, 8.52, 6.14
14.739, 9.20, 6.01
14.775, 9.69, 5.69
14.815, 9.88, 5.19
14.852, 9.85, 4.60
14.892, 9.72, 3.92
14.929, 9.53, 1.93
14.959, 9.29, 8.85
14.991, 9.04, 9.27
15.023, 8.74, 9.58
15.056, 8.44, 9.80
15.089, 8.13, 9.89
15.115, 7.77, 9.87
