fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,PP_mae,PP_bias,SBP_corr,DBP_corr
current_app_smoothed,jin_20260409_182834,RTBP,97,4.557094250411467,5.649774904268174,-3.5188050496156764,3.5459828437308514,4.404184420428489,-3.462646014441758,3.9400230074579023,-0.05615903517391882,-0.181020268310759,0.38501034660538347
current_app_smoothed,jin_20260409_182834,SinBP_D,86,3.5340637280940754,4.403507212433349,1.4485739454768989,2.3408408781838292,2.9309193616514935,1.0705607305557898,3.861828331700359,0.37801321492110895,-0.18018782447686393,0.469129760775922
current_app_smoothed,jin_20260409_182834,SinBP_D_EOnly,88,3.201135262749545,4.107223500296302,-0.5885337436859829,2.904532159835779,3.917483788108571,-2.1263639178473595,4.243828639808991,1.5378301741613762,-0.08114673138733024,0.2971761499001361
current_app_smoothed,jin_20260409_182834,SinBP_D_E2,88,3.2263491314071913,4.176625850820328,-1.1895071012460638,3.084007523605722,4.022705799247787,-2.47595881375467,4.237903258908681,1.2864517125086061,-0.06365335969727819,0.30363520408388023
current_app_smoothed,jin_20260409_182834,SinBP_D_LocalA,84,3.6818435998288677,4.560415272650246,1.450685839533492,2.410208200811379,3.157529277805153,0.6038130044404736,4.19685474996025,0.8468728350930184,-0.18278253692416313,0.34383117315158546
current_app_smoothed,jin_20260409_182834,SinBP_M,75,2.8798105410261443,3.852425848869023,-0.6233499414441355,2.417354986334964,2.853489201611716,0.9997526900182934,3.825781037740022,-1.6231026314624288,-0.002286777811152281,0.29952798724598734
current_app_smoothed,yu_20260409_182115,RTBP,56,6.417885884129065,6.757150383570107,-6.417885884129065,10.44822554300602,10.576180314721416,-10.44822554300602,4.249138850544911,4.0303396588769544,-0.29101685276421835,0.05730829686710332
current_app_smoothed,yu_20260409_182115,SinBP_D,52,2.0808382684971884,2.5374239030373897,-1.599434613249573,6.510770183118314,6.721041720311483,-6.510770183118314,5.0944673948606,4.911335569868742,-0.1420807149750689,-0.09371162492121889
current_app_smoothed,yu_20260409_182115,SinBP_D_EOnly,48,3.686202238653158,4.085670578945996,-3.5056415175326183,8.40838567909809,8.566689036571766,-8.40838567909809,5.0513619837352195,4.902744161565473,-0.12573200604034632,-0.2303880828240868
current_app_smoothed,yu_20260409_182115,SinBP_D_E2,48,4.606069476859751,5.017518610220025,-4.535103637270281,9.020683809470302,9.16391865300688,-9.020683809470302,4.691050878023492,4.485580172200022,-0.15548655668053304,-0.216209647855173
