fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,MAP_mae,MAP_rmse,MAP_bias,PP_mae,PP_rmse,PP_bias,SBP_corr,DBP_corr,MAP_corr,PP_corr
smartphone_initial_baseline,eitaro_20260410_155023,RTBP,206,5.08497374149784,5.34686201152102,5.08497374149784,2.5047483656717073,2.6376899073063496,-2.5047483656717073,0.04115421978324173,0.051565235962362885,0.02515900338480803,7.589722107169546,7.9839626010940155,7.589722107169546,0.3819471820710875,0.3878118794862,-0.004617444887364599,0.38416534555792947
smartphone_initial_baseline,eitaro_20260410_155023,SinBP_D,203,3.9536998370590632,4.257746563210045,3.945830645873356,1.9479019195118115,2.101220353131046,-1.9434098439707777,0.03898761037679804,0.04929128993497536,0.019670319310600363,5.901601756570876,6.358227447279733,5.889240489844135,0.31060413587468955,0.31526425214157955,0.0252401319720039,0.312382996818121
smartphone_initial_baseline,eitaro_20260410_155023,SinBP_M,183,4.872550387054946,5.130064475863665,4.872550387054946,2.404024481324349,2.534935819732222,-2.404024481324349,0.04044862174993688,0.05120055280401741,0.021500474802082038,7.276574868379294,7.664348921175787,7.276574868379294,0.30805792173267205,0.316026098143679,0.05010017099926444,0.3109771475883423
smartphone_initial_baseline,jin_20260409_182834,RTBP,97,2.6468891411059765,3.392957862688323,0.8550641639730021,1.316519987469737,1.6977397560677945,-0.4028779381803534,0.037429982539656015,0.04699986483207605,0.016436095870763837,3.9628276981572297,5.0897215033971275,1.2579421021533546,0.0522172248924036,0.05118436813170293,0.03621549427038965,0.051878633104208295
smartphone_initial_baseline,jin_20260409_182834,SinBP_D,86,2.3084755988831605,3.0960572649009737,0.09460686922314095,1.1579102990817187,1.5591728704144465,-0.027120208572155424,0.03536057199948218,0.04498616339579274,0.013455484026276698,3.466101870360393,4.654278580380809,0.12172707779529629,0.20105564265190365,0.20429802734511676,0.04705744507477077,0.20218477208153324
smartphone_initial_baseline,jin_20260409_182834,SinBP_M,75,2.2702530778337193,3.2545770874800537,-1.0122483317149409,1.143751008362901,1.6327376088767585,0.5240573061707637,0.03495170594725816,0.04432294790376521,0.011955426875528778,3.411802289767996,4.88641627055535,-1.5363056378857054,0.2955885363488703,0.31111622224401403,-0.009873698225364859,0.3009048173487581
smartphone_initial_baseline,yamaguchi_20260410_180602,RTBP,96,2.8339425001084986,3.2886189738402876,-2.7084567256889915,1.398646748586902,1.622412212822747,1.318067896521502,0.0411022963536527,0.051032068118631715,-0.024106977548661757,4.2306663387578896,4.909935546797803,-4.026524622210494,-0.12640499880258851,-0.14072775750284625,0.08174903985069065,-0.13130958480109164
smartphone_initial_baseline,yamaguchi_20260410_180602,SinBP_D,87,2.520938646447858,2.9837386269727357,-2.451433293867215,1.243377284385972,1.4674679707439127,1.1936715517640755,0.03931859405395799,0.04795358406265937,-0.02136339677968829,3.7619590036587756,4.4501778693217915,-3.6451048456312916,-0.1204967741688958,-0.1232238047092184,0.16122083912141905,-0.12155527273355614
smartphone_initial_baseline,yamaguchi_20260410_180602,SinBP_M,72,3.6518099178983983,4.0791395453021675,-3.5845386064070084,1.800518447441165,2.0182956956114295,1.7599055456513104,0.039727646167582814,0.04971137611639054,-0.02157583836812904,5.4508001264937365,6.096597509736361,-5.344444152058318,-0.1541432737880563,-0.16400860566853495,0.20251863627845662,-0.15763797462519646
smartphone_initial_baseline,yu_20260409_182115,RTBP,56,4.617521089127524,4.94002807003095,-4.606770917968626,2.299243771750411,2.462018976577184,2.292432002172409,0.03855218344845289,0.04865101223691764,-0.007302304541269423,6.912238926577534,7.401336175154897,-6.899202920141035,-0.07849084415616901,-0.07617348360783804,-0.09520205416370286,-0.07773441389694304
smartphone_initial_baseline,yu_20260409_182115,SinBP_D,52,3.3049081963911005,3.6276386673684944,-3.1332626122745513,1.649998605956829,1.8135549486018394,1.5631562447947636,0.03711874244117734,0.047683572904492016,-0.002316707561674364,4.95490680234793,5.4402533352972675,-4.6964188570693155,-0.2560033278415222,-0.26158659421328806,0.02408349792306849,-0.25809767578222576
smartphone_initial_baseline,yu_20260409_182115,SinBP_M,42,4.988832835404078,5.295050349299831,-4.988832835404078,2.4747617772583004,2.633289148852776,2.4747617772583004,0.038789688395016786,0.04813092589721326,-0.01310309362915992,7.463594612662379,7.927707606219023,-7.463594612662379,-0.1328647948446695,-0.1694907555422089,0.06800829946321307,-0.14533414474400846
smartphone_initial_baseline,yusuke_20260410_181941,RTBP,71,1.2219938818433753,1.6266537460328556,-0.05177429208049969,0.6140836313102948,0.818548871634024,0.02211070632129634,0.028439477518638012,0.035143252663307645,-0.0025176264793014018,1.832142047267991,2.444077057510499,-0.07388499840179573,0.28875254761825603,0.29733281055685706,-0.046336889907967097,0.291733883068752
