経過時間_秒, Green, SinWave
7.570, 7.71, 4.18
7.604, 7.24, 3.25
7.632, 6.65, 2.53
7.669, 6.02, 1.68
7.701, 5.13, 0.86
7.736, 3.75, 0.42
7.773, 1.26, 0.54
7.805, 0.73, 1.10
7.832, 0.39, 1.87
7.870, 0.54, 3.31
7.905, 1.39, 4.84
7.935, 3.02, 6.18
7.970, 5.77, 7.62
8.005, 6.73, 8.61
8.031, 7.59, 9.05
8.072, 8.65, 9.51
8.104, 9.44, 9.68
8.137, 9.67, 9.66
8.175, 9.50, 9.38
8.205, 9.18, 9.02
8.240, 8.89, 7.68
8.269, 8.66, 7.28
8.304, 8.41, 6.34
8.342, 8.08, 5.24
8.380, 7.65, 4.14
8.405, 7.18, 3.43
8.438, 6.69, 2.57
8.469, 6.22, 1.85
8.502, 5.45, 0.98
8.537, 4.07, 0.46
8.569, 1.54, 0.44
8.602, 0.81, 0.89
8.644, 0.56, 2.06
8.668, 0.54, 2.97
8.704, 1.22, 4.53
8.740, 3.05, 6.15
8.776, 5.23, 7.63
8.808, 6.21, 8.57
8.838, 7.18, 9.07
8.869, 8.25, 9.44
8.905, 9.28, 9.66
8.938, 9.74, 9.66
8.969, 9.68, 9.47
9.005, 9.35, 9.04
9.039, 8.92, 7.81
9.068, 8.49, 5.33
9.106, 8.09, 4.15
9.139, 7.67, 3.18
9.175, 7.19, 2.23
9.203, 6.62, 1.49
9.239, 5.96, 0.74
9.284, 5.32, 0.59
9.315, 4.31, 1.01
9.348, 2.68, 1.88
9.371, 1.08, 2.70
9.423, 0.90, 4.94
9.437, 0.78, 5.58
9.472, 0.70, 7.12
9.504, 0.50, 8.32
9.538, 0.81, 9.02
9.585, 1.74, 9.61
9.606, 3.47, 9.73
9.646, 5.72, 9.70
9.671, 7.29, 9.51
9.714, 8.53, 8.91
9.740, 9.31, 8.38
9.774, 9.30, 7.54
9.807, 8.69, 6.61
9.845, 7.81, 6.99
9.873, 6.83, 5.96
9.913, 5.91, 4.79
9.943, 4.94, 3.90
9.970, 3.88, 3.14
10.006, 2.71, 2.22
10.047, 2.16, 1.23
10.072, 1.91, 0.76
10.118, 1.58, 0.47
10.139, 1.26, 0.60
10.175, 0.94, 1.20
10.209, 0.78, 2.13
10.241, 0.61, 3.25
10.286, 0.40, 5.05
10.302, 0.26, 5.70
10.342, 0.50, 7.22
10.375, 1.23, 8.19
10.410, 2.54, 8.79
10.449, 4.30, 9.20
10.471, 6.28, 9.31
10.510, 8.29, 9.27
10.543, 9.22, 9.00
10.568, 9.42, 8.66
10.608, 8.98, 7.90
10.643, 8.19, 7.06
10.680, 7.31, 5.32
10.707, 6.53, 5.73
10.741, 5.86, 4.76
10.773, 5.22, 3.85
10.811, 4.55, 2.82
10.842, 3.73, 2.07
10.878, 2.82, 1.16
10.915, 1.91, 0.39
10.939, 1.07, 0.24
10.976, 0.87, 0.56
11.004, 0.75, 1.22
11.042, 0.64, 2.59
11.075, 0.64, 4.07
