method,top_inverse_term,top_inverse_strength,top_gain_to_ref_pp,top_centered_corr_to_ref_pp,top_amplitude_ratio_to_ref_pp
RTBP,V2P_relTTP,0.005590290563917036,-0.027338161434968696,-0.14107751784940076,0.20448670541415423
SinBP_D,P2V_relTTP,0.028058541523556555,-0.04402196446056038,-0.08277280284400174,0.63737595237701
SinBP_M,cosPhi,0.02340367100415521,-0.06050498918031608,-0.1614306204818952,0.38680563902603027
