fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,MAP_mae,MAP_rmse,MAP_bias,PP_mae,PP_rmse,PP_bias,SBP_corr,DBP_corr,MAP_corr,PP_corr
smartphone_rich_baseline,eitaro_20260410_155023,RTBP,206,1.5165638159301147,1.7124537152824986,0.524080545633163,0.7560786284485541,0.8532465165999993,-0.253268209853774,0.03519604868389661,0.045389485213553175,0.005848041975204934,2.272195119654207,2.563896355274831,0.7773487554869373,0.36340216247870993,0.370191105779673,-0.010158668562668057,0.3659150615356244
smartphone_rich_baseline,eitaro_20260410_155023,SinBP_D,203,1.266891116399357,1.6546368131799358,-0.32731337304683106,0.6337027016250953,0.8262197889115819,0.16503120899990495,0.03493722163938362,0.04524476769776434,0.000916348317659439,1.9002496323698421,2.4789997970037363,-0.49234458204673565,0.2533084736443555,0.25847066688731585,0.01495714979728221,0.25521767421488356
smartphone_rich_baseline,eitaro_20260410_155023,SinBP_M,183,1.4496904934409829,1.691448051573548,0.39040927387882496,0.7231623041980655,0.8462987206495853,-0.19163087323568478,0.03584948276489087,0.04644331811796134,0.002382509135817897,2.1703892400690066,2.5358337726253217,0.5820401471145095,0.2122316426585732,0.21948141177387664,0.08120034906103994,0.21481826430005396
smartphone_rich_baseline,jin_20260409_182834,RTBP,97,2.3603846694133304,3.269960550156391,-0.6840097128064893,1.1889303567386407,1.6424595095736425,0.3449210814084034,0.03441365273338514,0.04402390671796021,0.001944150003438363,3.5462073573274284,4.911543672971167,-1.0289307942148922,0.28969712757796545,0.2914334756750518,0.08161248315748212,0.29032552438607295
smartphone_rich_baseline,jin_20260409_182834,SinBP_D,86,2.123876335127426,2.971324305860419,-0.34732285129854007,1.068009879050747,1.4973116497442074,0.1750110844638882,0.03295988479297885,0.04291854370428394,0.0008997725430786598,3.1917614853262752,4.467738770228501,-0.5223339357624283,0.4745440118557659,0.47281005491570854,0.05995466273735546,0.47406464262055004
smartphone_rich_baseline,jin_20260409_182834,SinBP_M,75,2.0973345524219438,3.021997122111643,-0.7238186916297499,1.0531234258815936,1.513457456790241,0.36728121102646943,0.03306230434900689,0.04280292526481646,0.0035812434743953264,3.144348036989515,4.534546936880026,-1.0910999026562198,0.5000901462671866,0.4991875054768659,0.010126296154000958,0.4998939402652726
smartphone_rich_baseline,yamaguchi_20260410_180602,RTBP,96,1.7631709756534477,2.20599593597889,-1.2035123795859144,0.8850003213512645,1.1005235585411968,0.5744510755795377,0.0387816348706204,0.04849071257263044,-0.018203409475613015,2.648171297004712,3.304920928194728,-1.7779634551654517,0.0023480884740582613,-0.013644435992368642,0.12463595231392843,-0.0030576166136058558
smartphone_rich_baseline,yamaguchi_20260410_180602,SinBP_D,87,1.3133384189358919,1.6522543714087718,0.23612950453629333,0.6564844692836431,0.8321323942473199,-0.13558478914637295,0.03591052603548637,0.04426119622105052,-0.011680024585484129,1.9669242542453775,2.4826264289492466,0.3717142936826659,0.14357447541702884,0.14218050861427317,0.21546668062566707,0.14312376075376881
smartphone_rich_baseline,yamaguchi_20260410_180602,SinBP_M,72,1.8833402638087327,2.3515513622736415,-1.4264833446561678,0.9471729003380059,1.1721856458421906,0.6902867776800713,0.03737924109094967,0.04760466892859097,-0.015303263098675876,2.829957060822598,3.52229333798377,-2.116770122336239,0.08807065507160343,0.09111454031605332,0.09691156296052778,0.08912455464821732
smartphone_rich_baseline,yu_20260409_182115,RTBP,56,1.396773467961167,1.7680543737907408,-0.0837627046568054,0.7019217694033717,0.8911512807959878,0.05542606242591397,0.03795480904681473,0.04893654910533982,0.009029806731673671,2.097064694263569,2.657197712354373,-0.13918876708271963,0.14445493126000739,0.14034649248534187,-0.10512941558467132,0.1432026671814498
