method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,3.700902436366195,4.364338511113965,-0.1853852874342789,-3.5635484851549277,1.8224986627042254,2.5413752233022118,-0.18538528743427876,-0.18296260813702925,0.9553114562121576,0.4927536231884058,0,5.54698429090141,-5.3392150950422534
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,1.8460818545352116,2.1839074172680935,-0.1906324732689768,1.7756666098873248,0.9179935597746466,1.2844092095273845,-0.1906324732689767,-0.18874783324693895,0.954792767119988,0.4927536231884058,0,5.54698429090141,-5.3392150950422534
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,0.028676847051643885,0.036151891830004834,-0.03222156553744908,-0.004071755126755655,0.028541571807512805,0.03614418420148567,-0.03222156553744911,-0.005986297653124158,0.20319151734625493,0.5079365079365079,0,5.54698429090141,-5.3392150950422534
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,5.54698429090141,6.547797298650248,-0.18722971278765732,-5.3392150950422534,2.734323241464788,3.840455269414296,-0.18722971278765732,-0.18560746129993652,0.9555337565456801,0.46875,1,5.54698429090141,-5.3392150950422534
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,3.647264703936532,4.167197486064578,-0.318718120646035,-3.5661063997157307,1.556825045320104,2.164408644997159,-0.3187181206460351,-0.17165943724762103,0.5538333413994928,0.5217391304347826,0,5.4684320784797,-5.343453379375353
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,1.8211673745431678,2.0830611358133058,-0.3224872658770748,1.7773469796596228,0.7800088897256264,1.0918577716971154,-0.32248726587707477,-0.17290280083936446,0.5524195915410072,0.5362318840579711,0,5.4684320784797,-5.343453379375353
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,0.02857788904081955,0.035174147850779915,0.04942044744035769,-0.0038041467988264997,0.028251865857249224,0.035288430824293684,0.049420447440357666,0.0023232405311716183,0.08893777260675766,0.5507246376811594,0,5.4684320784797,-5.343453379375353
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,5.4684320784797,6.249813271239008,-0.32013397110801134,-5.343453379375353,2.327739462244552,3.266373306358787,-0.32013397110801145,-0.16933524997575514,0.5535925359450251,0.515625,1,5.4684320784797,-5.343453379375353
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,3.647264703936532,4.167197486064578,-0.318718120646035,-3.5661063997157307,1.556825045320104,2.164408644997159,-0.3187181206460351,-0.17165943724762103,0.5538333413994928,0.5217391304347826,0,5.4684320784797,-5.343453379375353
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,1.8211673745431678,2.0830611358133058,-0.3224872658770748,1.7773469796596228,0.7800088897256264,1.0918577716971154,-0.32248726587707477,-0.17290280083936446,0.5524195915410072,0.5362318840579711,0,5.4684320784797,-5.343453379375353
