fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,PP_mae,PP_bias,SBP_corr,DBP_corr
smartphone_initial_baseline_loso,eitaro_20260410_155023,RTBP,206,16.251783272051302,16.333592818877054,16.251783272051302,8.04226893191175,8.083369790638649,-8.04226893191175,24.29405220396305,24.29405220396305,0.3423239084999974,0.3505378895501811
smartphone_initial_baseline_loso,eitaro_20260410_155023,SinBP_D,203,14.122541415241264,14.218894470240523,14.122541415241264,6.98908877256377,7.037353105375799,-6.98908877256377,21.111630187805037,21.111630187805037,0.2674564045034492,0.2724772982237311
smartphone_initial_baseline_loso,eitaro_20260410_155023,SinBP_M,183,15.011377740669847,15.107781744126443,15.011377740669847,7.421628475546672,7.470503530201871,-7.421628475546672,22.433006216216523,22.433006216216523,0.17857103874882885,0.18059146757006675
smartphone_initial_baseline_loso,jin_20260409_182834,RTBP,97,9.836300423791208,10.362298012331355,-9.836300423791208,4.902693066947828,5.168789910311417,4.902693066947828,14.738993490739038,-14.738993490739038,0.13681650244788238,0.13783528426408564
smartphone_initial_baseline_loso,jin_20260409_182834,SinBP_D,86,10.093267521914761,10.537529022860332,-10.093267521914761,5.026645766064448,5.25284999451964,5.026645766064448,15.119913287979205,-15.119913287979205,0.4051680094984188,0.40770839734854486
smartphone_initial_baseline_loso,jin_20260409_182834,SinBP_M,75,8.079684816180098,8.638355818517057,-8.079684816180098,4.0418552742712,4.321337720047953,4.0418552742712,12.121540090451298,-12.121540090451298,0.3489963653686738,0.35055991967107064
smartphone_initial_baseline_loso,yamaguchi_20260410_180602,RTBP,96,1.6529604726654907,2.1004673629551096,-0.9641196775350638,0.8307388346658281,1.0501362380033215,0.4508407761578683,2.4826422468851668,-1.414960453692932,-0.035350459008007956,-0.05438959890743533
smartphone_initial_baseline_loso,yamaguchi_20260410_180602,SinBP_D,87,2.2343151452771086,2.7004961311091744,-2.0939124602140105,1.095685220894917,1.320663679498424,1.007338955851977,3.3292107245501064,-3.1012514160659874,0.010293427356223378,0.016044164537795853
smartphone_initial_baseline_loso,yamaguchi_20260410_180602,SinBP_M,72,5.380037225416491,5.702011023490919,-5.380037225416491,2.639865345195992,2.80662490950008,2.6376877465537953,8.017724971970289,-8.017724971970289,0.06118690355367078,0.05659073370680905
smartphone_initial_baseline_loso,yu_20260409_182115,RTBP,56,9.348579503933609,9.514654684634419,-9.348579503933609,4.640441405468299,4.725299174744344,4.640441405468299,13.989020909401905,-13.989020909401905,0.10965948821898759,0.10324289171606728
smartphone_initial_baseline_loso,yu_20260409_182115,SinBP_D,52,8.444668535528276,8.637105047414224,-8.444668535528276,4.19787944967588,4.295709391923368,4.19787944967588,12.642547985204155,-12.642547985204155,0.02392638809686504,0.026299659549853496
smartphone_initial_baseline_loso,yu_20260409_182115,SinBP_M,42,11.164745294883218,11.30722469879526,-11.164745294883218,5.5435906658490826,5.617199991349627,5.5435906658490826,16.7083359607323,-16.7083359607323,-0.1689982330280081,-0.17524783199347657
smartphone_initial_baseline_loso,yusuke_20260410_181941,RTBP,71,7.210458461071194,7.412542879276804,-7.210458461071194,3.5655494935533514,3.669825077976538,3.5655494935533514,10.776007954624543,-10.776007954624543,-0.1568807745150005,-0.17684386661541057
smartphone_initial_baseline_loso,yusuke_20260410_181941,SinBP_D,58,5.211115507794148,5.424520139950885,-5.211115507794148,2.596700421932374,2.7024248056885427,2.596700421932374,7.807815929726522,-7.807815929726522,-0.048284938648413045,-0.04056164997244261
smartphone_initial_baseline_loso,yusuke_20260410_181941,SinBP_M,74,5.681948517837269,5.92707648532686,5.681948517837269,2.8282485397003003,2.9529339526011333,-2.8282485397003003,8.510197057537571,8.510197057537571,-0.015288775538654858,-0.004335279659487441
smartphone_initial_baseline_loso,zawa_20260409_181339,RTBP,40,13.544365163663986,13.671040510543314,13.544365163663986,6.739799742246521,6.803361694211451,-6.739799742246521,20.284164905910508,20.284164905910508,-0.21846478101230768,-0.22639841539373107
smartphone_initial_baseline_loso,zawa_20260409_181339,SinBP_D,39,11.890477042622694,12.030513239611206,11.890477042622694,5.918291574499366,5.988146857517986,-5.918291574499366,17.808768617122055,17.808768617122055,-0.2447388354977909,-0.25037922227088766
smartphone_initial_baseline_loso,zawa_20260409_181339,SinBP_M,41,15.167802241303,15.278278232887978,15.167802241303,7.553394209473036,7.608565188253696,-7.553394209473036,22.721196450776038,22.721196450776038,-0.09309396999167076,-0.09334196756552779
smartphone_initial_baseline_loso,ALL,RTBP,566,10.667686060122081,12.054334952998685,3.1934670096849405,5.290866215607867,5.976337193304172,-1.5802804150354663,15.958372986325655,4.773747424720408,-0.8773101712352518,-0.8768439197854903
smartphone_initial_baseline_loso,ALL,SinBP_D,525,9.779768380532516,10.907073620280102,2.9315155385398906,4.849738853696275,5.40893994969108,-1.4490857358857765,14.629376379331443,4.3806012744256675,-0.8730823699613484,-0.8736466680527497
smartphone_initial_baseline_loso,ALL,SinBP_M,487,10.783746514547339,11.750861953022145,4.778578778084956,5.345334340742034,5.825073863069523,-2.3639714461260426,16.12875891052091,7.142550224210997,-0.6088915820585886,-0.6143123410766866
