fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,PP_mae,PP_bias,SBP_corr,DBP_corr
smartphone_initial_baseline,eitaro_20260410_155023,RTBP,206,3.735205461484952,4.067759883748067,3.726772486100595,1.839151296691365,2.0078253592443147,-1.8350688927822476,5.574356758176318,5.561841378882843,0.3634021624787107,0.37019110577967235
smartphone_initial_baseline,eitaro_20260410_155023,SinBP_D,203,3.6515425424546883,3.9634638165603877,3.6164010405136873,1.8000809920418133,1.9595631926451387,-1.7845122768769284,5.451623534496502,5.400913317390615,0.2533084736443575,0.2584706668873104
smartphone_initial_baseline,eitaro_20260410_155023,SinBP_M,183,4.0551112279784975,4.363315611488038,4.041032790687781,2.0025628933551154,2.1586739689109984,-1.9950875096240532,6.057016837525366,6.036120300311834,0.2122316426585758,0.21948141177387212
smartphone_initial_baseline,jin_20260409_182834,RTBP,97,3.9378483443045282,4.68302260918883,-3.421392705581791,1.973387159213604,2.3443541530199843,1.7080086962873167,5.911235503518132,-5.129401401869108,0.2896971275779654,0.29143347567505085
smartphone_initial_baseline,jin_20260409_182834,SinBP_D,86,3.5332396031997773,4.268465686544892,-3.0840986283918355,1.7711801070986093,2.1393251519229293,1.5379853084069337,5.3044197102983865,-4.62208393679877,0.4745440118557696,0.4728100549157029
smartphone_initial_baseline,jin_20260409_182834,SinBP_M,75,3.1798669071727477,3.9601195712405075,-2.659698086404481,1.5978217305384594,1.9828448283301303,1.3326723632215933,4.777688637711207,-3.9923704496260743,0.5000901462671876,0.4991875054768659
smartphone_initial_baseline,yamaguchi_20260410_180602,RTBP,96,1.5496171677325499,1.9887589660414322,-0.732929876094132,0.7837362426275275,0.9989235720130463,0.3415995287666694,2.3320445881929825,-1.0745294048608014,0.0023480884740580284,-0.01364443599237164
smartphone_initial_baseline,yamaguchi_20260410_180602,SinBP_D,87,1.631300178191084,2.060753244885553,-1.2540002278227396,0.8133891971814551,1.0167048422957463,0.5996896279240741,2.4446529509660544,-1.8536898557468133,0.14357447541701776,0.1421805086142949
smartphone_initial_baseline,yamaguchi_20260410_180602,SinBP_M,72,3.2220137042453896,3.6534458180148612,-3.1389054251985207,1.5826735432511287,1.8041767511511946,1.5354251517139943,4.804687247496519,-4.6743305769125145,0.08807065507160265,0.09111454031605454
smartphone_initial_baseline,yu_20260409_182115,RTBP,56,3.605732976700455,3.908792451022393,-3.4870701666557418,1.7991118951205838,1.9528815578956724,1.7385821298692625,5.404844871821039,-5.225652296525005,0.14445493126000947,0.14034649248534875
smartphone_initial_baseline,yu_20260409_182115,SinBP_D,52,2.683505634407566,3.02903464485435,-2.4269924504515954,1.338062611819058,1.517692041672914,1.2137390158788957,4.021568246226623,-3.640731466330491,0.029164575926595025,0.032205722404154986
smartphone_initial_baseline,yu_20260409_182115,SinBP_M,42,2.7814521735897806,3.1385584574735597,-2.57938638216756,1.382941785871108,1.5707867002789786,1.2834065222414044,4.164393959460889,-3.8627929044089653,-0.1621234782360084,-0.16658628513138746
smartphone_initial_baseline,yusuke_20260410_181941,RTBP,71,1.3368726010722034,1.7540843905683767,0.4166135294695565,0.6676632286539191,0.8826312004280698,-0.20527231749883268,2.004535829726122,0.6218858469683891,-0.11328572089789565,-0.11693175689891143
smartphone_initial_baseline,yusuke_20260410_181941,SinBP_D,58,1.1119187187262107,1.49704790161603,-0.27957525606442674,0.5579293148064969,0.7468037173104792,0.150719809923326,1.669401217208094,-0.43029506598775275,0.002598820044670197,0.0038351275006233156
smartphone_initial_baseline,yusuke_20260410_181941,SinBP_M,74,1.4922561663778093,1.8652962910994948,0.9457787205035717,0.7413707208186084,0.9318170822681864,-0.4603600424645395,2.2320017288300997,1.4061387629681112,0.2325514818502529,0.23547063142824315
smartphone_initial_baseline,zawa_20260409_181339,RTBP,40,5.542700919852944,5.8441540470480415,5.542700919852944,2.7633122706291458,2.914261213429171,-2.7633122706291458,8.30601319048209,8.30601319048209,-0.21021989938841645,-0.2182767843661543
smartphone_initial_baseline,zawa_20260409_181339,SinBP_D,39,5.5384510561396105,5.8314351940693605,5.5384510561396105,2.7634436017215407,2.9091887294269836,-2.7634436017215407,8.301894657861148,8.301894657861148,-0.2432771572114947,-0.24853832559576172
smartphone_initial_baseline,zawa_20260409_181339,SinBP_M,41,5.280967803301661,5.5895823601261005,5.280967803301661,2.63911639617492,2.792680805661029,-2.63911639617492,7.920084199476581,7.920084199476581,-0.08190602517757138,-0.08101579097151652
smartphone_initial_baseline,ALL,RTBP,566,3.2133107786770916,3.8422543010920087,0.7446827555547474,1.5975428392945763,1.9114514578384338,-0.36625445177840515,4.810631626932726,1.1109372073331523,0.8863009388379447,0.8839300026900024
smartphone_initial_baseline,ALL,SinBP_D,525,3.0611010044968863,3.6667389200562477,0.8254848157642425,1.520411899600501,1.8232472028486406,-0.40711310613240065,4.581457505487498,1.2325979218966432,0.9193615933345142,0.9181906677610555
smartphone_initial_baseline,ALL,SinBP_M,487,3.401084162221326,3.9435042394545894,1.010684868178294,1.686667135480056,1.9593614801020953,-0.4989061961962695,5.087257366169521,1.5095910643745638,0.8765234826183043,0.875645803614565
