fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,MAP_mae,MAP_rmse,MAP_bias,PP_mae,PP_rmse,PP_bias,SBP_corr,DBP_corr,MAP_corr,PP_corr
smartphone_rich_dynamic_blend_loso,eitaro_20260410_155023,RTBP,206,13.723877892821053,13.819399409884022,13.723877892821053,6.794876219275161,6.842863692048638,-6.794876219275161,0.05400777126742226,0.06438644779461491,0.04470848475691124,20.518754112096218,20.66202786109724,20.518754112096218,0.3559654930965462,0.36410196291546376,-0.09992363457623882,0.3589349988066619
smartphone_rich_dynamic_blend_loso,eitaro_20260410_155023,SinBP_D,203,13.589889685139214,13.689038519296075,13.589889685139214,6.714646263081086,6.764375001256121,-6.714646263081086,0.06038049093686699,0.07072149586255695,0.05353238632568134,20.304535948220302,20.453177356149755,20.304535948220302,0.2682513587112262,0.2728091172016984,-0.06267310684595777,0.2699802958139742
smartphone_rich_dynamic_blend_loso,eitaro_20260410_155023,SinBP_M,183,14.034595154226725,14.13931172095912,14.034595154226725,6.946201676769564,6.999217950347839,-6.946201676769564,0.056540431399609785,0.06711852561883702,0.04739726689586683,20.98079683099629,21.1382848790749,20.98079683099629,0.16858825528626095,0.16874706379581755,-0.10628369350544734,0.1688183201541502
smartphone_rich_dynamic_blend_loso,jin_20260409_182834,RTBP,97,6.188903691008617,6.893719875615308,-6.089578818539369,3.1222080044916316,3.4763326027021413,3.0738913686577876,0.03836316000043162,0.04821751582059791,0.019401306258734683,9.311111695500248,10.369631791884718,-9.163470187197156,0.18792043865600813,0.1854548858163408,0.004294540114494794,0.18713309607832165
smartphone_rich_dynamic_blend_loso,jin_20260409_182834,SinBP_D,86,10.905235698842837,11.309322804975338,-10.905235698842837,5.449498654053701,5.654700362977233,5.449498654053701,0.032936136118487384,0.043060093514745656,-0.0020794635784784662,16.354734352896536,16.963777240739358,-16.354734352896536,0.30043806702889897,0.30143257771701903,0.038503456298074,0.30082323815803136
smartphone_rich_dynamic_blend_loso,jin_20260409_182834,SinBP_M,75,16.567753148521252,16.842086803883912,-16.567753148521252,8.277989795545137,8.415153223353233,8.277989795545137,0.03316004218094615,0.043359437900128715,-0.00392451914365779,24.845742944066387,25.25707391995419,-24.845742944066387,0.29228392771175615,0.29902084215610586,-0.09549765759823343,0.2946144046635709
smartphone_rich_dynamic_blend_loso,yamaguchi_20260410_180602,RTBP,96,6.769565918217958,7.070819868074029,-6.769565918217958,3.325975278236213,3.4841745700060085,3.325975278236213,0.04887832876386907,0.05953165470960668,-0.039205120581844,10.095541196454171,10.554487653711535,-10.095541196454171,-0.04113209822640793,-0.05868697686786934,0.19272457868441814,-0.04706789667464811
smartphone_rich_dynamic_blend_loso,yamaguchi_20260410_180602,SinBP_D,87,7.853811481961643,8.057452343503961,-7.853811481961643,3.860137515362248,3.9644929432166,3.860137515362248,0.05207946002827568,0.06235420932867409,-0.044512150412381664,11.71394899732389,12.021560800445354,-11.71394899732389,-0.013033135201798163,-0.01795936045125152,-0.05135854849919649,-0.014666628238118765
smartphone_rich_dynamic_blend_loso,yamaguchi_20260410_180602,SinBP_M,72,7.31853940910956,7.624690180768671,-7.31853940910956,3.6082201786416324,3.768060736005644,3.6082201786416324,0.04591315828565179,0.056445315764123795,-0.034033017275433314,10.926759587751192,11.392293813285574,-10.926759587751192,-0.09037056766005419,-0.10155459091047321,0.10910352426499396,-0.0942087047645889
smartphone_rich_dynamic_blend_loso,yu_20260409_182115,RTBP,56,13.347693727558989,13.467916270595866,-13.347693727558989,6.6416286255484795,6.702845908444385,6.6416286255484795,0.043390549078926303,0.05266646306442787,-0.02147882548734183,19.989322353107468,20.170500760299124,-19.989322353107468,-0.052045405823997956,-0.05125837402251055,-0.049648391226588026,-0.05180971241430688
smartphone_rich_dynamic_blend_loso,yu_20260409_182115,SinBP_D,52,9.686357226092507,9.860704028386548,-9.686357226092507,4.812896813137345,4.90168395941571,4.812896813137345,0.042859277176283954,0.05168462472975421,-0.020187866605938007,14.49925403922985,14.762036511443377,-14.49925403922985,-0.15767942670123067,-0.16216326322607333,0.06182088031046227,-0.15932898103041182
smartphone_rich_dynamic_blend_loso,yu_20260409_182115,SinBP_M,42,15.248772461400543,15.354059237399095,-15.248772461400543,7.5847527740581135,7.639217468119463,7.5847527740581135,0.043886098459625246,0.053310652073991494,-0.026422304428104143,22.83352523545866,22.99306078056366,-22.83352523545866,-0.13169827031971496,-0.15267917517642093,0.08823990742232041,-0.13888927421074257
smartphone_rich_dynamic_blend_loso,yusuke_20260410_181941,RTBP,71,1.193102122618364,1.5990545598743173,-0.3246320383880697,0.5910831173347906,0.8041378550803553,0.14534209414984534,0.030261239810072848,0.03768371563490863,-0.011315950029457936,1.7821635671527714,2.401871357336552,-0.4699741325379149,0.3874164433439078,0.38203756056611893,-0.0852091976974856,0.3859010341834369
smartphone_rich_dynamic_blend_loso,yusuke_20260410_181941,SinBP_D,58,4.440344956239297,4.645874121690155,4.418431831096916,2.2433713759278224,2.3458975345607973,-2.2350331401713164,0.03435885667434907,0.04444665739349939,-0.017211483081905645,6.68371633216712,6.991211303184173,6.6534649712682326,0.06627747280537964,0.07577062941483766,0.0004598348931179548,0.06953101211039857
smartphone_rich_dynamic_blend_loso,yusuke_20260410_181941,SinBP_M,74,12.25355100771814,12.380210831445373,12.25355100771814,6.089649210016426,6.154129141839034,-6.089649210016426,0.03996954023103139,0.049209597168631124,0.02475086256176292,18.34320021773457,18.534115832696543,18.34320021773457,-0.19588534133966384,-0.18838679270520892,0.13259235821702106,-0.19359225533396188
smartphone_rich_dynamic_blend_loso,zawa_20260409_181339,RTBP,40,12.639492222229624,12.778393867892529,12.639492222229624,6.293322685390737,6.363030755480428,-6.293322685390737,0.03522027560307528,0.04348071046871048,0.01761561714938331,18.93281490762036,19.14123816202172,18.93281490762036,-0.08703503216082684,-0.09594034533829231,0.08183251809414949,-0.09003946863857577
smartphone_rich_dynamic_blend_loso,zawa_20260409_181339,SinBP_D,39,15.283782810687194,15.394348813846204,15.283782810687194,7.602870825700218,7.65805527360159,-7.602870825700218,0.03898097483802733,0.04684098801150566,0.02601371976225208,22.886653636387415,23.052256320639266,22.886653636387415,-0.16210372606522394,-0.17094717219546254,-0.04901087240820364,-0.165107514866975
