method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
SinBP_D_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.2573416583014891,1.6744561697987277,0.33215587006809666,-0.5333516348908997,1.8872294679251822,-0.8017318010726948
SinBP_D_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6308305261012963,0.8373217632234706,0.3344802134040822,0.2683801661817951,1.8872294679251822,-0.8017318010726948
SinBP_D_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.265449103678091,1.6865475708301532,0.3106041358746912,-0.5344309104641061,1.8971241548328652,-0.8033639727204617
SinBP_D_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.633329681824099,0.8429769526767705,0.3152642521415774,0.26893306225635566,1.8971241548328652,-0.8033639727204617
SinBP_D_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.265449103678091,1.6865475708301532,0.3106041358746912,-0.5344309104641061,1.8971241548328652,-0.8033639727204617
SinBP_D_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.633329681824099,0.8429769526767705,0.3152642521415774,0.26893306225635566,1.8971241548328652,-0.8033639727204617
SinBP_M_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.6824855865953467,1.880310115100504,0.3142575239810853,0.9918504053055941,2.521834589771461,1.4808145305976905
SinBP_M_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,0.840013679514275,0.937235338780134,0.32515539340107646,-0.488964125292096,2.521834589771461,1.4808145305976905
SinBP_M_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.6935903988126153,1.8870801091156693,0.3080579217326691,0.99260117171549,2.5395137758471638,1.4819015789136525
SinBP_M_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,0.8459233770345485,0.9412655267452181,0.3160260981436807,-0.48930040719816265,2.5395137758471638,1.4819015789136525
SinBP_M_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.6935903988126153,1.8870801091156693,0.3080579217326691,0.99260117171549,2.5395137758471638,1.4819015789136525
SinBP_M_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,0.8459233770345485,0.9412655267452181,0.3160260981436807,-0.48930040719816265,2.5395137758471638,1.4819015789136525
RTBP_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,4.397577436389472,4.696835306528335,0.4066303347655718,-4.397577436389472,6.555421990564291,-6.555421990564291
RTBP_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.1578445541748197,2.3103138035289654,0.411555892494731,2.1578445541748197,6.555421990564291,-6.555421990564291
RTBP_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,4.398330402685984,4.7017835575835765,0.3929163869107263,-4.398330402685984,6.556537981987707,-6.556537981987707
RTBP_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.1582075793017235,2.3127839055371058,0.3976231175536165,2.1582075793017235,6.556537981987707,-6.556537981987707
RTBP_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,4.398330402685984,4.7017835575835765,0.3929163869107263,-4.398330402685984,6.556537981987707,-6.556537981987707
RTBP_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.1582075793017235,2.3127839055371058,0.3976231175536165,2.1582075793017235,6.556537981987707,-6.556537981987707
SinBP_D_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.2573416583014891,1.6744561697987277,0.33215587006809666,-0.5333516348908997,1.8872294679251822,-0.8017318010726948
