method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
SinBP_D_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.2478473153128027,1.637254599814667,0.2916261578212735,-0.3269509776739507,1.87132838188568,-0.4917650266477475
SinBP_D_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6244464975175016,0.8177007953647448,0.2954367728444709,0.16481404897379695,1.87132838188568,-0.4917650266477475
SinBP_D_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.266891116399357,1.6546368131799358,0.2533084736443555,-0.32731337304683106,1.9002496323698417,-0.49234458204673603
SinBP_D_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6337027016250953,0.8262197889115819,0.25847066688731585,0.16503120899990495,1.9002496323698417,-0.49234458204673603
SinBP_D_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.266891116399357,1.6546368131799358,0.2533084736443555,-0.32731337304683106,1.9002496323698417,-0.49234458204673603
SinBP_D_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6337027016250953,0.8262197889115819,0.25847066688731585,0.16503120899990495,1.9002496323698417,-0.49234458204673603
SinBP_M_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.44511848774692,1.6883113846885582,0.23450481306533336,0.39268818954750906,2.164287220495171,0.5854762121838955
SinBP_M_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,0.7195027908351926,0.8450619055345903,0.2401855992808329,-0.19278802263638645,2.164287220495171,0.5854762121838955
SinBP_M_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.4496904934409829,1.691448051573548,0.2122316426585732,0.39040927387882496,2.1703892400690066,0.5820401471145099
SinBP_M_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,0.7231623041980655,0.8462987206495853,0.21948141177387664,-0.19163087323568478,2.1703892400690066,0.5820401471145099
SinBP_M_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.4496904934409829,1.691448051573548,0.2122316426585732,0.39040927387882496,2.1703892400690066,0.5820401471145099
SinBP_M_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,0.7231623041980655,0.8462987206495853,0.21948141177387664,-0.19163087323568478,2.1703892400690066,0.5820401471145099
RTBP_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.547214982884027,3.018479094924222,0.3796586064209378,-2.546492076289515,3.7919791520841213,-3.7907554777145123
RTBP_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.2447641692000935,1.4848478111715968,0.3849251321131527,1.2442634014249965,3.7919791520841213,-3.7907554777145123
RTBP_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.548400402434763,3.028154588779554,0.36025969852948736,-2.548400402434763,3.793608737691853,-3.793608737691853
RTBP_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.2452083352570904,1.4896535412872638,0.3668118605236385,1.2452083352570904,3.793608737691853,-3.793608737691853
RTBP_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.548400402434763,3.028154588779554,0.36025969852948736,-2.548400402434763,3.793608737691853,-3.793608737691853
RTBP_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.2452083352570904,1.4896535412872638,0.3668118605236385,1.2452083352570904,3.793608737691853,-3.793608737691853
SinBP_D_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.2478473153128027,1.637254599814667,0.2916261578212735,-0.3269509776739507,1.87132838188568,-0.4917650266477475
SinBP_D_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6244464975175016,0.8177007953647448,0.2954367728444709,0.16481404897379695,1.87132838188568,-0.4917650266477475
SinBP_D_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.266891116399357,1.6546368131799358,0.2533084736443555,-0.32731337304683106,1.9002496323698417,-0.49234458204673603
SinBP_D_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6337027016250953,0.8262197889115819,0.25847066688731585,0.16503120899990495,1.9002496323698417,-0.49234458204673603
SinBP_D_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.266891116399357,1.6546368131799358,0.2533084736443555,-0.32731337304683106,1.9002496323698417,-0.49234458204673603
SinBP_D_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,0.6337027016250953,0.8262197889115819,0.25847066688731585,0.16503120899990495,1.9002496323698417,-0.49234458204673603
SinBP_M_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,3.35269380514789,3.6547392264593763,0.22290126923955078,3.264805862912383,5.012880927817294,4.879925731310617
SinBP_M_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,1.6609119196961897,1.8127973529982393,0.2283843494985816,-1.6151198683982337,5.012880927817294,4.879925731310617
