method,target,n,mae,rmse,corr
RTBP,SBP,96,11.128391853062498,11.795720884456943,-0.13667572020169316
RTBP,DBP,96,10.59388794165625,12.24174896351166,0.04697274709920108
SinBP_D,SBP,96,13.446136468875002,15.077047749815977,-0.27611045316923366
SinBP_D,DBP,96,13.31715389115625,18.010687022617883,0.24070278377631338
SinBP_M,SBP,96,12.536016060625002,14.300774460508924,-0.2929638723783486
SinBP_M,DBP,96,11.996257715614583,14.54664487028995,0.2947391155253354
