経過時間_秒, Green, SinWave
7.599, 9.29, 6.16
7.635, 8.57, 4.88
7.672, 7.68, 7.26
7.703, 6.85, 8.26
7.735, 6.15, 7.44
7.767, 5.52, 6.52
7.800, 4.88, 5.52
7.833, 4.16, 4.53
7.868, 3.32, 3.54
7.899, 2.39, 2.78
7.938, 1.54, 1.81
7.972, 1.37, 1.39
8.004, 0.94, 1.45
8.035, 0.52, 1.94
8.066, 0.68, 2.79
8.095, 1.49, 3.85
8.136, 2.86, 5.58
8.165, 4.59, 6.82
8.194, 6.72, 7.96
8.233, 8.49, 9.00
8.269, 9.33, 9.54
8.301, 9.44, 9.79
8.333, 8.99, 9.83
8.374, 8.27, 9.56
8.403, 7.50, 9.85
8.437, 6.80, 3.66
8.467, 6.17, 2.78
8.500, 5.52, 1.93
8.534, 4.83, 0.82
8.567, 4.05, 0.53
8.602, 3.18, 1.24
8.633, 2.26, 2.61
8.666, 1.42, 4.55
8.702, 1.16, 6.76
8.737, 0.56, 8.32
8.766, 0.40, 8.86
8.802, 0.84, 9.29
8.838, 1.87, 9.44
8.872, 3.32, 9.31
8.903, 5.15, 8.96
8.935, 7.21, 8.40
8.973, 9.05, 7.50
9.009, 9.47, 6.47
9.037, 9.22, 5.60
9.080, 8.54, 4.22
9.122, 7.80, 0.79
9.150, 7.16, 5.11
9.180, 6.66, 4.14
9.210, 6.28, 3.19
9.239, 5.89, 2.36
9.269, 5.42, 1.56
9.310, 4.81, 0.57
9.341, 4.04, 0.40
9.373, 3.13, 0.79
9.401, 1.45, 1.56
9.434, 0.73, 2.88
9.471, 0.53, 4.68
9.509, 1.09, 6.57
9.543, 2.42, 8.02
9.575, 4.31, 8.73
9.609, 6.54, 9.22
9.635, 7.94, 9.43
9.669, 9.05, 9.45
9.702, 9.38, 9.22
9.736, 9.00, 8.73
9.770, 8.12, 8.02
9.814, 7.09, 8.40
9.850, 6.08, 6.37
9.883, 5.11, 5.40
9.914, 4.19, 4.47
9.946, 3.21, 3.52
9.975, 2.16, 2.72
10.005, 1.62, 1.98
10.034, 1.46, 1.12
10.066, 1.30, 0.51
10.111, 0.95, 0.80
10.139, 0.51, 1.63
10.172, 0.57, 3.09
10.204, 1.19, 4.80
10.242, 2.35, 6.83
10.273, 3.82, 8.17
10.305, 5.43, 8.74
10.344, 7.16, 9.22
10.376, 8.61, 9.39
10.409, 9.33, 9.35
10.441, 8.70, 9.08
10.477, 7.70, 8.58
10.516, 6.62, 5.68
10.546, 5.60, 4.81
10.578, 4.71, 3.79
10.610, 3.86, 2.83
10.641, 3.00, 2.00
10.676, 2.08, 0.96
10.709, 1.58, 0.44
10.740, 1.52, 0.62
10.773, 1.23, 1.47
10.810, 0.61, 3.08
10.849, 0.42, 5.17
10.880, 0.72, 6.80
10.912, 1.45, 8.13
10.945, 2.40, 8.76
10.975, 3.28, 9.14
11.006, 4.01, 9.32
11.044, 4.40, 9.24
11.076, 4.22, 8.91
11.112, 3.28, 8.31
11.147, 2.59, 7.94
11.181, 2.19, 7.02
