method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
SinBP_D_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.1400258378651005,2.9686837473452217,0.41457618381575323,-0.33699303369677486,3.2171615683435166,-0.5066743863887802
SinBP_D_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.077135730478416,1.4958932475278055,0.41427041568515743,0.16968135269200527,3.2171615683435166,-0.5066743863887802
SinBP_D_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.123876335127426,2.971324305860419,0.4745440118557659,-0.34732285129854007,3.1917614853262752,-0.5223339357624283
SinBP_D_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.068009879050747,1.4973116497442074,0.47281005491570854,0.1750110844638882,3.1917614853262752,-0.5223339357624283
SinBP_D_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.123876335127426,2.971324305860419,0.4745440118557659,-0.34732285129854007,3.1917614853262752,-0.5223339357624283
SinBP_D_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.068009879050747,1.4973116497442074,0.47281005491570854,0.1750110844638882,3.1917614853262752,-0.5223339357624283
SinBP_M_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,2.138934063073055,3.0556120566055447,0.37286510915002574,-0.7070090427621983,3.2021747166397736,-1.0655618303957846
SinBP_M_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.0664191282133082,1.5311368481028191,0.3711504486805706,0.3585527876335863,3.2021747166397736,-1.0655618303957846
SinBP_M_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,2.0973345524219438,3.021997122111643,0.5000901462671866,-0.7238186916297499,3.144348036989515,-1.0910999026562194
SinBP_M_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.0531234258815936,1.513457456790241,0.49918750547686597,0.36728121102646943,3.144348036989515,-1.0910999026562194
SinBP_M_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,2.0973345524219438,3.021997122111643,0.5000901462671866,-0.7238186916297499,3.144348036989515,-1.0910999026562194
SinBP_M_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.0531234258815936,1.513457456790241,0.49918750547686597,0.36728121102646943,3.144348036989515,-1.0910999026562194
RTBP_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,7.253191122441946,7.915217468137671,0.2199751502791848,-7.2315292028893206,10.815122706694467,-10.78024907016027
RTBP_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.561931584252519,3.899457364542428,0.22079356706369602,3.54871986727095,10.815122706694467,-10.78024907016027
RTBP_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,7.251640027125321,7.915708893134258,0.29163087763419154,-7.2384292116063005,10.812885962944097,-10.790548710922577
RTBP_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.561245935818776,3.899534218801684,0.2931171185837644,3.552119499316276,10.812885962944097,-10.790548710922577
RTBP_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,7.251640027125321,7.915708893134258,0.29163087763419154,-7.2384292116063005,10.812885962944097,-10.790548710922577
RTBP_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,3.561245935818776,3.899534218801684,0.2931171185837644,3.552119499316276,10.812885962944097,-10.790548710922577
SinBP_D_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.1400258378651005,2.9686837473452217,0.41457618381575323,-0.33699303369677486,3.2171615683435166,-0.5066743863887802
SinBP_D_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.077135730478416,1.4958932475278055,0.41427041568515743,0.16968135269200527,3.2171615683435166,-0.5066743863887802
SinBP_D_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.123876335127426,2.971324305860419,0.4745440118557659,-0.34732285129854007,3.1917614853262752,-0.5223339357624283
SinBP_D_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.068009879050747,1.4973116497442074,0.47281005491570854,0.1750110844638882,3.1917614853262752,-0.5223339357624283
SinBP_D_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.123876335127426,2.971324305860419,0.4745440118557659,-0.34732285129854007,3.1917614853262752,-0.5223339357624283
SinBP_D_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.068009879050747,1.4973116497442074,0.47281005491570854,0.1750110844638882,3.1917614853262752,-0.5223339357624283
SinBP_M_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,7.057357978684881,7.656410734525719,0.38229888012386876,-7.057357978684881,10.55129680162548,-10.55129680162548
SinBP_M_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.493938822940598,3.797201747020529,0.3799344506843605,3.493938822940598,10.55129680162548,-10.55129680162548
SinBP_M_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,7.073860053330549,7.658486539532665,0.5115786859000342,-7.073860053330549,10.576307500335501,-10.576307500335501
SinBP_M_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.50244744700495,3.7980212365270063,0.5097910709510207,3.50244744700495,10.576307500335501,-10.576307500335501
SinBP_M_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,7.073860053330549,7.658486539532665,0.5115786859000342,-7.073860053330549,10.576307500335501,-10.576307500335501
SinBP_M_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,3.50244744700495,3.7980212365270063,0.5097910709510207,3.50244744700495,10.576307500335501,-10.576307500335501
RTBP_RICH_DYNAMIC,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,2.4276933342123193,3.2628538247072036,0.179784867664328,-0.12054225913723109,3.6481439977198917,-0.1881556227261534
RTBP_RICH_DYNAMIC,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.2221277528703667,1.639491490192691,0.17713599427863644,0.06761336358892234,3.6481439977198917,-0.1881556227261534
RTBP_RICH_DYNAMIC,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,2.387302732265214,3.2210354876262235,0.2077135948406698,-0.1501310026122288,3.5851694357976993,-0.23226405138376946
RTBP_RICH_DYNAMIC,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.1998569890540656,1.6183890602785143,0.2066653035710409,0.08213304877154065,3.5851694357976993,-0.23226405138376946
