n,groups,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd,axis,target,split,window_s,method
446,11,20.683773388254398,28.0773147458864,-0.05982671816240739,2.5094880242903312,5.543156543529939,0.14845424964812862,absolute,ref_SBP,timeseries,0,RTBP
455,11,19.494348318173795,24.730042114860417,0.1712325347897692,2.4356154543145925,2.3709835816121063,0.1989185249108036,absolute,ref_SBP,timeseries,0,SinBP_M
444,11,19.2313658226909,24.725642246555548,0.21364755693644627,2.01323367287734,2.3467381201801483,0.20833173286002912,absolute,ref_SBP,timeseries,0,SinBP_D_full
444,11,18.957361476430243,24.159716926114754,0.21590316293503542,2.080093910557659,2.45562903546573,0.18785006815137759,absolute,ref_SBP,timeseries,0,SinBP_D_no_stiff
446,11,21.36445719381594,28.37972263922284,-0.024735951717582055,3.998503597852815,7.250136284328773,0.34858963457977576,absolute,ref_SBP,timeseries,10,RTBP
455,11,21.10772752809795,26.670717969538487,0.02837932587323788,2.518259471166577,2.7273704129677343,0.43567533873455444,absolute,ref_SBP,timeseries,10,SinBP_M
444,11,19.73948885410909,24.802379002427692,0.21343623188442457,3.757153705547242,4.150160241541178,0.4286121642154995,absolute,ref_SBP,timeseries,10,SinBP_D_full
444,11,20.028572144110562,24.793054884375064,0.1824713691376952,3.483776073513503,4.1738177158666705,0.42264653599439117,absolute,ref_SBP,timeseries,10,SinBP_D_no_stiff
446,11,21.910142872816152,28.946957508296055,0.002109167247854754,4.548253168779623,7.823714769685981,0.3703003838073214,absolute,ref_SBP,timeseries,20,RTBP
455,11,21.79475997562151,27.528345194276266,0.032625336309586396,3.3283049795611572,3.803965874547027,0.43799135612358453,absolute,ref_SBP,timeseries,20,SinBP_M
444,11,20.056497420330594,25.280077283322377,0.22200675357778374,4.478307248216655,5.450408715603643,0.47393303781454155,absolute,ref_SBP,timeseries,20,SinBP_D_full
