mae,rmse,corr,mae_sd,rmse_sd,corr_sd,n,groups,target,split,window,method
20.48920211596294,27.530684141575268,-0.059793896264373717,2.348721319671495,4.836345880749595,0.14728552705156797,446,11,ref_SBP,timeseries,0,RTBP
19.355482378420287,24.505668819126946,0.1714762667599289,2.414365809358939,2.430173641191665,0.19848748942622899,455,11,ref_SBP,timeseries,0,SinBP_M
18.87955061522286,24.015948669887585,0.22086102407109198,2.1534462980385394,2.5432849449796127,0.19352395918951384,444,11,ref_SBP,timeseries,0,SinBP_D_full
18.890175271124562,24.02655742862185,0.2197746397486143,2.1515741863600977,2.549606572806159,0.19475080357396127,444,11,ref_SBP,timeseries,0,SinBP_D_no_stiff
21.168960373357482,27.816003463318292,-0.024021829920078352,3.768612885712821,6.559378877813038,0.34714404151781886,446,11,ref_SBP,timeseries,10,RTBP
21.0325487288097,26.439837123002217,0.03017852908960248,2.420404195345173,2.5919431515074893,0.4351854842035457,455,11,ref_SBP,timeseries,10,SinBP_M
20.014049019462995,24.676130715338005,0.18972024063031143,3.50125152230273,4.2343153062294085,0.4264692279720973,444,11,ref_SBP,timeseries,10,SinBP_D_full
20.020187687489926,24.68379191459659,0.19079440084233087,3.5175668724825453,4.249023325556435,0.4294846579227504,444,11,ref_SBP,timeseries,10,SinBP_D_no_stiff
21.75048637667494,28.4541145666582,0.003160885294828009,4.3761808629457155,7.189138238154608,0.3702248382852303,446,11,ref_SBP,timeseries,20,RTBP
21.718262896646856,27.282926451882435,0.03400170470827022,3.2401537488986416,3.6598981742707366,0.4382001467843715,455,11,ref_SBP,timeseries,20,SinBP_M
20.374568904409728,25.23485172065377,0.191661924104705,4.262853663004609,5.527223660843492,0.4690573790274205,444,11,ref_SBP,timeseries,20,SinBP_D_full
20.37863325014514,25.237011238774652,0.19241557413016824,4.2745550458854495,5.535266303740951,0.4717052209014526,444,11,ref_SBP,timeseries,20,SinBP_D_no_stiff
22.30427984725362,29.844168193081202,-0.056860923206696376,4.082134862130969,8.16424676726631,0.4226136092243978,446,11,ref_SBP,timeseries,30,RTBP
21.723154258036,27.38825573320178,0.06409658692681278,2.8734907145329878,3.0292692975338937,0.4395408253767014,455,11,ref_SBP,timeseries,30,SinBP_M
20.656109708835093,25.67878244843048,0.17342707311600863,4.166075068141262,5.155424399010893,0.5055649141179879,444,11,ref_SBP,timeseries,30,SinBP_D_full
20.671818090296615,25.68834806169926,0.17436954653584444,4.1735760167735565,5.162265241949227,0.5086335071494321,444,11,ref_SBP,timeseries,30,SinBP_D_no_stiff
24.27373220711487,29.058853466862097,-0.2055539253118431,14.054501320370465,14.840695541569607,0.2596193729988672,446,11,ref_SBP,groupkfold,0,RTBP
21.893376700305062,26.252794352648284,0.006825238512712889,12.162338933819047,12.189588212622485,0.2755794207795478,455,11,ref_SBP,groupkfold,0,SinBP_M
23.439728426107546,27.58652194773371,-0.09864924491835478,12.361709160357519,12.51809708845973,0.04188525247586183,444,11,ref_SBP,groupkfold,0,SinBP_D_full
23.405078796261556,27.54777423953696,-0.09213054468790606,12.317095158857843,12.460529794079926,0.05394291723871556,444,11,ref_SBP,groupkfold,0,SinBP_D_no_stiff
27.98758652246763,32.68355404171204,-0.43095323709305466,15.28585269704657,17.286202312652968,0.32649757036404975,446,11,ref_SBP,groupkfold,10,RTBP
24.835703484602142,29.80362691783244,-0.09625105339468946,9.847097084680586,10.88171436320481,0.4871819142740909,455,11,ref_SBP,groupkfold,10,SinBP_M
25.706481698188746,30.107300222087513,-0.2995099645821135,11.407745908533727,11.895923229948295,0.09299545801775995,444,11,ref_SBP,groupkfold,10,SinBP_D_full
25.721467286139195,30.128696094594705,-0.2843718830201533,11.35662538396732,11.876038346434397,0.13492218682943305,444,11,ref_SBP,groupkfold,10,SinBP_D_no_stiff
28.80339633845609,33.17077330388047,-0.33512322612975126,17.397683856798903,19.58444419907601,0.46039752652659893,446,11,ref_SBP,groupkfold,20,RTBP
24.362020944631258,27.477937342321106,-0.19086897799771096,10.326379800067702,11.912619140534614,0.6638594715805564,455,11,ref_SBP,groupkfold,20,SinBP_M
24.923378321406954,28.697646878977196,-0.19219424818515557,11.640130539517894,12.023460439904138,0.2173426410842623,444,11,ref_SBP,groupkfold,20,SinBP_D_full
24.932884631758704,28.70550852678099,-0.15009442098883885,11.566795385530087,11.97648207652932,0.12281440060198803,444,11,ref_SBP,groupkfold,20,SinBP_D_no_stiff
28.89370136839936,32.45062519479451,-0.22494186565262247,17.664249923456936,19.0639945434953,0.6578423373304606,446,11,ref_SBP,groupkfold,30,RTBP
24.465334303361015,27.574525346035323,-0.004268187137303014,10.622745926576844,12.132450437544113,0.6366856485508945,455,11,ref_SBP,groupkfold,30,SinBP_M
25.387768503755034,28.318729241293852,-0.1451936154295635,12.72365252375234,12.77625117873856,0.38036381014677506,444,11,ref_SBP,groupkfold,30,SinBP_D_full
25.389650057182777,28.310298453195617,-0.08120816560255963,12.667954569441019,12.709427682152468,0.3625869329269983,444,11,ref_SBP,groupkfold,30,SinBP_D_no_stiff
27.09202233244772,28.728067347817202,-0.03112102108296985,19.34850181640667,19.863378120932772,0.4069430560671582,446,11,ref_SBP,logo,0,RTBP
25.089612167643722,26.66914381105785,-0.07730757761022572,16.445902338770512,16.375916209886185,0.332055345177521,455,11,ref_SBP,logo,0,SinBP_M
24.574751129372125,27.114480084192085,-0.18755712742753064,15.290514553609514,15.762337092049625,0.23811874969691163,444,11,ref_SBP,logo,0,SinBP_D_full
24.566408885457587,27.076713573366213,-0.1872186262633715,15.303920741725191,15.774544956143854,0.2394068214117685,444,11,ref_SBP,logo,0,SinBP_D_no_stiff
26.808872980476064,27.75794557484776,-0.1405144057618316,18.85828162760114,19.1770556253721,0.5706723009757825,446,11,ref_SBP,logo,10,RTBP
25.429150670339844,26.77491737787217,-0.18584078610459728,16.753164769212837,17.301532162441372,0.438266276735183,455,11,ref_SBP,logo,10,SinBP_M
23.58548005647982,25.295515318440856,-0.3898908865987517,15.58165327307524,16.022417595563326,0.45017860134233034,444,11,ref_SBP,logo,10,SinBP_D_full
23.60933071689415,25.30023043664014,-0.38664448799991386,15.575326573767157,16.013548962857172,0.4529877820274581,444,11,ref_SBP,logo,10,SinBP_D_no_stiff
25.83157864312351,26.84969934626156,-0.40654124301995737,18.525172360136818,18.823040957555246,0.7158425257860155,446,11,ref_SBP,logo,20,RTBP
23.827888407956156,24.55293265886353,-0.08584389205289897,15.896542080598481,15.945786808556257,0.6776256399115662,455,11,ref_SBP,logo,20,SinBP_M
21.928854065371787,23.616734034573245,-0.47005611715093637,14.455220315907109,14.755026235922623,0.5941834128930212,444,11,ref_SBP,logo,20,SinBP_D_full
21.95362649958462,23.62488085443775,-0.4371082123606423,14.441404473903965,14.739433107858341,0.6323061542965914,444,11,ref_SBP,logo,20,SinBP_D_no_stiff
26.447627290233665,26.666065458713675,0.2,19.42956484779144,19.356487268102267,1.0327955589886444,446,11,ref_SBP,logo,30,RTBP
24.27191302335659,24.58795713781965,0.2,16.657549595223042,16.615039318569544,1.0327955589886444,455,11,ref_SBP,logo,30,SinBP_M
22.645012642591805,22.973865371272375,-0.2,15.544371024971081,15.524347533588045,1.0327955589886444,444,11,ref_SBP,logo,30,SinBP_D_full
22.665050168365667,22.990182023033938,-0.19999999999999998,15.535835271916694,15.518179858359531,1.0327955589886444,444,11,ref_SBP,logo,30,SinBP_D_no_stiff
15.973371360591795,21.8763733275156,0.16946089924825458,2.6084253801949147,6.302938876244612,0.23743048920628657,446,11,ref_DBP,timeseries,0,RTBP
15.08266899542825,19.517550745675727,0.26258613257045826,1.3498791658062206,1.4900207215645151,0.14675574650396703,455,11,ref_DBP,timeseries,0,SinBP_M
14.753581949509101,19.111930301119834,0.2860568034158325,1.453182678676812,1.9827551777927572,0.12347156734479599,444,11,ref_DBP,timeseries,0,SinBP_D_full
14.758991989364887,19.119330619742477,0.28453649028411526,1.4494367862871094,1.969060262675854,0.12251781626296235,444,11,ref_DBP,timeseries,0,SinBP_D_no_stiff
16.48953742196404,22.328206823664782,0.15283249105597957,3.5299024862044255,6.904315386430082,0.3777419251159105,446,11,ref_DBP,timeseries,10,RTBP
15.848735163229719,20.19099398225065,0.18964377325345688,1.9521310400057428,2.6440557915997194,0.2721399458540815,455,11,ref_DBP,timeseries,10,SinBP_M
15.724223666057588,19.615958425665625,0.28519038437380984,1.8003115188044718,2.2954716346266006,0.3064302865615564,444,11,ref_DBP,timeseries,10,SinBP_D_full
15.731047573683844,19.625534370232607,0.28244490199589994,1.7936790973671302,2.2713762573233054,0.30333649586356165,444,11,ref_DBP,timeseries,10,SinBP_D_no_stiff
16.510776927742853,22.408530046826012,0.21932540305723291,3.562424238012129,6.90486384580521,0.4108903719038641,446,11,ref_DBP,timeseries,20,RTBP
16.19059762445115,20.48012509578141,0.24319739891109943,2.18130024494488,2.7169899921493332,0.3300496581353728,455,11,ref_DBP,timeseries,20,SinBP_M
15.607447645148806,19.458592214599907,0.3789015473072822,2.1337250167892527,2.7892645837810273,0.356517894194072,444,11,ref_DBP,timeseries,20,SinBP_D_full
15.612200914339553,19.463861473406418,0.3763013366331157,2.1254790645885224,2.766308097249738,0.35295135219706736,444,11,ref_DBP,timeseries,20,SinBP_D_no_stiff
17.51958704501996,24.168308403250048,0.14965635828655982,4.040507407972896,9.017606237295178,0.4124693763674076,446,11,ref_DBP,timeseries,30,RTBP
