method,mape_mean,mape_std,mae_mean,mae_std,rmse_mean,rmse_std,corr_mean,corr_std
SinBP_M,19.863288894347193,16.147204766531512,21.932092576961075,12.156532244675692,26.32488460304367,12.188924593401689,0.0064090896904179075,0.2759076508373581
SinBP_D,21.090971397765976,15.177829116708603,23.524412018027967,12.304226934289513,27.726982733702528,12.436362838920383,-0.10251380149543406,0.045275943970603576
RealTimeBP,21.796238226487617,16.256642017480303,24.311610220159913,14.019918346221806,29.14213192347854,14.773584795789452,-0.20614136402835848,0.2612147654265469
