経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, E_used, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
0.033, 9.3303, 86.5525, -0.5098, -0.4635, 3.6901, 5.0983, 86.5525, -0.5284, -0.4323, 3.6901, 114.93, 78.41, 5.5289, 2.1749, 0.8230, -0.5681, -2.5039, 3.6277, 714.0000, 693.2209, 1, 22, 0.4122, 9.7506, 9.3384, 3.1833, 0.5700, 0.4300, 114.93, 78.41, 114.93, 78.41, 0, 0, 1, 1, A:9.3303->5.0983, ok
0.283, 9.3303, 86.5525, -0.4635, -0.4635, 3.6901, 5.0983, 86.5525, -0.5284, -0.4323, 3.6901, 114.93, 78.41, 5.5289, 2.1749, 0.8230, -0.5681, -2.5039, 3.6277, 714.0000, 693.2209, 1, 22, 0.4122, 9.7506, 9.3384, 3.1833, 0.5700, 0.4300, 114.93, 78.41, 114.93, 78.41, 0, 0, 1, 1, A:9.3303->5.0983, ok
0.955, 8.2529, 90.7564, -0.6296, -0.4722, 3.2829, 5.0983, 90.7564, -0.4635, -0.4635, 3.2829, 112.04, 79.95, 4.9982, 2.5066, 0.5932, -0.8051, -3.0536, 2.2500, 697.0000, 661.1104, 1, 22, 0.4203, 8.6660, 8.2457, 2.7804, 0.6255, 0.3745, 112.04, 79.95, 112.04, 79.95, 0, 0, 1, 1, A:8.2529->5.0983, ok
1.661, 9.1854, 90.0150, -0.5878, -0.3929, 4.4371, 5.0983, 90.0150, -0.6296, -0.4722, 4.4371, 121.21, 81.31, 4.9847, 2.6991, 0.4282, -0.9037, -4.3408, 2.0566, 637.0000, 666.5552, 1, 20, 0.4132, 9.7826, 9.3694, 3.4714, 0.6279, 0.3721, 121.21, 81.31, 121.21, 81.31, 0, 0, 1, 1, A:9.1854->5.0983, ok
2.291, 9.1504, 87.4282, -0.4674, -0.4207, 3.5089, 5.0983, 87.4282, -0.5878, -0.3929, 3.5089, 109.27, 72.26, 5.9447, 2.0659, 0.8799, -0.4751, -1.9722, 3.6524, 665.0000, 686.2776, 1, 21, 0.5972, 9.7252, 9.1280, 3.0442, 0.5474, 0.4526, 109.27, 72.26, 109.27, 72.26, 0, 0, 1, 1, A:9.1504->5.0983, ok
2.956, 9.2426, 91.1662, -0.5762, -0.4714, 3.6558, 5.0983, 91.1662, -0.4674, -0.4207, 3.6558, 115.70, 82.78, 5.4125, 2.3738, 0.6945, -0.7195, -3.1786, 3.0686, 701.0000, 658.1388, 1, 22, 0.5748, 9.7138, 9.1390, 3.1530, 0.6177, 0.3823, 115.70, 82.78, 115.70, 82.78, 0, 0, 1, 1, A:9.2426->5.0983, ok
3.698, 8.6379, 90.6934, -0.5459, -0.4466, 3.4570, 5.0983, 90.6934, -0.5762, -0.4714, 3.4570, 110.28, 74.78, 5.2818, 2.5198, 0.5825, -0.8128, -3.3001, 2.3650, 636.0000, 661.5694, 1, 20, 0.4712, 9.0151, 8.5439, 2.9393, 0.6368, 0.3632, 110.28, 74.78, 110.28, 74.78, 0, 0, 1, 1, A:8.6379->5.0983, ok
4.231, 6.6446, 85.4963, -0.3544, -0.4003, 2.9853, 5.0983, 85.4963, -0.5459, -0.4466, 2.9853, 105.59, 70.12, 4.0050, 2.4830, 0.6120, -0.7908, -2.6438, 2.0461, 675.0000, 701.7847, 1, 21, 0.3772, 7.0529, 6.6757, 2.4003, 0.5941, 0.4059, 105.59, 70.12, 105.59, 70.12, 0, 0, 1, 1, A:6.6446->5.0983, ok
5.002, 7.0546, 97.1829, -0.6811, -0.4953, 2.9391, 5.0983, 97.1829, -0.3544, -0.4003, 2.9391, 109.05, 83.60, 3.8310, 2.7869, 0.3473, -0.9377, -3.0299, 1.1222, 734.0000, 617.3924, 1, 23, 0.4083, 7.5020, 7.0937, 2.3308, 0.6499, 0.3501, 109.05, 83.60, 109.05, 83.60, 0, 0, 1, 1, A:7.0546->5.0983, ok
5.538, 5.2049, 86.4309, -0.3852, -0.5136, 2.3640, 5.0983, 86.4309, -0.6811, -0.4953, 2.7419, 98.30, 60.30, 3.2688, 2.8071, 0.3283, -0.9446, -2.5420, 0.8836, 530.0000, 694.1962, 1, 17, 0.4474, 5.7070, 5.2596, 1.9315, 0.6887, 0.3113, 98.30, 60.30, 98.30, 60.30, 0, 0, 1, 1, A:5.2049->5.0983|E:2.3640->2.7419, ok
